"dir_parent","dir_file","dir_id","dir_url"
"can","cases-by-probable-exposure-setting","1hCGVda7X8NSJio4Km4sAHVvIKeY1WUbs","https://drive.google.com/drive/folders/1hCGVda7X8NSJio4Km4sAHVvIKeY1WUbs"
"can","cases-by-severity","1SglBBOrkaUX9kgQnKFuGx8zYfWB-f4H2","https://drive.google.com/drive/folders/1SglBBOrkaUX9kgQnKFuGx8zYfWB-f4H2"
"can","covidtrends-fluwatchers","1l9C7WppFIIc-hSxKRLd8i0dAon6YfbAs","https://drive.google.com/drive/folders/1l9C7WppFIIc-hSxKRLd8i0dAon6YfbAs"
"can","covidtrends-mobility","1rywSZlhHQzv7L9r8dIo7_hWgquTG7U45","https://drive.google.com/drive/folders/1rywSZlhHQzv7L9r8dIo7_hWgquTG7U45"
"can","detailed-case-report-n","1-fJIOejwY_5jcTjUgv0sUiXCNqTZCqzO","https://drive.google.com/drive/folders/1-fJIOejwY_5jcTjUgv0sUiXCNqTZCqzO"
"can","detailed-preliminary-case-info-aggregated-4-dimensions","1DAVw9bHgJ6HeIhR9gkDKqWb5mYmJeL6C","https://drive.google.com/drive/folders/1DAVw9bHgJ6HeIhR9gkDKqWb5mYmJeL6C"
"can","detailed-preliminary-case-info-aggregated-6-dimensions","1i_r1VTTylcwFUJU5Z2NxyDj58evLdICt","https://drive.google.com/drive/folders/1i_r1VTTylcwFUJU5Z2NxyDj58evLdICt"
"can","detailed-preliminary-confirmed-case-info-revised","17yNdBoKhWikgRrosSvevZEJ7y75qpCxk","https://drive.google.com/drive/folders/17yNdBoKhWikgRrosSvevZEJ7y75qpCxk"
"can","epidemic-curve-by-age","1cbtuG5fdNRkrDuYa-mCUgrl-xGLf5dVA","https://drive.google.com/drive/folders/1cbtuG5fdNRkrDuYa-mCUgrl-xGLf5dVA"
"can","epidemiology-summary-statements","1ye3nqS3qYNZtKdbNL1zoy8JY32bIVAq5","https://drive.google.com/drive/folders/1ye3nqS3qYNZtKdbNL1zoy8JY32bIVAq5"
"can","epidemiology-update","1XV5MYKoU0_L506TxLLXYcLwqpTlIjLPd","https://drive.google.com/drive/folders/1XV5MYKoU0_L506TxLLXYcLwqpTlIjLPd"
"can","epidemiology-update-2","1mDFGml4mEbHxM-iDDz2eZ2Hudr1r6EdB","https://drive.google.com/drive/folders/1mDFGml4mEbHxM-iDDz2eZ2Hudr1r6EdB"
"can","health-region-uid","1mFXAnK0w8I-_QwdmzZE0ggyVgZWv-Hja","https://drive.google.com/drive/folders/1mFXAnK0w8I-_QwdmzZE0ggyVgZWv-Hja"
"can","hospitalizations-icu-mechanical-ventilation","1ZgeV7BTE_GZ8yTQgG3ema8OAT8vzHq5V","https://drive.google.com/drive/folders/1ZgeV7BTE_GZ8yTQgG3ema8OAT8vzHq5V"
"can","nml-summary","1HrHMnlm8i7Oh4OWAjDkYlIvguPuQDL9U","https://drive.google.com/drive/folders/1HrHMnlm8i7Oh4OWAjDkYlIvguPuQDL9U"
"can","nml-weekly-testing","1NSCMEFZZ6JXPUFnPIb5HWwd4vXzoC8Fu","https://drive.google.com/drive/folders/1NSCMEFZZ6JXPUFnPIb5HWwd4vXzoC8Fu"
"can","preliminary-dataset-on-confirmed-cases","1pxV8Wb1sqdeD-W6BIqUOPABLPvNTJPsX","https://drive.google.com/drive/folders/1pxV8Wb1sqdeD-W6BIqUOPABLPvNTJPsX"
"can","severity-by-age-and-sex","1_tux6ZwhCGtLt8fu8j-dcwd7ZsfYg3Dl","https://drive.google.com/drive/folders/1_tux6ZwhCGtLt8fu8j-dcwd7ZsfYg3Dl"
"can","situational-awareness-dashboard-update-time","1Jf_083skdvYA9JW2-lPZ37l-NvdQ8AQY","https://drive.google.com/drive/folders/1Jf_083skdvYA9JW2-lPZ37l-NvdQ8AQY"
"can","symptoms-summary","1VoX9WJGkJQwCQMeOcTruitYjjIyGaFhZ","https://drive.google.com/drive/folders/1VoX9WJGkJQwCQMeOcTruitYjjIyGaFhZ"
"can","vaccine-rollout-webpage","1c9739f3wZE2EqJw0vwtAIDcTUWcrM1OY","https://drive.google.com/drive/folders/1Z1E3rh96IgCUBRiABOfvt9Vf-cx2T7Kk"
"ccodwg/timeseries_prov","cases_timeseries_prov","1LqdzLPiERYXiyFi6UMQrMIqirODk1TBk","https://drive.google.com/drive/folders/1LqdzLPiERYXiyFi6UMQrMIqirODk1TBk"
"mb","cases-by-status-and-rha","12Iqr-1tz085DB7Bsggm3tC0OKT0pNRSr","https://drive.google.com/drive/folders/12Iqr-1tz085DB7Bsggm3tC0OKT0pNRSr"
"mb","cases-demographics-by-rha","1XE4mZpz8hrqIC3JBExuGJdJYXs6Sg1rk","https://drive.google.com/drive/folders/1XE4mZpz8hrqIC3JBExuGJdJYXs6Sg1rk"
"mb","covid-data-by-rha-and-district","1mTTp74weBKLWXNrgdzfeJmWROP9NH6mM","https://drive.google.com/drive/folders/1mTTp74weBKLWXNrgdzfeJmWROP9NH6mM"
"mb","five-day-test-positivity","1FVZ9gQbSLjOJHGdq_FXjJIZrFsp12lOo","https://drive.google.com/drive/folders/1FVZ9gQbSLjOJHGdq_FXjJIZrFsp12lOo"
"mb","manitoba-webpage","13gGo5pdUJw1_4hVkPzrl3eNzUPjf6-4M","https://drive.google.com/drive/folders/13gGo5pdUJw1_4hVkPzrl3eNzUPjf6-4M"
"mb","winnipeg-active-transportation","1HvDvmC9fkNMPgmr-kQT1Lj6Rg-CHOh75","https://drive.google.com/drive/folders/1HvDvmC9fkNMPgmr-kQT1Lj6Rg-CHOh75"
"mb","winnipeg-by-law-enforcement","1LR1UTIs_r7w_uvC-ScZ8k3WlU-0SIVlc","https://drive.google.com/drive/folders/1LR1UTIs_r7w_uvC-ScZ8k3WlU-0SIVlc"
"ns","case-data","1topV_6XkI2uz-Amwlibi8V_jbnHx4MG5","https://drive.google.com/drive/folders/1topV_6XkI2uz-Amwlibi8V_jbnHx4MG5"
"ns","cases-by-zone","1lcPbkf58IXjx1hmTgOfaRDEQ-vHRjpcz","https://drive.google.com/drive/folders/1lcPbkf58IXjx1hmTgOfaRDEQ-vHRjpcz"
"ns","chn-summary-cases","1fsyLS_dN-VkFDjtxAHxffOeG33pN92S3","https://drive.google.com/drive/folders/1fsyLS_dN-VkFDjtxAHxffOeG33pN92S3"
"ns","demographics-summary","1gS3LN9cclLE3i-3c439Hwq3ibpgISfak","https://drive.google.com/drive/folders/1gS3LN9cclLE3i-3c439Hwq3ibpgISfak"
"ns","health-boundaries","1Hb9zYPpkbblHpABKdOLnvjMj7LZhywrF","https://drive.google.com/drive/folders/1Hb9zYPpkbblHpABKdOLnvjMj7LZhywrF"
"ns","immunizations","1OHIZDhIRzEjqnsqJNbU4yjXkjptLphan","https://drive.google.com/drive/folders/1OHIZDhIRzEjqnsqJNbU4yjXkjptLphan"
"ns","lab-testing","1-So7itIA8sLbcs-8bTKUgkM6SiTeGodm","https://drive.google.com/drive/folders/1-So7itIA8sLbcs-8bTKUgkM6SiTeGodm"
"ns","lab-testing-hos-icu-summary","1R7X8e_MOgY33l7FGzy5ezGk9EMIdrRB9","https://drive.google.com/drive/folders/1R7X8e_MOgY33l7FGzy5ezGk9EMIdrRB9"
"ns","serious-outcomes","1hgspEEG8vBQIIg6-R0S7Vd6TISXqMza0","https://drive.google.com/drive/folders/1hgspEEG8vBQIIg6-R0S7Vd6TISXqMza0"
"ns","zone-summary","1y6uhTk3LrK9wlgPlOlG40UWADYfIiY6d","https://drive.google.com/drive/folders/1y6uhTk3LrK9wlgPlOlG40UWADYfIiY6d"
"ns","zone-summary-cases","1EevtFYqWQJ-h5Zt2oJgr7_PM_Gn7XwAd","https://drive.google.com/drive/folders/1EevtFYqWQJ-h5Zt2oJgr7_PM_Gn7XwAd"
"nt","nwt-webpage","1K_lZ20FsBr3uc8z7VhbdP22xaD-_SFaV","https://drive.google.com/drive/folders/1K_lZ20FsBr3uc8z7VhbdP22xaD-_SFaV"
