,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,2830,47.2,647.92,3162,52.8,691.61,3,5995,670.60,2373,2631,5007,0,          . ,0.00,0,          . ,0.00,0,0,0.00,28,37.8,6.41,46,62.2,10.06,0,74,8.28,3,27.3,0.69,8,72.7,1.75,0,11,1.23,25,39.7,5.72,38,60.3,8.31,0,63,7.05
10-19 ans,6142,50.9,1426.25,5926,49.1,1323.62,3,12071,1374.28,5347,5172,10522,0,0.0,0.00,1,100.0,0.22,0,1,0.11,31,56.4,7.20,24,43.6,5.36,0,55,6.26,3,37.5,0.70,5,62.5,1.12,0,8,0.91,28,59.6,6.50,19,40.4,4.24,0,47,5.35
20-29 ans,10308,54.3,2025.25,8679,45.7,1585.89,34,19021,1800.83,9489,8018,17539,1,33.3,0.20,2,66.7,0.37,0,3,0.28,150,67.0,29.47,74,33.0,13.52,0,224,21.21,18,48.6,3.54,19,51.4,3.47,0,37,3.50,132,70.6,25.93,55,29.4,10.05,0,187,17.70
30-39 ans,9087,55.7,1660.72,7240,44.3,1273.00,23,16350,1465.18,8198,6618,14840,5,71.4,0.91,2,28.6,0.35,0,7,0.63,222,58.7,40.57,156,41.3,27.43,0,378,33.87,25,33.3,4.57,50,66.7,8.79,0,75,6.72,197,65.0,36.00,106,35.0,18.64,0,303,27.15
40-49 ans,9894,55.8,1826.02,7826,44.2,1400.00,22,17742,1611.69,8960,7054,16035,10,38.5,1.85,16,61.5,2.86,0,26,2.36,232,39.0,42.82,363,61.0,64.94,0,595,54.05,49,31.2,9.04,108,68.8,19.32,0,157,14.26,183,41.8,33.77,255,58.2,45.62,0,438,39.79
50-59 ans,8418,52.8,1434.04,7518,47.2,1263.45,12,15948,1349.18,7678,6776,14464,54,44.6,9.20,67,55.4,11.26,0,121,10.24,446,40.1,75.98,666,59.9,111.93,0,1112,94.07,97,32.0,16.52,206,68.0,34.62,0,303,25.63,349,43.1,59.45,460,56.9,77.31,0,809,68.44
60-69 ans,4800,48.6,828.72,5071,51.4,892.05,4,9875,860.44,4214,4293,8511,153,39.5,26.42,234,60.5,41.16,0,387,33.72,610,40.7,105.32,887,59.3,156.03,0,1497,130.44,143,33.3,24.69,286,66.7,50.31,0,429,37.38,467,43.7,80.63,601,56.3,105.72,0,1068,93.06
70-79 ans,3791,50.9,965.63,3654,49.1,1011.89,1,7446,987.92,2887,2597,5485,531,43.8,135.25,682,56.2,188.86,0,1213,160.94,1015,45.3,258.54,1226,54.7,339.51,0,2241,297.33,180,36.1,45.85,318,63.9,88.06,0,498,66.07,835,47.9,212.69,908,52.1,251.45,0,1743,231.26
80-89 ans,5870,63.3,3099.62,3407,36.7,2463.54,2,9279,2831.77,3787,1668,5456,1339,51.3,707.05,1269,48.7,917.59,1,2609,796.22,1494,54.6,788.90,1244,45.4,899.51,0,2738,835.58,111,47.8,58.61,121,52.2,87.49,0,232,70.80,1383,55.2,730.29,1123,44.8,812.02,0,2506,764.78
