,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,2725,47.3,623.88,3036,52.7,664.05,3,5764,644.76,2296,2566,4865,0,          . ,0.00,0,          . ,0.00,0,0,0.00,28,37.8,6.41,46,62.2,10.06,0,74,8.28,3,27.3,0.69,8,72.7,1.75,0,11,1.23,25,39.7,5.72,38,60.3,8.31,0,63,7.05
10-19 ans,5920,50.8,1374.70,5734,49.2,1280.74,3,11657,1327.15,5239,5052,10294,0,0.0,0.00,1,100.0,0.22,0,1,0.11,29,54.7,6.73,24,45.3,5.36,0,53,6.03,3,37.5,0.70,5,62.5,1.12,0,8,0.91,26,57.8,6.04,19,42.2,4.24,0,45,5.12
20-29 ans,10100,54.3,1984.39,8502,45.7,1553.54,34,18636,1764.38,9386,7914,17332,1,33.3,0.20,2,66.7,0.37,0,3,0.28,149,66.8,29.27,74,33.2,13.52,0,223,21.11,18,48.6,3.54,19,51.4,3.47,0,37,3.50,131,70.4,25.74,55,29.6,10.05,0,186,17.61
30-39 ans,8882,55.6,1623.25,7079,44.4,1244.69,23,15984,1432.38,8062,6511,14597,5,71.4,0.91,2,28.6,0.35,0,7,0.63,222,58.9,40.57,155,41.1,27.25,0,377,33.78,25,33.3,4.57,50,66.7,8.79,0,75,6.72,197,65.2,36.00,105,34.8,18.46,0,302,27.06
40-49 ans,9677,56.0,1785.97,7614,44.0,1362.08,21,17312,1572.63,8817,6933,15771,10,40.0,1.85,15,60.0,2.68,0,25,2.27,228,38.7,42.08,361,61.3,64.58,0,589,53.50,49,31.2,9.04,108,68.8,19.32,0,157,14.26,179,41.4,33.04,253,58.6,45.26,0,432,39.24
50-59 ans,8243,52.9,1404.23,7353,47.1,1235.72,11,15607,1320.33,7568,6673,14251,54,45.0,9.20,66,55.0,11.09,0,120,10.15,436,39.7,74.27,661,60.3,111.09,0,1097,92.80,92,31.2,15.67,203,68.8,34.12,0,295,24.96,344,42.9,58.60,458,57.1,76.97,0,802,67.85
60-69 ans,4694,48.7,810.42,4935,51.3,868.13,4,9633,839.35,4150,4235,8389,151,39.4,26.07,232,60.6,40.81,0,383,33.37,602,40.7,103.94,877,59.3,154.27,0,1479,128.87,139,32.8,24.00,285,67.2,50.13,0,424,36.94,463,43.9,79.94,592,56.1,104.14,0,1055,91.93
70-79 ans,3734,51.0,951.11,3591,49.0,994.44,1,7326,972.00,2845,2557,5403,521,43.6,132.71,674,56.4,186.65,0,1195,158.55,1004,45.4,255.74,1207,54.6,334.25,0,2211,293.35,178,36.2,45.34,314,63.8,86.95,0,492,65.28,826,48.1,210.40,893,51.9,247.29,0,1719,228.07
80-89 ans,5783,63.4,3053.68,3345,36.6,2418.71,2,9130,2786.30,3724,1628,5353,1331,51.4,702.83,1258,48.6,909.64,1,2590,790.42,1471,54.6,776.75,1221,45.4,882.88,0,2692,821.55,111,48.1,58.61,120,51.9,86.77,0,231,70.50,1360,55.3,718.14,1101,44.7,796.11,0,2461,751.05
90 ans et plus,4552,75.6,7815.13,1472,24.4,6026.86,2,6026,7289.22,2669,623,3294,1454,67.8,2496.31,692,32.2,2833.28,0,2146,2595.86,862,66.2,1479.93,441,33.8,1805.60,0,1303,1576.15,16,43.2,27.47,21,56.8,85.98,0,37,44.76,846,66.8,1452.46,420,33.2,1719.62,0,1266,1531.39
Inconnu,42,56.8,         .  ,32,43.2,         .  ,2,76,         .  ,105,65,172,7,30.4,         .  ,16,69.6,         .  ,0,23,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,64352,55.0,1506.42,52693,45.0,1234.83,106,117151,1371.94,54861,44757,99721,3534,54.4,82.73,2958,45.6,69.32,1,6493,76.04,5031,49.8,117.77,5067,50.2,118.74,0,10098,118.26,634,35.9,14.84,1133,64.1,26.55,0,1767,20.69,4397,52.8,102.93,3934,47.2,92.19,0,8331,97.56
Taux standardisés,           .,          . ,1473.08,           .,          . ,1254.74,           .,           .,1367.92,           .,           .,           .,           .,          . ,62.04,           .,          . ,78.81,           .,           .,69.17,           .,          . ,100.98,           .,          . ,125.03,           .,           .,111.98,           .,          . ,13.65,           .,          . ,26.54,           .,           .,19.86,           .,          . ,87.33,           .,          . ,98.49,           .,           .,92.12
