,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1447,47.8,331.29,1583,52.2,346.24,2,3032,339.16,1295,1400,2697,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,30.6,3.43,34,69.4,7.44,0,49,5.48,3,33.3,0.69,6,66.7,1.31,0,9,1.01,12,30.0,2.75,28,70.0,6.12,0,40,4.47
10-19 ans,3185,52.4,739.60,2896,47.6,646.85,3,6084,692.66,2625,2347,4974,0,0.0,0.00,1,100.0,0.22,0,1,0.11,24,54.5,5.57,20,45.5,4.47,0,44,5.01,3,50.0,0.70,3,50.0,0.67,0,6,0.68,21,55.3,4.88,17,44.7,3.80,0,38,4.33
20-29 ans,7107,55.0,1396.34,5816,45.0,1062.74,33,12956,1226.62,6339,5096,11466,1,33.3,0.20,2,66.7,0.37,0,3,0.28,113,69.8,22.20,49,30.2,8.95,0,162,15.34,15,53.6,2.95,13,46.4,2.38,0,28,2.65,98,73.1,19.25,36,26.9,6.58,0,134,12.69
30-39 ans,6009,55.9,1098.19,4747,44.1,834.66,23,10779,965.94,5407,4220,9649,4,66.7,0.73,2,33.3,0.35,0,6,0.54,159,59.6,29.06,108,40.4,18.99,0,267,23.93,21,38.2,3.84,34,61.8,5.98,0,55,4.93,138,65.1,25.22,74,34.9,13.01,0,212,19.00
40-49 ans,6625,57.0,1222.70,5002,43.0,894.81,21,11648,1058.11,6081,4490,10591,6,28.6,1.11,15,71.4,2.68,0,21,1.91,173,40.0,31.93,260,60.0,46.51,0,433,39.33,38,33.9,7.01,74,66.1,13.24,0,112,10.17,135,42.1,24.92,186,57.9,33.27,0,321,29.16
50-59 ans,5851,54.3,996.74,4916,45.7,826.17,8,10775,911.55,5369,4375,9751,47,43.1,8.01,62,56.9,10.42,0,109,9.22,303,40.1,51.62,452,59.9,75.96,0,755,63.87,67,32.1,11.41,142,67.9,23.86,0,209,17.68,236,43.2,40.20,310,56.8,52.10,0,546,46.19
60-69 ans,3242,49.5,559.73,3303,50.5,581.04,4,6549,570.63,2834,2774,5612,137,38.7,23.65,217,61.3,38.17,0,354,30.85,403,41.0,69.58,581,59.0,102.20,0,984,85.74,91,33.6,15.71,180,66.4,31.66,0,271,23.61,312,43.8,53.87,401,56.2,70.54,0,713,62.13
70-79 ans,2745,51.4,699.20,2592,48.6,717.79,0,5337,708.11,2075,1808,3883,459,43.4,116.91,599,56.6,165.88,0,1058,140.37,671,45.7,170.91,797,54.3,220.71,0,1468,194.77,124,40.7,31.58,181,59.3,50.12,0,305,40.47,547,47.0,139.33,616,53.0,170.59,0,1163,154.31
80-89 ans,4737,64.2,2501.35,2639,35.8,1908.21,2,7378,2251.62,3220,1323,4544,1222,51.8,645.27,1139,48.2,823.59,1,2362,720.84,1121,57.4,591.94,832,42.6,601.60,0,1953,596.02,71,47.3,37.49,79,52.7,57.12,0,150,45.78,1050,58.2,554.45,753,41.8,544.48,0,1803,550.24
