,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1759,47.7,402.72,1927,52.3,421.49,1,3687,412.43,1539,1694,3234,0,          . ,0.00,0,          . ,0.00,0,0,0.00,19,31.7,4.35,41,68.3,8.97,0,60,6.71,3,27.3,0.69,8,72.7,1.75,0,11,1.23,16,32.7,3.66,33,67.3,7.22,0,49,5.48
10-19 ans,4149,51.7,963.45,3881,48.3,866.86,3,8033,914.56,3552,3283,6837,0,0.0,0.00,1,100.0,0.22,0,1,0.11,25,51.0,5.81,24,49.0,5.36,0,49,5.58,3,37.5,0.70,5,62.5,1.12,0,8,0.91,22,53.7,5.11,19,46.3,4.24,0,41,4.67
20-29 ans,8217,54.5,1614.43,6865,45.5,1254.42,34,15116,1431.12,7579,6275,13885,1,33.3,0.20,2,66.7,0.37,0,3,0.28,134,67.7,26.33,64,32.3,11.69,0,198,18.75,18,51.4,3.54,17,48.6,3.11,0,35,3.31,116,71.2,22.79,47,28.8,8.59,0,163,15.43
30-39 ans,6952,55.4,1270.53,5598,44.6,984.29,24,12574,1126.80,6317,5108,11448,4,66.7,0.73,2,33.3,0.35,0,6,0.54,187,58.1,34.18,135,41.9,23.74,0,322,28.86,24,34.8,4.39,45,65.2,7.91,0,69,6.18,163,64.4,29.79,90,35.6,15.82,0,253,22.67
40-49 ans,7619,56.3,1406.15,5923,43.7,1059.57,20,13562,1231.98,6939,5328,12287,8,36.4,1.48,14,63.6,2.50,0,22,2.00,207,38.1,38.20,337,61.9,60.29,0,544,49.42,46,31.7,8.49,99,68.3,17.71,0,145,13.17,161,40.4,29.71,238,59.6,42.58,0,399,36.25
50-59 ans,6616,53.4,1127.06,5771,46.6,969.86,8,12395,1048.60,6060,5146,11214,47,43.1,8.01,62,56.9,10.42,0,109,9.22,391,40.4,66.61,577,59.6,96.97,0,968,81.89,88,32.5,14.99,183,67.5,30.75,0,271,22.93,303,43.5,51.62,394,56.5,66.21,0,697,58.97
60-69 ans,3734,49.0,644.67,3890,51.0,684.30,4,7628,664.65,3259,3262,6525,139,38.8,24.00,219,61.2,38.52,0,358,31.19,539,40.9,93.06,779,59.1,137.04,0,1318,114.84,128,32.7,22.10,263,67.3,46.26,0,391,34.07,411,44.3,70.96,516,55.7,90.77,0,927,80.77
70-79 ans,3057,51.0,778.67,2932,49.0,811.95,1,5990,794.74,2321,2041,4363,480,43.7,122.26,619,56.3,171.42,0,1099,145.81,852,45.1,217.02,1037,54.9,287.17,0,1889,250.63,159,36.6,40.50,275,63.4,76.15,0,434,57.58,693,47.6,176.52,762,52.4,211.02,0,1455,193.05
80-89 ans,5061,63.9,2672.43,2863,36.1,2070.18,2,7926,2418.86,3308,1363,4672,1249,51.6,659.53,1171,48.4,846.73,1,2421,738.84,1318,55.5,695.96,1057,44.5,764.30,0,2375,724.80,95,48.2,50.16,102,51.8,73.75,0,197,60.12,1223,56.2,645.80,955,43.8,690.54,0,2178,664.68
90 ans et plus,4037,76.1,6930.95,1271,23.9,5203.90,2,5310,6423.13,2401,534,2936,1372,68.3,2355.53,637,31.7,2608.09,0,2009,2430.14,787,68.0,1351.17,371,32.0,1519.00,0,1158,1400.75,15,45.5,25.75,18,54.5,73.70,0,33,39.92,772,68.6,1325.41,353,31.4,1445.30,0,1125,1360.83
Inconnu,42,56.8,         .  ,32,43.2,         .  ,2,76,         .  ,119,80,201,0,0.0,         .  ,4,100.0,         .  ,0,4,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,51243,55.6,1199.55,40953,44.4,959.71,101,92297,1080.88,43394,34114,77602,3300,54.7,77.25,2731,45.3,64.00,1,6032,70.64,4459,50.2,104.38,4422,49.8,103.63,0,8881,104.00,579,36.3,13.55,1015,63.7,23.79,0,1594,18.67,3880,53.2,90.83,3407,46.8,79.84,0,7287,85.34
Taux standardisés,           .,          . ,1166.59,           .,          . ,977.28,           .,           .,1076.04,           .,           .,           .,           .,          . ,57.95,           .,          . ,73.03,           .,           .,64.44,           .,          . ,89.39,           .,          . ,108.95,           .,           .,98.54,           .,          . ,12.52,           .,          . ,23.76,           .,           .,17.94,           .,          . ,76.87,           .,          . ,85.19,           .,           .,80.60
