,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1892,47.6,433.17,2081,52.4,455.17,1,3974,444.53,1622,1794,3417,0,          . ,0.00,0,          . ,0.00,0,0,0.00,21,33.9,4.81,41,66.1,8.97,0,62,6.94,3,27.3,0.69,8,72.7,1.75,0,11,1.23,18,35.3,4.12,33,64.7,7.22,0,51,5.70
10-19 ans,4431,51.3,1028.93,4206,48.7,939.45,3,8640,983.66,3839,3585,7427,0,0.0,0.00,1,100.0,0.22,0,1,0.11,27,52.9,6.27,24,47.1,5.36,0,51,5.81,3,37.5,0.70,5,62.5,1.12,0,8,0.91,24,55.8,5.57,19,44.2,4.24,0,43,4.90
20-29 ans,8542,54.4,1678.28,7174,45.6,1310.88,35,15751,1491.24,7930,6594,14556,1,33.3,0.20,2,66.7,0.37,0,3,0.28,136,66.7,26.72,68,33.3,12.43,0,204,19.31,18,51.4,3.54,17,48.6,3.11,0,35,3.31,118,69.8,23.18,51,30.2,9.32,0,169,16.00
30-39 ans,7223,55.3,1320.06,5833,44.7,1025.61,23,13079,1172.05,6607,5367,11998,4,66.7,0.73,2,33.3,0.35,0,6,0.54,194,58.6,35.45,137,41.4,24.09,0,331,29.66,24,34.3,4.39,46,65.7,8.09,0,70,6.27,170,65.1,31.07,91,34.9,16.00,0,261,23.39
40-49 ans,7937,56.1,1464.84,6211,43.9,1111.09,20,14168,1287.03,7249,5593,12862,9,39.1,1.66,14,60.9,2.50,0,23,2.09,209,37.9,38.57,343,62.1,61.36,0,552,50.14,46,31.1,8.49,102,68.9,18.25,0,148,13.44,163,40.3,30.08,241,59.7,43.11,0,404,36.70
50-59 ans,6881,53.3,1172.20,6040,46.7,1015.06,9,12930,1093.86,6300,5388,11696,47,43.1,8.01,62,56.9,10.42,0,109,9.22,399,40.5,67.97,587,59.5,98.65,0,986,83.41,88,32.4,14.99,184,67.6,30.92,0,272,23.01,311,43.6,52.98,403,56.4,67.73,0,714,60.40
60-69 ans,3896,49.0,672.64,4057,51.0,713.68,4,7957,693.32,3411,3447,6862,141,39.2,24.34,219,60.8,38.52,0,360,31.37,551,41.0,95.13,793,59.0,139.50,0,1344,117.11,129,32.7,22.27,266,67.3,46.79,0,395,34.42,422,44.5,72.86,527,55.5,92.71,0,949,82.69
70-79 ans,3160,51.1,804.90,3026,48.9,837.98,1,6187,820.88,2411,2138,4550,483,43.8,123.03,620,56.2,171.69,0,1103,146.34,880,45.2,224.15,1067,54.8,295.48,0,1947,258.33,166,36.7,42.28,286,63.3,79.20,0,452,59.97,714,47.8,181.87,781,52.2,216.28,0,1495,198.35
80-89 ans,5160,63.7,2724.71,2938,36.3,2124.41,2,8100,2471.96,3351,1380,4732,1259,51.6,664.81,1182,48.4,854.68,1,2442,745.25,1353,55.4,714.44,1090,44.6,788.16,0,2443,745.56,103,49.3,54.39,106,50.7,76.65,0,209,63.78,1250,56.0,660.06,984,44.0,711.51,0,2234,681.77
90 ans et plus,4122,76.0,7076.88,1302,24.0,5330.82,2,5426,6563.45,2424,544,2969,1380,68.4,2369.26,639,31.6,2616.28,0,2019,2442.24,799,67.7,1371.77,381,32.3,1559.94,0,1180,1427.36,16,47.1,27.47,18,52.9,73.70,0,34,41.13,783,68.3,1344.30,363,31.7,1486.24,0,1146,1386.23
