,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1401,48.0,320.75,1518,52.0,332.03,2,2921,326.74,1259,1355,2616,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,30.6,3.43,34,69.4,7.44,0,49,5.48,3,33.3,0.69,6,66.7,1.31,0,9,1.01,12,30.0,2.75,28,70.0,6.12,0,40,4.47
10-19 ans,2999,52.4,696.41,2720,47.6,607.54,3,5722,651.45,2456,2216,4674,0,0.0,0.00,1,100.0,0.22,0,1,0.11,22,53.7,5.11,19,46.3,4.24,0,41,4.67,3,50.0,0.70,3,50.0,0.67,0,6,0.68,19,54.3,4.41,16,45.7,3.57,0,35,3.98
20-29 ans,6879,55.1,1351.55,5606,44.9,1024.37,32,12517,1185.05,6112,4915,11056,1,33.3,0.20,2,66.7,0.37,0,3,0.28,111,69.4,21.81,49,30.6,8.95,0,160,15.15,15,53.6,2.95,13,46.4,2.38,0,28,2.65,96,72.7,18.86,36,27.3,6.58,0,132,12.50
30-39 ans,5815,56.1,1062.74,4558,43.9,801.43,23,10396,931.62,5265,4069,9356,4,66.7,0.73,2,33.3,0.35,0,6,0.54,158,60.1,28.88,105,39.9,18.46,0,263,23.57,21,38.9,3.84,33,61.1,5.80,0,54,4.84,137,65.6,25.04,72,34.4,12.66,0,209,18.73
40-49 ans,6463,57.2,1192.80,4843,42.8,866.37,21,11327,1028.95,5940,4382,10342,6,30.0,1.11,14,70.0,2.50,0,20,1.82,171,40.1,31.56,255,59.9,45.62,0,426,38.70,37,33.6,6.83,73,66.4,13.06,0,110,9.99,134,42.4,24.73,182,57.6,32.56,0,316,28.71
50-59 ans,5719,54.5,974.25,4777,45.5,802.81,8,10504,888.62,5261,4295,9563,47,43.1,8.01,62,56.9,10.42,0,109,9.22,301,40.3,51.28,445,59.7,74.79,0,746,63.11,66,31.7,11.24,142,68.3,23.86,0,208,17.60,235,43.7,40.03,303,56.3,50.92,0,538,45.51
60-69 ans,3150,49.6,543.85,3197,50.4,562.39,4,6351,553.38,2781,2718,5503,135,38.4,23.31,217,61.6,38.17,0,352,30.67,399,41.4,68.89,565,58.6,99.39,0,964,84.00,91,34.5,15.71,173,65.5,30.43,0,264,23.00,308,44.0,53.18,392,56.0,68.96,0,700,60.99
70-79 ans,2696,51.4,686.72,2548,48.6,705.61,0,5244,695.77,2037,1780,3817,458,43.5,116.66,596,56.5,165.05,0,1054,139.84,668,46.0,170.15,784,54.0,217.11,0,1452,192.65,124,41.1,31.58,178,58.9,49.29,0,302,40.07,544,47.3,138.57,606,52.7,167.82,0,1150,152.58
80-89 ans,4699,64.3,2481.28,2610,35.7,1887.24,2,7311,2231.17,3215,1318,4534,1218,51.7,643.16,1137,48.3,822.14,1,2356,719.01,1114,57.6,588.24,820,42.4,592.93,0,1934,590.22,71,48.3,37.49,76,51.7,54.95,0,147,44.86,1043,58.4,550.75,744,41.6,537.97,0,1787,545.36
90 ans et plus,3831,76.5,6577.28,1179,23.5,4827.22,2,5012,6062.66,2356,522,2879,1348,68.6,2314.32,616,31.4,2522.11,0,1964,2375.71,666,68.6,1143.43,305,31.4,1248.77,0,971,1174.55,12,52.2,20.60,11,47.8,45.04,0,23,27.82,654,69.0,1122.82,294,31.0,1203.73,0,948,1146.73
Inconnu,41,56.2,         .  ,32,43.8,         .  ,2,75,         .  ,68,68,138,1,50.0,         .  ,1,50.0,         .  ,0,2,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,43693,56.5,1022.81,33588,43.5,787.11,99,77380,906.19,36750,27638,64478,3218,54.9,75.33,2648,45.1,62.05,1,5867,68.71,3625,51.7,84.86,3381,48.3,79.23,0,7006,82.05,443,38.5,10.37,708,61.5,16.59,0,1151,13.48,3182,54.3,74.49,2673,45.7,62.64,0,5855,68.57
Taux standardisés,           .,          . ,989.01,           .,          . ,803.87,           .,           .,900.69,           .,           .,           .,           .,          . ,56.44,           .,          . ,70.87,           .,           .,62.71,           .,          . ,72.38,           .,          . ,83.64,           .,           .,77.71,           .,          . ,9.58,           .,          . ,16.65,           .,           .,13.00,           .,          . ,62.80,           .,          . ,66.99,           .,           .,64.71
