,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,3682,47.8,842.98,4027,52.2,880.81,2,7711,862.55,3253,3604,6859,0,          . ,0.00,0,          . ,0.00,0,0,0.00,31,38.8,7.10,49,61.3,10.72,0,80,8.95,3,27.3,0.69,8,72.7,1.75,0,11,1.23,28,40.6,6.41,41,59.4,8.97,0,69,7.72
10-19 ans,7603,50.6,1765.51,7432,49.4,1660.00,3,15038,1712.07,6892,6719,13614,0,0.0,0.00,1,100.0,0.22,0,1,0.11,36,56.3,8.36,28,43.8,6.25,0,64,7.29,3,37.5,0.70,5,62.5,1.12,0,8,0.91,33,58.9,7.66,23,41.1,5.14,0,56,6.38
20-29 ans,11877,54.1,2333.52,10067,45.9,1839.51,35,21979,2080.88,11079,9372,20485,1,33.3,0.20,2,66.7,0.37,0,3,0.28,161,66.0,31.63,83,34.0,15.17,0,244,23.10,21,48.8,4.13,22,51.2,4.02,0,43,4.07,140,69.7,27.51,61,30.3,11.15,0,201,19.03
30-39 ans,10678,55.7,1951.49,8494,44.3,1493.49,23,19195,1720.13,9854,7894,17771,5,62.5,0.91,3,37.5,0.53,0,8,0.72,240,58.8,43.86,168,41.2,29.54,0,408,36.56,26,32.9,4.75,53,67.1,9.32,0,79,7.08,214,65.0,39.11,115,35.0,20.22,0,329,29.48
40-49 ans,11553,55.8,2132.21,9165,44.2,1639.54,24,20742,1884.21,10689,8464,19176,11,42.3,2.03,15,57.7,2.68,0,26,2.36,254,39.8,46.88,384,60.2,68.69,0,638,57.96,53,32.3,9.78,111,67.7,19.86,0,164,14.90,201,42.4,37.10,273,57.6,48.84,0,474,43.06
50-59 ans,9834,52.8,1675.26,8788,47.2,1476.88,11,18633,1576.33,9047,8046,17104,58,44.6,9.88,72,55.4,12.10,0,130,11.00,481,40.0,81.94,720,60.0,121.00,0,1201,101.60,104,32.5,17.72,216,67.5,36.30,0,320,27.07,377,42.8,64.22,504,57.2,84.70,0,881,74.53
60-69 ans,5670,48.9,978.92,5936,51.1,1044.21,4,11610,1011.61,5043,5203,10250,163,39.1,28.14,254,60.9,44.68,0,417,36.33,697,41.1,120.34,999,58.9,175.74,0,1696,147.78,157,33.2,27.11,316,66.8,55.59,0,473,41.21,540,44.2,93.23,683,55.8,120.15,0,1223,106.56
70-79 ans,4378,51.0,1115.15,4206,49.0,1164.75,1,8585,1139.05,3375,3103,6479,576,44.0,146.72,733,56.0,202.99,0,1309,173.68,1146,45.6,291.91,1368,54.4,378.83,0,2514,333.55,201,37.2,51.20,340,62.8,94.15,0,541,71.78,945,47.9,240.71,1028,52.1,284.68,0,1973,261.77
80-89 ans,6678,63.1,3526.28,3908,36.9,2825.80,2,10588,3231.25,4304,1940,6245,1426,51.0,752.99,1368,49.0,989.18,1,2795,852.98,1651,53.8,871.80,1419,46.2,1026.05,0,3070,936.90,120,46.0,63.37,141,54.0,101.95,0,261,79.65,1531,54.5,808.44,1278,45.5,924.10,0,2809,857.25
