,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,2077,47.2,475.52,2319,52.8,507.23,2,4398,491.96,1795,1984,3780,0,          . ,0.00,0,          . ,0.00,0,0,0.00,22,33.8,5.04,43,66.2,9.41,0,65,7.27,3,27.3,0.69,8,72.7,1.75,0,11,1.23,19,35.2,4.35,35,64.8,7.66,0,54,6.04
10-19 ans,4840,51.2,1123.91,4611,48.8,1029.91,2,9453,1076.22,4250,4008,8260,0,0.0,0.00,1,100.0,0.22,0,1,0.11,27,52.9,6.27,24,47.1,5.36,0,51,5.81,3,37.5,0.70,5,62.5,1.12,0,8,0.91,24,55.8,5.57,19,44.2,4.24,0,43,4.90
20-29 ans,8983,54.3,1764.93,7571,45.7,1383.42,33,16587,1570.38,8367,7018,15417,1,33.3,0.20,2,66.7,0.37,0,3,0.28,140,66.0,27.51,72,34.0,13.16,0,212,20.07,18,50.0,3.54,18,50.0,3.29,0,36,3.41,122,69.3,23.97,54,30.7,9.87,0,176,16.66
30-39 ans,7660,55.3,1399.92,6190,44.7,1088.38,24,13874,1243.29,7040,5728,12792,5,71.4,0.91,2,28.6,0.35,0,7,0.63,202,58.6,36.92,143,41.4,25.14,0,345,30.92,24,33.8,4.39,47,66.2,8.26,0,71,6.36,178,65.0,32.53,96,35.0,16.88,0,274,24.55
40-49 ans,8412,56.1,1552.51,6587,43.9,1178.36,21,15020,1364.42,7733,6013,13767,9,37.5,1.66,15,62.5,2.68,0,24,2.18,217,38.5,40.05,347,61.5,62.08,0,564,51.23,48,31.8,8.86,103,68.2,18.43,0,151,13.72,169,40.9,31.19,244,59.1,43.65,0,413,37.52
50-59 ans,7266,53.1,1237.79,6423,46.9,1079.43,9,13698,1158.83,6684,5789,12482,50,44.2,8.52,63,55.8,10.59,0,113,9.56,406,39.6,69.16,618,60.4,103.86,0,1024,86.63,88,31.8,14.99,189,68.2,31.76,0,277,23.43,318,42.6,54.17,429,57.4,72.10,0,747,63.20
60-69 ans,4114,48.8,710.28,4309,51.2,758.00,4,8427,734.27,3637,3688,7329,141,38.5,24.34,225,61.5,39.58,0,366,31.89,569,40.9,98.24,823,59.1,144.78,0,1392,121.29,135,33.2,23.31,272,66.8,47.85,0,407,35.46,434,44.1,74.93,551,55.9,96.93,0,985,85.83
70-79 ans,3281,50.8,835.73,3178,49.2,880.07,1,6460,857.10,2554,2255,4810,491,43.6,125.07,636,56.4,176.12,0,1127,149.53,919,45.5,234.08,1102,54.5,305.17,0,2021,268.14,170,36.3,43.30,298,63.7,82.52,0,468,62.09,749,48.2,190.78,804,51.8,222.65,0,1553,206.05
80-89 ans,5310,63.7,2803.92,3025,36.3,2187.32,2,8337,2544.29,3451,1448,4900,1278,51.6,674.84,1201,48.4,868.42,1,2480,756.85,1391,55.6,734.51,1112,44.4,804.07,0,2503,763.87,104,48.1,54.92,112,51.9,80.99,0,216,65.92,1287,56.3,679.59,1000,43.7,723.08,0,2287,697.95
