,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,2118,47.2,484.91,2365,52.8,517.29,2,4485,501.69,1829,2017,3847,0,          . ,0.00,0,          . ,0.00,0,0,0.00,23,34.8,5.27,43,65.2,9.41,0,66,7.38,3,27.3,0.69,8,72.7,1.75,0,11,1.23,20,36.4,4.58,35,63.6,7.66,0,55,6.15
10-19 ans,4901,51.1,1138.07,4692,48.9,1048.00,2,9595,1092.39,4318,4086,8406,0,0.0,0.00,1,100.0,0.22,0,1,0.11,27,52.9,6.27,24,47.1,5.36,0,51,5.81,3,37.5,0.70,5,62.5,1.12,0,8,0.91,24,55.8,5.57,19,44.2,4.24,0,43,4.90
20-29 ans,9043,54.3,1776.72,7617,45.7,1391.83,33,16693,1580.42,8428,7084,15544,1,33.3,0.20,2,66.7,0.37,0,3,0.28,140,66.0,27.51,72,34.0,13.16,0,212,20.07,18,50.0,3.54,18,50.0,3.29,0,36,3.41,122,69.3,23.97,54,30.7,9.87,0,176,16.66
30-39 ans,7719,55.3,1410.71,6245,44.7,1098.05,23,13987,1253.42,7097,5774,12895,5,71.4,0.91,2,28.6,0.35,0,7,0.63,205,58.6,37.47,145,41.4,25.50,0,350,31.36,25,34.7,4.57,47,65.3,8.26,0,72,6.45,180,64.7,32.90,98,35.3,17.23,0,278,24.91
40-49 ans,8478,56.1,1564.69,6643,43.9,1188.37,21,15142,1375.51,7806,6067,13894,9,37.5,1.66,15,62.5,2.68,0,24,2.18,218,38.4,40.23,349,61.6,62.43,0,567,51.51,48,31.6,8.86,104,68.4,18.60,0,152,13.81,170,41.0,31.37,245,59.0,43.83,0,415,37.70
50-59 ans,7323,53.0,1247.50,6489,47.0,1090.52,9,13821,1169.24,6728,5859,12596,50,44.2,8.52,63,55.8,10.59,0,113,9.56,409,39.6,69.67,623,60.4,104.70,0,1032,87.31,88,31.4,14.99,192,68.6,32.27,0,280,23.69,321,42.7,54.68,431,57.3,72.43,0,752,63.62
60-69 ans,4158,48.9,717.88,4353,51.1,765.75,4,8515,741.94,3676,3733,7413,143,38.6,24.69,227,61.4,39.93,0,370,32.24,571,40.8,98.58,827,59.2,145.48,0,1398,121.81,135,33.2,23.31,272,66.8,47.85,0,407,35.46,436,44.0,75.28,555,56.0,97.63,0,991,86.35
70-79 ans,3318,50.9,845.15,3207,49.1,888.10,1,6526,865.86,2569,2275,4845,493,43.5,125.58,640,56.5,177.23,0,1133,150.32,925,45.4,235.61,1113,54.6,308.22,0,2038,270.40,170,36.3,43.30,298,63.7,82.52,0,468,62.09,755,48.1,192.31,815,51.9,225.69,0,1570,208.31
80-89 ans,5341,63.7,2820.29,3045,36.3,2201.78,2,8388,2559.85,3475,1467,4943,1278,51.5,674.84,1203,48.5,869.87,1,2482,757.46,1397,55.5,737.68,1118,44.5,808.41,0,2515,767.53,104,47.9,54.92,113,52.1,81.71,0,217,66.22,1293,56.3,682.76,1005,43.7,726.70,0,2298,701.30
90 ans et plus,4237,75.9,7274.32,1348,24.1,5519.16,3,5588,6759.40,2498,572,3071,1396,68.3,2396.73,648,31.7,2653.13,0,2044,2472.48,822,67.2,1411.26,401,32.8,1641.83,0,1223,1479.38,16,47.1,27.47,18,52.9,73.70,0,34,41.13,806,67.8,1383.79,383,32.2,1568.13,0,1189,1438.25
Inconnu,41,56.9,         .  ,31,43.1,         .  ,2,74,         .  ,100,82,184,4,33.3,         .  ,8,66.7,         .  ,0,12,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,56677,55.2,1326.76,46035,44.8,1078.80,102,102814,1204.04,48524,39016,87638,3379,54.6,79.10,2809,45.4,65.83,1,6189,72.48,4737,50.1,110.89,4715,49.9,110.49,0,9452,110.69,610,36.2,14.28,1075,63.8,25.19,0,1685,19.73,4127,53.1,96.61,3640,46.9,85.30,0,7767,90.96
Taux standardisés,           .,          . ,1293.97,           .,          . ,1097.29,           .,           .,1199.72,           .,           .,           .,           .,          . ,59.32,           .,          . ,74.93,           .,           .,66.05,           .,          . ,95.01,           .,          . ,116.21,           .,           .,104.86,           .,          . ,13.15,           .,          . ,25.15,           .,           .,18.94,           .,          . ,81.86,           .,          . ,91.06,           .,           .,85.92
