,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1605,47.4,367.46,1781,52.6,389.55,1,3387,378.87,1436,1566,3003,0,          . ,0.00,0,          . ,0.00,0,0,0.00,18,31.6,4.12,39,68.4,8.53,0,57,6.38,3,27.3,0.69,8,72.7,1.75,0,11,1.23,15,32.6,3.43,31,67.4,6.78,0,46,5.15
10-19 ans,3741,51.7,868.71,3488,48.3,779.08,3,7232,823.36,3162,2877,6041,0,0.0,0.00,1,100.0,0.22,0,1,0.11,25,52.1,5.81,23,47.9,5.14,0,48,5.46,3,37.5,0.70,5,62.5,1.12,0,8,0.91,22,55.0,5.11,18,45.0,4.02,0,40,4.55
20-29 ans,7816,54.6,1535.64,6489,45.4,1185.71,34,14339,1357.55,7099,5805,12935,1,33.3,0.20,2,66.7,0.37,0,3,0.28,133,68.2,26.13,62,31.8,11.33,0,195,18.46,18,51.4,3.54,17,48.6,3.11,0,35,3.31,115,71.9,22.59,45,28.1,8.22,0,160,15.15
30-39 ans,6537,55.3,1194.69,5274,44.7,927.32,23,11834,1060.48,5957,4743,10723,4,66.7,0.73,2,33.3,0.35,0,6,0.54,184,58.4,33.63,131,41.6,23.03,0,315,28.23,24,34.8,4.39,45,65.2,7.91,0,69,6.18,160,65.0,29.24,86,35.0,15.12,0,246,22.04
40-49 ans,7163,56.5,1321.99,5522,43.5,987.84,20,12705,1154.13,6586,4959,11565,6,30.0,1.11,14,70.0,2.50,0,20,1.82,203,38.4,37.47,325,61.6,58.14,0,528,47.96,46,32.4,8.49,96,67.6,17.17,0,142,12.90,157,40.7,28.98,229,59.3,40.97,0,386,35.06
50-59 ans,6283,53.9,1070.33,5384,46.1,904.82,8,11675,987.69,5767,4837,10612,47,43.1,8.01,62,56.9,10.42,0,109,9.22,384,40.5,65.42,564,59.5,94.78,0,948,80.20,88,32.6,14.99,182,67.4,30.59,0,270,22.84,296,43.7,50.42,382,56.3,64.20,0,678,57.36
60-69 ans,3527,49.1,608.94,3649,50.9,641.90,4,7180,625.61,3071,3038,6113,139,39.0,24.00,217,61.0,38.17,0,356,31.02,516,41.0,89.09,743,59.0,130.70,0,1259,109.70,125,33.4,21.58,249,66.6,43.80,0,374,32.59,391,44.2,67.51,494,55.8,86.90,0,885,77.11
70-79 ans,2924,51.2,744.79,2787,48.8,771.79,2,5713,757.99,2222,1931,4153,470,43.6,119.72,608,56.4,168.37,0,1078,143.03,827,45.2,210.65,1001,54.8,277.20,0,1828,242.54,156,37.2,39.74,263,62.8,72.83,0,419,55.59,671,47.6,170.91,738,52.4,204.37,0,1409,186.94
80-89 ans,4899,64.1,2586.89,2747,35.9,1986.30,2,7648,2334.02,3264,1335,4600,1237,51.6,653.19,1158,48.4,837.33,1,2396,731.21,1294,55.9,683.29,1019,44.1,736.82,0,2313,705.88,89,48.6,47.00,94,51.4,67.97,0,183,55.85,1205,56.6,636.29,925,43.4,668.85,0,2130,650.03
90 ans et plus,3952,76.2,6785.02,1235,23.8,5056.50,2,5189,6276.76,2382,528,2912,1361,68.4,2336.64,630,31.6,2579.43,0,1991,2408.37,772,68.0,1325.41,363,32.0,1486.24,0,1135,1372.93,15,45.5,25.75,18,54.5,73.70,0,33,39.92,757,68.7,1299.66,345,31.3,1412.55,0,1102,1333.01
Inconnu,40,55.6,         .  ,32,44.4,         .  ,2,74,         .  ,120,78,200,1,20.0,         .  ,4,80.0,         .  ,0,5,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,48487,55.8,1135.04,38388,44.2,899.60,101,86976,1018.56,41066,31697,72857,3266,54.8,76.45,2698,45.2,63.23,1,5965,69.86,4356,50.5,101.97,4270,49.5,100.06,0,8626,101.02,567,36.7,13.27,977,63.3,22.90,0,1544,18.08,3789,53.5,88.70,3293,46.5,77.17,0,7082,82.94
Taux standardisés,           .,          . ,1102.07,           .,          . ,916.66,           .,           .,1013.55,           .,           .,           .,           .,          . ,57.32,           .,          . ,72.17,           .,           .,63.72,           .,          . ,87.31,           .,          . ,105.28,           .,           .,95.73,           .,          . ,12.28,           .,          . ,22.88,           .,           .,17.40,           .,          . ,75.03,           .,          . ,82.39,           .,           .,78.33
