,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,3368,47.5,771.09,3716,52.5,812.79,2,7086,792.64,2975,3321,6298,0,          . ,0.00,0,          . ,0.00,0,0,0.00,30,39.0,6.87,47,61.0,10.28,0,77,8.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,27,40.9,6.18,39,59.1,8.53,0,66,7.38
10-19 ans        ,7115,50.7,1652.19,6925,49.3,1546.76,3,14043,1598.79,6441,6266,12710,0,0.0,0.00,1,100.0,0.22,0,1,0.11,32,53.3,7.43,28,46.7,6.25,0,60,6.83,3,37.5,0.70,5,62.5,1.12,0,8,0.91,29,55.8,6.73,23,44.2,5.14,0,52,5.92
20-29 ans        ,11278,54.2,2215.83,9529,45.8,1741.20,35,20842,1973.23,10579,8941,19553,1,33.3,0.20,2,66.7,0.37,0,3,0.28,155,66.5,30.45,78,33.5,14.25,0,233,22.06,18,47.4,3.54,20,52.6,3.65,0,38,3.60,137,70.3,26.92,58,29.7,10.60,0,195,18.46
30-39 ans        ,10087,55.6,1843.48,8041,44.4,1413.84,23,18151,1626.57,9339,7472,16835,5,71.4,0.91,2,28.6,0.35,0,7,0.63,232,58.3,42.40,166,41.7,29.19,0,398,35.67,26,32.9,4.75,53,67.1,9.32,0,79,7.08,206,64.6,37.65,113,35.4,19.87,0,319,28.59
40-49 ans        ,10914,55.8,2014.27,8657,44.2,1548.66,23,19594,1779.93,10169,8053,18244,11,42.3,2.03,15,57.7,2.68,0,26,2.36,246,39.5,45.40,376,60.5,67.26,0,622,56.50,51,31.9,9.41,109,68.1,19.50,0,160,14.53,195,42.2,35.99,267,57.8,47.76,0,462,41.97
50-59 ans        ,9322,52.8,1588.04,8321,47.2,1398.40,11,17654,1493.51,8566,7639,16216,57,45.6,9.71,68,54.4,11.43,0,125,10.57,472,40.2,80.41,701,59.8,117.81,0,1173,99.23,102,32.8,17.38,209,67.2,35.12,0,311,26.31,370,42.9,63.03,492,57.1,82.68,0,862,72.92
60-69 ans        ,5366,48.8,926.44,5635,51.2,991.26,4,11005,958.90,4759,4895,9658,156,39.0,26.93,244,61.0,42.92,0,400,34.85,662,40.8,114.29,962,59.2,169.23,0,1624,141.50,151,33.2,26.07,304,66.8,53.48,0,455,39.65,511,43.7,88.22,658,56.3,115.75,0,1169,101.86
70-79 ans        ,4164,51.0,1060.64,4003,49.0,1108.53,1,8168,1083.72,3186,2926,6113,559,43.9,142.39,714,56.1,197.72,0,1273,168.90,1097,45.6,279.42,1309,54.4,362.50,0,2406,319.22,197,37.2,50.18,333,62.8,92.22,0,530,70.32,900,48.0,229.25,976,52.0,270.28,0,1876,248.91
80-89 ans        ,6348,63.2,3352.03,3692,36.8,2669.62,2,10042,3064.62,4101,1822,5924,1394,51.2,736.09,1330,48.8,961.70,1,2725,831.62,1584,54.0,836.42,1351,46.0,976.88,0,2935,895.70,119,47.4,62.84,132,52.6,95.45,0,251,76.60,1465,54.6,773.59,1219,45.4,881.44,0,2684,819.10
90 ans et plus   ,4933,75.3,8469.25,1614,24.7,6608.25,2,6549,7921.86,2866,697,3565,1519,67.5,2607.90,730,32.5,2988.86,0,2249,2720.45,929,65.7,1594.96,485,34.3,1985.75,0,1414,1710.41,17,43.6,29.19,22,56.4,90.08,0,39,47.18,912,66.3,1565.77,463,33.7,1895.68,0,1375,1663.24
Inconnu          ,39,55.7,         .  ,31,44.3,         .  ,2,72,         .  ,150,99,251,11,33.3,         .  ,22,66.7,         .  ,0,33,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,72934,54.8,1707.32,60164,45.2,1409.91,108,133206,1559.96,63131,52131,115367,3713,54.3,86.92,3128,45.7,73.30,1,6842,80.13,5439,49.7,127.32,5503,50.3,128.96,0,10942,128.14,687,36.5,16.08,1195,63.5,28.00,0,1882,22.04,4752,52.5,111.24,4308,47.5,100.96,0,9060,106.10
Taux standardisés,           .,          . ,1672.92,           .,          . ,1431.51,           .,           .,1556.27,           .,           .,           .,           .,          . ,65.14,           .,          . ,83.19,           .,           .,72.78,           .,          . ,109.14,           .,          . ,135.89,           .,           .,121.27,           .,          . ,14.79,           .,          . ,27.99,           .,           .,21.13,           .,          . ,94.35,           .,          . ,107.90,           .,           .,100.13
