,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,3329,47.5,762.16,3678,52.5,804.48,2,7009,784.03,2914,3269,6185,0,          . ,0.00,0,          . ,0.00,0,0,0.00,30,39.0,6.87,47,61.0,10.28,0,77,8.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,27,40.9,6.18,39,59.1,8.53,0,66,7.38
10-19 ans,7045,50.8,1635.94,6832,49.2,1525.99,3,13880,1580.24,6321,6149,12473,0,0.0,0.00,1,100.0,0.22,0,1,0.11,32,53.3,7.43,28,46.7,6.25,0,60,6.83,3,37.5,0.70,5,62.5,1.12,0,8,0.91,29,55.8,6.73,23,44.2,5.14,0,52,5.92
20-29 ans,11190,54.2,2198.54,9467,45.8,1729.87,35,20692,1959.03,10492,8853,19378,1,33.3,0.20,2,66.7,0.37,0,3,0.28,155,66.5,30.45,78,33.5,14.25,0,233,22.06,18,47.4,3.54,20,52.6,3.65,0,38,3.60,137,70.3,26.92,58,29.7,10.60,0,195,18.46
30-39 ans,10008,55.7,1829.04,7970,44.3,1401.36,23,18001,1613.13,9221,7383,16628,5,71.4,0.91,2,28.6,0.35,0,7,0.63,232,58.6,42.40,164,41.4,28.84,0,396,35.49,26,33.3,4.75,52,66.7,9.14,0,78,6.99,206,64.8,37.65,112,35.2,19.69,0,318,28.50
40-49 ans,10834,55.8,1999.51,8577,44.2,1534.35,23,19434,1765.39,10060,7944,18026,11,42.3,2.03,15,57.7,2.68,0,26,2.36,244,39.4,45.03,376,60.6,67.26,0,620,56.32,50,31.4,9.23,109,68.6,19.50,0,159,14.44,194,42.1,35.80,267,57.9,47.76,0,461,41.88
50-59 ans,9245,52.9,1574.92,8246,47.1,1385.80,11,17502,1480.65,8486,7560,16057,57,45.6,9.71,68,54.4,11.43,0,125,10.57,472,40.4,80.41,697,59.6,117.14,0,1169,98.90,102,32.8,17.38,209,67.2,35.12,0,311,26.31,370,43.1,63.03,488,56.9,82.01,0,858,72.59
60-69 ans,5320,48.8,918.50,5585,51.2,982.47,4,10909,950.53,4716,4848,9568,156,39.0,26.93,244,61.0,42.92,0,400,34.85,660,40.8,113.95,957,59.2,168.35,0,1617,140.89,151,33.4,26.07,301,66.6,52.95,0,452,39.38,509,43.7,87.88,656,56.3,115.40,0,1165,101.51
70-79 ans,4125,50.9,1050.71,3972,49.1,1099.95,1,8098,1074.43,3165,2897,6063,556,43.8,141.62,712,56.2,197.17,0,1268,168.24,1092,45.6,278.15,1301,54.4,360.28,0,2393,317.50,197,37.3,50.18,331,62.7,91.66,0,528,70.05,895,48.0,227.97,970,52.0,268.62,0,1865,247.45
80-89 ans,6290,63.2,3321.40,3660,36.8,2646.48,2,9952,3037.16,4084,1809,5894,1394,51.3,736.09,1322,48.7,955.91,1,2717,829.18,1581,54.1,834.84,1344,45.9,971.82,0,2925,892.65,118,47.2,62.31,132,52.8,95.45,0,250,76.30,1463,54.7,772.53,1212,45.3,876.37,0,2675,816.36
90 ans et plus,4886,75.3,8388.56,1604,24.7,6567.31,2,6492,7852.91,2854,693,3549,1519,67.5,2607.90,730,32.5,2988.86,0,2249,2720.45,921,65.6,1581.22,482,34.4,1973.47,0,1403,1697.11,17,43.6,29.19,22,56.4,90.08,0,39,47.18,904,66.3,1552.04,460,33.7,1883.39,0,1364,1649.93
Inconnu,39,54.9,         .  ,32,45.1,         .  ,2,73,         .  ,160,102,264,11,33.3,         .  ,22,66.7,         .  ,0,33,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,72311,54.8,1692.74,59623,45.2,1397.23,108,132042,1546.33,62473,51507,114085,3710,54.3,86.85,3118,45.7,73.07,1,6829,79.97,5419,49.7,126.85,5474,50.3,128.28,0,10893,127.57,685,36.6,16.04,1189,63.4,27.86,0,1874,21.95,4734,52.5,110.82,4285,47.5,100.42,0,9019,105.62
Taux standardisés,           .,          . ,1658.71,           .,          . ,1418.66,           .,           .,1542.66,           .,           .,           .,           .,          . ,65.09,           .,          . ,82.94,           .,           .,72.64,           .,          . ,108.78,           .,          . ,135.17,           .,           .,120.74,           .,          . ,14.75,           .,          . ,27.85,           .,           .,21.05,           .,          . ,94.04,           .,          . ,107.32,           .,           .,99.69
