,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,2564,47.2,587.02,2869,52.8,627.53,3,5436,608.07,2172,2433,4608,0,          . ,0.00,0,          . ,0.00,0,0,0.00,26,36.1,5.95,46,63.9,10.06,0,72,8.05,3,27.3,0.69,8,72.7,1.75,0,11,1.23,23,37.7,5.27,38,62.3,8.31,0,61,6.82
10-19 ans,5649,50.8,1311.77,5464,49.2,1220.43,3,11116,1265.55,5018,4826,9847,0,0.0,0.00,1,100.0,0.22,0,1,0.11,29,54.7,6.73,24,45.3,5.36,0,53,6.03,3,37.5,0.70,5,62.5,1.12,0,8,0.91,26,57.8,6.04,19,42.2,4.24,0,45,5.12
20-29 ans,9801,54.2,1925.64,8276,45.8,1512.25,34,18111,1714.67,9146,7734,16912,1,33.3,0.20,2,66.7,0.37,0,3,0.28,148,66.7,29.08,74,33.3,13.52,0,222,21.02,18,48.6,3.54,19,51.4,3.47,0,37,3.50,130,70.3,25.54,55,29.7,10.05,0,185,17.51
30-39 ans,8591,55.6,1570.07,6872,44.4,1208.30,24,15487,1387.84,7811,6330,14165,5,71.4,0.91,2,28.6,0.35,0,7,0.63,220,58.8,40.21,154,41.2,27.08,0,374,33.52,25,33.3,4.57,50,66.7,8.79,0,75,6.72,195,65.2,35.64,104,34.8,18.29,0,299,26.79
40-49 ans,9357,56.0,1726.92,7362,44.0,1317.00,21,16740,1520.67,8590,6719,15330,10,40.0,1.85,15,60.0,2.68,0,25,2.27,224,38.3,41.34,361,61.7,64.58,0,585,53.14,49,31.2,9.04,108,68.8,19.32,0,157,14.26,175,40.9,32.30,253,59.1,45.26,0,428,38.88
50-59 ans,8024,53.0,1366.92,7121,47.0,1196.73,10,15155,1282.09,7361,6466,13837,53,44.9,9.03,65,55.1,10.92,0,118,9.98,430,39.7,73.25,653,60.3,109.74,0,1083,91.62,91,31.1,15.50,202,68.9,33.95,0,293,24.79,339,42.9,57.75,451,57.1,75.79,0,790,66.83
60-69 ans,4554,48.8,786.25,4780,51.2,840.86,4,9338,813.65,4039,4125,8168,151,39.4,26.07,232,60.6,40.81,0,383,33.37,593,40.7,102.38,865,59.3,152.16,0,1458,127.04,139,33.1,24.00,281,66.9,49.43,0,420,36.60,454,43.7,78.38,584,56.3,102.73,0,1038,90.44
70-79 ans,3630,51.0,924.62,3485,49.0,965.09,1,7116,944.14,2771,2506,5278,518,43.6,131.94,669,56.4,185.26,0,1187,157.49,980,45.3,249.62,1182,54.7,327.33,0,2162,286.85,174,35.7,44.32,313,64.3,86.68,0,487,64.61,806,48.1,205.30,869,51.9,240.65,0,1675,222.24
80-89 ans,5669,63.5,2993.48,3259,36.5,2356.52,2,8930,2725.26,3668,1589,5258,1318,51.4,695.96,1248,48.6,902.41,1,2567,783.40,1456,55.0,768.83,1191,45.0,861.19,0,2647,807.81,108,47.8,57.03,118,52.2,85.32,0,226,68.97,1348,55.7,711.80,1073,44.3,775.87,0,2421,738.84
90 ans et plus,4480,75.7,7691.52,1437,24.3,5883.56,2,5919,7159.79,2632,612,3245,1436,67.8,2465.41,682,32.2,2792.34,0,2118,2561.99,851,66.5,1461.04,429,33.5,1756.47,0,1280,1548.32,16,44.4,27.47,20,55.6,81.89,0,36,43.55,835,67.1,1433.57,409,32.9,1674.58,0,1244,1504.78
Inconnu,42,57.5,         .  ,31,42.5,         .  ,2,75,         .  ,102,79,183,7,31.8,         .  ,15,68.2,         .  ,0,22,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,62361,55.0,1459.82,50956,45.0,1194.12,106,113423,1328.28,53310,43419,96831,3499,54.4,81.91,2931,45.6,68.69,1,6431,75.31,4957,49.9,116.04,4979,50.1,116.68,0,9936,116.36,626,35.8,14.65,1124,64.2,26.34,0,1750,20.49,4331,52.9,101.38,3855,47.1,90.34,0,8186,95.87
Taux standardisés,           .,          . ,1426.53,           .,          . ,1213.63,           .,           .,1324.21,           .,           .,           .,           .,          . ,61.44,           .,          . ,78.07,           .,           .,68.52,           .,          . ,99.50,           .,          . ,122.79,           .,           .,110.21,           .,          . ,13.49,           .,          . ,26.31,           .,           .,19.67,           .,          . ,86.00,           .,          . ,96.48,           .,           .,90.54
