,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1371,47.9,313.89,1491,52.1,326.12,2,2864,320.37,1245,1323,2570,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,30.6,3.43,34,69.4,7.44,0,49,5.48,3,33.3,0.69,6,66.7,1.31,0,9,1.01,12,30.0,2.75,28,70.0,6.12,0,40,4.47
10-19 ans,2917,52.5,677.36,2637,47.5,589.00,3,5557,632.66,2393,2150,4545,0,0.0,0.00,1,100.0,0.22,0,1,0.11,21,55.3,4.88,17,44.7,3.80,0,38,4.33,3,50.0,0.70,3,50.0,0.67,0,6,0.68,18,56.3,4.18,14,43.8,3.13,0,32,3.64
20-29 ans,6759,55.2,1327.97,5494,44.8,1003.90,32,12285,1163.09,6026,4840,10895,1,33.3,0.20,2,66.7,0.37,0,3,0.28,109,69.0,21.42,49,31.0,8.95,0,158,14.96,15,53.6,2.95,13,46.4,2.38,0,28,2.65,94,72.3,18.47,36,27.7,6.58,0,130,12.31
30-39 ans,5730,56.2,1047.20,4472,43.8,786.31,21,10223,916.12,5205,4019,9246,4,66.7,0.73,2,33.3,0.35,0,6,0.54,157,59.9,28.69,105,40.1,18.46,0,262,23.48,21,38.9,3.84,33,61.1,5.80,0,54,4.84,136,65.4,24.86,72,34.6,12.66,0,208,18.64
40-49 ans,6381,57.2,1177.67,4769,42.8,853.13,20,11170,1014.69,5890,4327,10236,6,30.0,1.11,14,70.0,2.50,0,20,1.82,170,40.2,31.37,253,59.8,45.26,0,423,38.43,37,33.9,6.83,72,66.1,12.88,0,109,9.90,133,42.4,24.55,181,57.6,32.38,0,314,28.52
50-59 ans,5656,54.6,963.52,4710,45.4,791.55,8,10374,877.63,5217,4244,9468,47,43.1,8.01,62,56.9,10.42,0,109,9.22,299,40.3,50.94,443,59.7,74.45,0,742,62.77,66,31.9,11.24,141,68.1,23.70,0,207,17.51,233,43.6,39.69,302,56.4,50.75,0,535,45.26
60-69 ans,3114,49.7,537.63,3156,50.3,555.18,4,6274,546.67,2762,2689,5455,135,38.5,23.31,216,61.5,38.00,0,351,30.58,397,41.5,68.54,559,58.5,98.33,0,956,83.30,88,34.0,15.19,171,66.0,30.08,0,259,22.57,309,44.3,53.35,388,55.7,68.25,0,697,60.73
70-79 ans,2669,51.4,679.84,2528,48.6,700.07,0,5197,689.53,2019,1773,3792,458,43.5,116.66,596,56.5,165.05,0,1054,139.84,662,46.0,168.62,777,54.0,215.17,0,1439,190.92,123,40.9,31.33,178,59.1,49.29,0,301,39.94,539,47.4,137.29,599,52.6,165.88,0,1138,150.99
80-89 ans,4672,64.3,2467.02,2593,35.7,1874.95,2,7267,2217.75,3210,1317,4528,1217,51.8,642.63,1134,48.2,819.97,1,2352,717.78,1108,57.6,585.07,815,42.4,589.31,0,1923,586.86,71,49.0,37.49,74,51.0,53.51,0,145,44.25,1037,58.3,547.58,741,41.7,535.80,0,1778,542.61
