,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,2890,47.3,661.65,3224,52.7,705.17,3,6117,684.25,2436,2697,5136,0,          . ,0.00,0,          . ,0.00,0,0,0.00,28,37.8,6.41,46,62.2,10.06,0,74,8.28,3,27.3,0.69,8,72.7,1.75,0,11,1.23,25,39.7,5.72,38,60.3,8.31,0,63,7.05
10-19 ans,6240,50.8,1449.01,6036,49.2,1348.19,3,12279,1397.96,5420,5255,10678,0,0.0,0.00,1,100.0,0.22,0,1,0.11,31,55.4,7.20,25,44.6,5.58,0,56,6.38,3,37.5,0.70,5,62.5,1.12,0,8,0.91,28,58.3,6.50,20,41.7,4.47,0,48,5.46
20-29 ans,10390,54.2,2041.37,8764,45.8,1601.42,34,19188,1816.64,9568,8092,17692,1,33.3,0.20,2,66.7,0.37,0,3,0.28,151,67.1,29.67,74,32.9,13.52,0,225,21.30,18,48.6,3.54,19,51.4,3.47,0,37,3.50,133,70.7,26.13,55,29.3,10.05,0,188,17.80
30-39 ans,9181,55.6,1677.90,7324,44.4,1287.77,24,16529,1481.22,8322,6684,15030,5,71.4,0.91,2,28.6,0.35,0,7,0.63,224,58.6,40.94,158,41.4,27.78,0,382,34.23,25,32.9,4.57,51,67.1,8.97,0,76,6.81,199,65.0,36.37,107,35.0,18.81,0,306,27.42
40-49 ans,10007,55.9,1846.88,7903,44.1,1413.78,22,17932,1628.95,9065,7121,16207,10,40.0,1.85,15,60.0,2.68,0,25,2.27,233,39.0,43.00,364,61.0,65.12,0,597,54.23,49,31.2,9.04,108,68.8,19.32,0,157,14.26,184,41.8,33.96,256,58.2,45.80,0,440,39.97
50-59 ans,8505,52.8,1448.86,7601,47.2,1277.40,12,16118,1363.56,7750,6851,14611,55,45.1,9.37,67,54.9,11.26,0,122,10.32,449,40.2,76.49,668,59.8,112.26,0,1117,94.50,98,32.2,16.69,206,67.8,34.62,0,304,25.72,351,43.2,59.79,462,56.8,77.64,0,813,68.78
60-69 ans,4846,48.7,836.66,5110,51.3,898.91,4,9960,867.84,4254,4359,8617,154,39.6,26.59,235,60.4,41.34,0,389,33.89,613,40.7,105.83,893,59.3,157.09,0,1506,131.22,143,33.2,24.69,288,66.8,50.66,0,431,37.55,470,43.7,81.15,605,56.3,106.43,0,1075,93.67
70-79 ans,3820,50.9,973.02,3687,49.1,1021.02,1,7508,996.15,2908,2631,5540,534,43.8,136.02,685,56.2,189.69,0,1219,161.74,1021,45.2,260.07,1236,54.8,342.28,0,2257,299.46,181,36.1,46.10,321,63.9,88.89,0,502,66.60,840,47.9,213.96,915,52.1,253.39,0,1755,232.85
80-89 ans,5914,63.3,3122.85,3434,36.7,2483.06,2,9350,2853.44,3818,1681,5500,1347,51.4,711.28,1276,48.6,922.65,1,2624,800.79,1504,54.4,794.18,1259,45.6,910.36,0,2763,843.21,113,48.1,59.67,122,51.9,88.22,0,235,71.72,1391,55.0,734.51,1137,45.0,822.14,0,2528,771.50
90 ans et plus,4624,75.4,7938.74,1512,24.6,6190.63,3,6139,7425.91,2719,639,3360,1473,67.8,2528.93,700,32.2,2866.03,0,2173,2628.52,877,65.8,1505.68,456,34.2,1867.02,0,1333,1612.43,16,42.1,27.47,22,57.9,90.08,0,38,45.97,861,66.5,1478.21,434,33.5,1776.94,0,1295,1566.47
Inconnu,42,57.5,         .  ,31,42.5,         .  ,2,75,         .  ,111,85,198,7,30.4,         .  ,16,69.6,         .  ,0,23,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,66459,54.9,1555.75,54626,45.1,1280.13,110,121195,1419.30,56371,46095,102569,3586,54.5,83.95,2999,45.5,70.28,1,6586,77.13,5131,49.8,120.11,5179,50.2,121.37,0,10310,120.74,649,36.1,15.19,1150,63.9,26.95,0,1799,21.07,4482,52.7,104.92,4029,47.3,94.42,0,8511,99.67
Taux standardisés,           .,          . ,1522.46,           .,          . ,1300.55,           .,           .,1415.45,           .,           .,           .,           .,          . ,62.96,           .,          . ,79.89,           .,           .,70.16,           .,          . ,103.02,           .,          . ,127.87,           .,           .,114.31,           .,          . ,14.00,           .,          . ,26.94,           .,           .,20.22,           .,          . ,89.02,           .,          . ,100.93,           .,           .,94.09
