,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,2788,47.4,638.30,3099,52.6,677.83,3,5890,658.85,2329,2597,4929,0,          . ,0.00,0,          . ,0.00,0,0,0.00,28,37.8,6.41,46,62.2,10.06,0,74,8.28,3,27.3,0.69,8,72.7,1.75,0,11,1.23,25,39.7,5.72,38,60.3,8.31,0,63,7.05
10-19 ans,6035,50.9,1401.40,5827,49.1,1301.51,3,11865,1350.83,5293,5116,10412,0,0.0,0.00,1,100.0,0.22,0,1,0.11,30,55.6,6.97,24,44.4,5.36,0,54,6.15,3,37.5,0.70,5,62.5,1.12,0,8,0.91,27,58.7,6.27,19,41.3,4.24,0,46,5.24
20-29 ans,10210,54.3,2006.00,8594,45.7,1570.35,34,18838,1783.50,9445,7970,17447,1,33.3,0.20,2,66.7,0.37,0,3,0.28,150,67.0,29.47,74,33.0,13.52,0,224,21.21,18,48.6,3.54,19,51.4,3.47,0,37,3.50,132,70.6,25.93,55,29.4,10.05,0,187,17.70
30-39 ans,8972,55.7,1639.70,7148,44.3,1256.83,23,16143,1446.63,8129,6564,14717,5,71.4,0.91,2,28.6,0.35,0,7,0.63,222,58.9,40.57,155,41.1,27.25,0,377,33.78,25,33.3,4.57,50,66.7,8.79,0,75,6.72,197,65.2,36.00,105,34.8,18.46,0,302,27.06
40-49 ans,9793,55.9,1807.38,7712,44.1,1379.61,21,17526,1592.07,8885,6990,15896,10,40.0,1.85,15,60.0,2.68,0,25,2.27,230,38.9,42.45,362,61.1,64.76,0,592,53.78,49,31.2,9.04,108,68.8,19.32,0,157,14.26,181,41.6,33.41,254,58.4,45.44,0,435,39.52
50-59 ans,8322,52.8,1417.68,7436,47.2,1249.67,11,15769,1334.04,7630,6727,14367,54,45.0,9.20,66,55.0,11.09,0,120,10.15,440,39.9,74.96,662,60.1,111.25,0,1102,93.23,94,31.5,16.01,204,68.5,34.28,0,298,25.21,346,43.0,58.94,458,57.0,76.97,0,804,68.02
60-69 ans,4757,48.7,821.30,5005,51.3,880.44,4,9766,850.94,4177,4262,8443,152,39.6,26.24,232,60.4,40.81,0,384,33.46,604,40.7,104.28,881,59.3,154.98,0,1485,129.39,142,33.3,24.52,285,66.7,50.13,0,427,37.21,462,43.7,79.76,596,56.3,104.84,0,1058,92.19
70-79 ans,3765,51.0,959.01,3617,49.0,1001.64,1,7383,979.57,2867,2577,5445,524,43.6,133.47,678,56.4,187.76,0,1202,159.48,1010,45.3,257.26,1218,54.7,337.30,0,2228,295.61,179,36.0,45.59,318,64.0,88.06,0,497,65.94,831,48.0,211.67,900,52.0,249.23,0,1731,229.67
80-89 ans,5829,63.3,3077.97,3376,36.7,2441.12,2,9207,2809.80,3753,1649,5403,1333,51.3,703.88,1264,48.7,913.97,1,2598,792.86,1480,54.6,781.51,1230,45.4,889.39,0,2710,827.04,111,47.8,58.61,121,52.2,87.49,0,232,70.80,1369,55.2,722.89,1109,44.8,801.90,0,2478,756.24
90 ans et plus,4578,75.5,7859.77,1487,24.5,6088.27,2,6067,7338.82,2689,627,3318,1460,67.8,2506.61,693,32.2,2837.37,0,2153,2604.33,864,66.0,1483.36,445,34.0,1821.98,0,1309,1583.40,16,43.2,27.47,21,56.8,85.98,0,37,44.76,848,66.7,1455.89,424,33.3,1736.00,0,1272,1538.65
Inconnu,42,57.5,         .  ,31,42.5,         .  ,2,75,         .  ,113,72,187,6,27.3,         .  ,16,72.7,         .  ,0,22,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,65091,55.0,1523.72,53332,45.0,1249.80,106,118529,1388.08,55310,45151,100564,3545,54.4,82.99,2969,45.6,69.58,1,6515,76.30,5058,49.8,118.40,5097,50.2,119.45,0,10155,118.92,640,36.0,14.98,1139,64.0,26.69,0,1779,20.83,4418,52.7,103.42,3958,47.3,92.75,0,8376,98.09
Taux standardisés,           .,          . ,1490.34,           .,          . ,1269.93,           .,           .,1384.09,           .,           .,           .,           .,          . ,62.24,           .,          . ,79.09,           .,           .,69.41,           .,          . ,101.55,           .,          . ,125.77,           .,           .,112.60,           .,          . ,13.79,           .,          . ,26.67,           .,           .,19.99,           .,          . ,87.75,           .,          . ,99.10,           .,           .,92.61
