,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,2507,47.3,573.97,2795,52.7,611.34,3,5305,593.42,2133,2388,4524,0,          . ,0.00,0,          . ,0.00,0,0,0.00,25,35.7,5.72,45,64.3,9.84,0,70,7.83,3,27.3,0.69,8,72.7,1.75,0,11,1.23,22,37.3,5.04,37,62.7,8.09,0,59,6.60
10-19 ans        ,5551,50.8,1289.01,5370,49.2,1199.44,3,10924,1243.70,4946,4759,9708,0,0.0,0.00,1,100.0,0.22,0,1,0.11,29,54.7,6.73,24,45.3,5.36,0,53,6.03,3,37.5,0.70,5,62.5,1.12,0,8,0.91,26,57.8,6.04,19,42.2,4.24,0,45,5.12
20-29 ans        ,9705,54.2,1906.78,8208,45.8,1499.82,34,17947,1699.14,9090,7676,16798,1,33.3,0.20,2,66.7,0.37,0,3,0.28,148,66.7,29.08,74,33.3,13.52,0,222,21.02,18,50.0,3.54,18,50.0,3.29,0,36,3.41,130,69.9,25.54,56,30.1,10.23,0,186,17.61
30-39 ans        ,8496,55.6,1552.71,6791,44.4,1194.06,23,15310,1371.98,7738,6279,14041,5,71.4,0.91,2,28.6,0.35,0,7,0.63,219,58.7,40.02,154,41.3,27.08,0,373,33.43,25,33.3,4.57,50,66.7,8.79,0,75,6.72,194,65.1,35.45,104,34.9,18.29,0,298,26.70
40-49 ans        ,9260,56.0,1709.01,7275,44.0,1301.43,21,16556,1503.95,8513,6649,15183,10,40.0,1.85,15,60.0,2.68,0,25,2.27,224,38.4,41.34,359,61.6,64.22,0,583,52.96,49,31.2,9.04,108,68.8,19.32,0,157,14.26,175,41.1,32.30,251,58.9,44.90,0,426,38.70
50-59 ans        ,7958,53.0,1355.67,7059,47.0,1186.31,10,15027,1271.26,7298,6421,13729,53,44.9,9.03,65,55.1,10.92,0,118,9.98,428,39.7,72.91,650,60.3,109.24,0,1078,91.20,91,31.3,15.50,200,68.7,33.61,0,291,24.62,337,42.8,57.41,450,57.2,75.63,0,787,66.58
60-69 ans        ,4498,48.7,776.58,4733,51.3,832.59,4,9235,804.67,4006,4088,8098,149,39.2,25.72,231,60.8,40.64,0,380,33.11,590,40.6,101.86,862,59.4,151.64,0,1452,126.52,139,33.1,24.00,281,66.9,49.43,0,420,36.60,451,43.7,77.87,581,56.3,102.20,0,1032,89.92
70-79 ans        ,3591,51.0,914.69,3452,49.0,955.95,1,7044,934.59,2751,2488,5240,513,43.5,130.67,665,56.5,184.16,0,1178,156.30,972,45.3,247.58,1176,54.7,325.66,0,2148,284.99,174,35.9,44.32,311,64.1,86.12,0,485,64.35,798,48.0,203.26,865,52.0,239.54,0,1663,220.64
80-89 ans        ,5638,63.5,2977.11,3235,36.5,2339.17,2,8875,2708.48,3646,1575,5222,1311,51.3,692.27,1247,48.7,901.68,1,2559,780.96,1446,55.0,763.55,1184,45.0,856.13,0,2630,802.62,108,47.6,57.03,119,52.4,86.05,0,227,69.28,1338,55.7,706.52,1065,44.3,770.08,0,2403,733.35
90 ans et plus   ,4461,75.8,7658.90,1428,24.2,5846.71,2,5891,7125.92,2615,604,3220,1434,68.0,2461.97,676,32.0,2767.77,0,2110,2552.32,849,66.7,1457.61,424,33.3,1736.00,0,1273,1539.86,16,44.4,27.47,20,55.6,81.89,0,36,43.55,833,67.3,1430.14,404,32.7,1654.11,0,1237,1496.31
