,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1501,47.6,343.65,1654,52.4,361.77,2,3157,353.14,1328,1437,2767,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,29.4,3.43,36,70.6,7.87,0,51,5.70,3,33.3,0.69,6,66.7,1.31,0,9,1.01,12,28.6,2.75,30,71.4,6.56,0,42,4.70
10-19 ans,3356,52.2,779.31,3070,47.8,685.71,2,6428,731.83,2737,2479,5218,0,0.0,0.00,1,100.0,0.22,0,1,0.11,24,54.5,5.57,20,45.5,4.47,0,44,5.01,3,50.0,0.70,3,50.0,0.67,0,6,0.68,21,55.3,4.88,17,44.7,3.80,0,38,4.33
20-29 ans,7355,54.9,1445.07,6030,45.1,1101.84,33,13418,1270.36,6507,5272,11810,1,33.3,0.20,2,66.7,0.37,0,3,0.28,116,70.3,22.79,49,29.7,8.95,0,165,15.62,15,53.6,2.95,13,46.4,2.38,0,28,2.65,101,73.7,19.84,36,26.3,6.58,0,137,12.97
30-39 ans,6172,55.6,1127.98,4926,44.4,866.13,22,11120,996.50,5541,4340,9903,4,66.7,0.73,2,33.3,0.35,0,6,0.54,161,59.0,29.42,112,41.0,19.69,0,273,24.46,21,37.5,3.84,35,62.5,6.15,0,56,5.02,140,64.5,25.59,77,35.5,13.54,0,217,19.45
40-49 ans,6773,56.8,1250.02,5157,43.2,922.54,21,11951,1085.63,6189,4603,10811,6,30.0,1.11,14,70.0,2.50,0,20,1.82,173,39.4,31.93,266,60.6,47.59,0,439,39.88,38,33.3,7.01,76,66.7,13.60,0,114,10.36,135,41.5,24.92,190,58.5,33.99,0,325,29.52
50-59 ans,5991,54.1,1020.59,5074,45.9,852.72,8,11073,936.76,5483,4473,9963,47,43.1,8.01,62,56.9,10.42,0,109,9.22,309,40.0,52.64,463,60.0,77.81,0,772,65.31,68,31.6,11.58,147,68.4,24.70,0,215,18.19,241,43.3,41.06,316,56.7,53.11,0,557,47.12
60-69 ans,3332,49.4,575.27,3414,50.6,600.56,4,6750,588.15,2881,2836,5721,138,38.9,23.83,217,61.1,38.17,0,355,30.93,412,41.0,71.13,594,59.0,104.49,0,1006,87.66,93,33.6,16.06,184,66.4,32.37,0,277,24.14,319,43.8,55.08,410,56.2,72.12,0,729,63.52
70-79 ans,2794,51.4,711.68,2646,48.6,732.74,0,5440,721.77,2106,1839,3945,463,43.5,117.93,601,56.5,166.43,0,1064,141.17,679,45.6,172.95,811,54.4,224.59,0,1490,197.69,124,40.1,31.58,185,59.9,51.23,0,309,41.00,555,47.0,141.37,626,53.0,173.36,0,1181,156.69
80-89 ans,4768,64.2,2517.72,2659,35.8,1922.67,2,7429,2267.19,3230,1324,4555,1227,51.7,647.91,1145,48.3,827.93,1,2373,724.19,1129,57.3,596.16,841,42.7,608.11,0,1970,601.21,71,47.3,37.49,79,52.7,57.12,0,150,45.78,1058,58.1,558.67,762,41.9,550.99,0,1820,555.43
90 ans et plus,3872,76.3,6647.67,1200,23.7,4913.20,2,5074,6137.66,2364,524,2889,1352,68.6,2321.19,620,31.4,2538.49,0,1972,2385.39,677,68.3,1162.31,314,31.7,1285.62,0,991,1198.74,12,50.0,20.60,12,50.0,49.13,0,24,29.03,665,68.8,1141.71,302,31.2,1236.49,0,967,1169.71
Inconnu,40,55.6,         .  ,32,44.4,         .  ,2,74,         .  ,88,63,153,0,0.0,         .  ,3,100.0,         .  ,0,3,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,45954,56.2,1075.74,35862,43.8,840.40,98,81914,959.28,38454,29190,67735,3238,54.8,75.80,2667,45.2,62.50,1,5906,69.16,3695,51.3,86.50,3506,48.7,82.16,0,7201,84.33,448,37.7,10.49,740,62.3,17.34,0,1188,13.91,3247,54.0,76.01,2766,46.0,64.82,0,6013,70.42
Taux standardisés,           .,          . ,1042.70,           .,          . ,857.27,           .,           .,954.16,           .,           .,           .,           .,          . ,56.83,           .,          . ,71.33,           .,           .,63.12,           .,          . ,73.83,           .,          . ,86.67,           .,           .,79.90,           .,          . ,9.70,           .,          . ,17.40,           .,           .,13.42,           .,          . ,64.13,           .,          . ,69.27,           .,           .,66.47
