,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,3560,47.6,815.05,3917,52.4,856.75,2,7479,836.60,3149,3494,6645,0,          . ,0.00,0,          . ,0.00,0,0,0.00,30,38.0,6.87,49,62.0,10.72,0,79,8.84,3,27.3,0.69,8,72.7,1.75,0,11,1.23,27,39.7,6.18,41,60.3,8.97,0,68,7.61
10-19 ans,7428,50.6,1724.87,7255,49.4,1620.47,3,14686,1672.00,6744,6544,13291,0,0.0,0.00,1,100.0,0.22,0,1,0.11,34,54.8,7.90,28,45.2,6.25,0,62,7.06,3,37.5,0.70,5,62.5,1.12,0,8,0.91,31,57.4,7.20,23,42.6,5.14,0,54,6.15
20-29 ans,11650,54.2,2288.92,9847,45.8,1799.31,35,21532,2038.56,10903,9217,20154,1,33.3,0.20,2,66.7,0.37,0,3,0.28,158,66.1,31.04,81,33.9,14.80,0,239,22.63,19,46.3,3.73,22,53.7,4.02,0,41,3.88,139,70.2,27.31,59,29.8,10.78,0,198,18.75
30-39 ans,10456,55.7,1910.91,8319,44.3,1462.72,22,18797,1684.46,9674,7750,17447,5,71.4,0.91,2,28.6,0.35,0,7,0.63,236,58.6,43.13,167,41.4,29.36,0,403,36.11,26,32.9,4.75,53,67.1,9.32,0,79,7.08,210,64.8,38.38,114,35.2,20.04,0,324,29.03
40-49 ans,11318,55.8,2088.84,8976,44.2,1605.73,24,20318,1845.69,10503,8315,18841,11,42.3,2.03,15,57.7,2.68,0,26,2.36,251,39.6,46.32,383,60.4,68.52,0,634,57.59,51,31.7,9.41,110,68.3,19.68,0,161,14.63,200,42.3,36.91,273,57.7,48.84,0,473,42.97
50-59 ans,9640,52.8,1642.21,8603,47.2,1445.79,11,18254,1544.27,8877,7901,16789,58,45.0,9.88,71,55.0,11.93,0,129,10.91,479,40.2,81.60,712,59.8,119.66,0,1191,100.76,104,33.0,17.72,211,67.0,35.46,0,315,26.65,375,42.8,63.88,501,57.2,84.20,0,876,74.11
60-69 ans,5560,48.9,959.93,5819,51.1,1023.63,4,11383,991.83,4950,5104,10058,161,39.1,27.80,251,60.9,44.15,0,412,35.90,685,41.0,118.27,984,59.0,173.10,0,1669,145.42,155,33.1,26.76,313,66.9,55.06,0,468,40.78,530,44.1,91.50,671,55.9,118.04,0,1201,104.65
70-79 ans,4304,51.0,1096.30,4137,49.0,1145.64,1,8442,1120.07,3318,3047,6366,572,44.1,145.70,726,55.9,201.05,0,1298,172.22,1122,45.4,285.79,1348,54.6,373.30,0,2470,327.72,198,36.9,50.43,339,63.1,93.88,0,537,71.25,924,47.8,235.36,1009,52.2,279.42,0,1933,256.47
80-89 ans,6567,63.1,3467.67,3836,36.9,2773.74,2,10405,3175.40,4248,1917,6166,1420,51.1,749.82,1357,48.9,981.22,1,2778,847.79,1629,53.8,860.18,1397,46.2,1010.14,0,3026,923.48,120,46.9,63.37,136,53.1,98.34,0,256,78.13,1509,54.5,796.82,1261,45.5,911.81,0,2770,845.35
90 ans et plus,5100,75.1,8755.97,1692,24.9,6927.61,2,6794,8218.22,2963,716,3681,1547,67.5,2655.98,744,32.5,3046.18,0,2291,2771.26,951,65.5,1632.73,500,34.5,2047.17,0,1451,1755.17,19,45.2,32.62,23,54.8,94.17,0,42,50.80,932,66.1,1600.11,477,33.9,1953.00,0,1409,1704.37
Inconnu,39,54.9,         .  ,32,45.1,         .  ,2,73,         .  ,167,120,289,14,36.8,         .  ,25,163.2,         .  ,0,39,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,75622,54.8,1770.24,62433,45.2,1463.08,108,138163,1618.01,65496,54125,119727,3789,54.3,88.70,3194,45.7,74.85,1,6984,81.79,5575,49.7,130.51,5649,50.3,132.38,0,11224,131.44,698,36.4,16.34,1220,63.6,28.59,0,1918,22.46,4877,52.4,114.17,4429,47.6,103.79,0,9306,108.98
Taux standardisés,           .,          . ,1734.82,           .,          . ,1485.67,           .,           .,1614.20,           .,           .,           .,           .,          . ,66.44,           .,          . ,84.88,           .,           .,74.24,           .,          . ,111.84,           .,          . ,139.53,           .,           .,124.36,           .,          . ,15.02,           .,          . ,28.57,           .,           .,21.53,           .,          . ,96.82,           .,          . ,110.95,           .,           .,102.83
