date,outbreak_group,outbreak_subgroup,number_ongoing_outbreaks
11/23/2020,2 Congregate Living,18 Short-term accommodations,2
11/23/2020,2 Congregate Living,22 Congregate other,11
11/23/2020,2 Congregate Living,4 Group Home/Supportive Housing,28
11/23/2020,2 Congregate Living,5 Correctional Facility,3
11/23/2020,2 Congregate Living,6 Shelter,11
11/23/2020,3 Education,10 School - Post-Secondary,3
11/23/2020,3 Education,11 Child care,48
11/23/2020,3 Education,7 School - Elementary,70
11/23/2020,3 Education,8 School - Secondary,19
11/23/2020,3 Education,9 School - Elementary/Secondary,4
11/23/2020,4 Workplace,12 Workplace - Farm,4
11/23/2020,4 Workplace,13 Workplace - Food Processing,18
11/23/2020,4 Workplace,14 Workplace - Other,146
11/23/2020,4 Workplace,15 Retail,20
11/23/2020,4 Workplace,16 Medical/Health Service,7
11/23/2020,5 Recreational,17 Bar/restaurant/nightclub,25
11/23/2020,5 Recreational,19 Recreational fitness,11
11/23/2020,5 Recreational,21 Other recreation,23
11/23/2020,6 Other/Unknown,23 Other,19
11/23/2020,6 Other/Unknown,24 Unknown,6
11/24/2020,1 Congregate Care,1 Long-Term Care Homes,101
11/24/2020,1 Congregate Care,2 Hospitals,29
11/24/2020,1 Congregate Care,3 Retirement Homes,62
11/24/2020,2 Congregate Living,18 Short-term accommodations,2
11/24/2020,2 Congregate Living,22 Congregate other,11
11/24/2020,2 Congregate Living,4 Group Home/Supportive Housing,29
11/24/2020,2 Congregate Living,5 Correctional Facility,3
11/24/2020,2 Congregate Living,6 Shelter,10
11/24/2020,3 Education,10 School - Post-Secondary,2
11/24/2020,3 Education,11 Child care,50
11/24/2020,3 Education,7 School - Elementary,75
11/24/2020,3 Education,8 School - Secondary,23
11/24/2020,3 Education,9 School - Elementary/Secondary,4
11/24/2020,4 Workplace,12 Workplace - Farm,4
11/24/2020,4 Workplace,13 Workplace - Food Processing,18
11/24/2020,4 Workplace,14 Workplace - Other,144
11/24/2020,4 Workplace,15 Retail,22
11/24/2020,4 Workplace,16 Medical/Health Service,7
11/24/2020,5 Recreational,17 Bar/restaurant/nightclub,24
11/24/2020,5 Recreational,19 Recreational fitness,11
11/24/2020,5 Recreational,21 Other recreation,24
11/24/2020,6 Other/Unknown,23 Other,20
11/24/2020,6 Other/Unknown,24 Unknown,4
11/25/2020,1 Congregate Care,1 Long-Term Care Homes,108
11/25/2020,1 Congregate Care,2 Hospitals,30
11/25/2020,1 Congregate Care,3 Retirement Homes,60
11/25/2020,2 Congregate Living,18 Short-term accommodations,2
11/25/2020,2 Congregate Living,22 Congregate other,11
11/25/2020,2 Congregate Living,4 Group Home/Supportive Housing,31
11/25/2020,2 Congregate Living,5 Correctional Facility,3
11/25/2020,2 Congregate Living,6 Shelter,12
11/25/2020,3 Education,10 School - Post-Secondary,2
11/25/2020,3 Education,11 Child care,50
11/25/2020,3 Education,7 School - Elementary,81
11/25/2020,3 Education,8 School - Secondary,25
11/25/2020,3 Education,9 School - Elementary/Secondary,4
11/25/2020,4 Workplace,12 Workplace - Farm,5
11/25/2020,4 Workplace,13 Workplace - Food Processing,21
11/25/2020,4 Workplace,14 Workplace - Other,150
11/25/2020,4 Workplace,15 Retail,24
11/25/2020,4 Workplace,16 Medical/Health Service,9
11/25/2020,5 Recreational,17 Bar/restaurant/nightclub,22
11/25/2020,5 Recreational,19 Recreational fitness,13
11/25/2020,5 Recreational,20 Personal service settings,1
11/25/2020,5 Recreational,21 Other recreation,28
11/25/2020,6 Other/Unknown,23 Other,5
11/25/2020,6 Other/Unknown,24 Unknown,2
11/26/2020,1 Congregate Care,1 Long-Term Care Homes,109
11/26/2020,1 Congregate Care,2 Hospitals,32
11/26/2020,1 Congregate Care,3 Retirement Homes,58
11/26/2020,2 Congregate Living,18 Short-term accommodations,2
11/26/2020,2 Congregate Living,22 Congregate other,11
11/26/2020,2 Congregate Living,4 Group Home/Supportive Housing,32
11/26/2020,2 Congregate Living,5 Correctional Facility,3
11/26/2020,2 Congregate Living,6 Shelter,12
11/26/2020,3 Education,10 School - Post-Secondary,2
11/26/2020,3 Education,11 Child care,48
11/26/2020,3 Education,7 School - Elementary,82
11/26/2020,3 Education,8 School - Secondary,25
11/26/2020,3 Education,9 School - Elementary/Secondary,4
11/26/2020,4 Workplace,12 Workplace - Farm,5
11/26/2020,4 Workplace,13 Workplace - Food Processing,21
11/26/2020,4 Workplace,14 Workplace - Other,155
11/26/2020,4 Workplace,15 Retail,25
11/26/2020,4 Workplace,16 Medical/Health Service,7
11/26/2020,5 Recreational,17 Bar/restaurant/nightclub,23
11/26/2020,5 Recreational,19 Recreational fitness,14
11/26/2020,5 Recreational,20 Personal service settings,1
11/26/2020,5 Recreational,21 Other recreation,26
11/26/2020,6 Other/Unknown,23 Other,16
11/26/2020,6 Other/Unknown,24 Unknown,3
11/27/2020,1 Congregate Care,1 Long-Term Care Homes,112
11/27/2020,1 Congregate Care,2 Hospitals,34
11/27/2020,1 Congregate Care,3 Retirement Homes,58
11/27/2020,2 Congregate Living,18 Short-term accommodations,2
11/27/2020,2 Congregate Living,22 Congregate other,11
11/27/2020,2 Congregate Living,4 Group Home/Supportive Housing,32
11/27/2020,2 Congregate Living,5 Correctional Facility,3
11/27/2020,2 Congregate Living,6 Shelter,12
11/27/2020,3 Education,10 School - Post-Secondary,1
11/27/2020,3 Education,11 Child care,49
11/27/2020,3 Education,7 School - Elementary,84
11/27/2020,3 Education,8 School - Secondary,24
11/27/2020,3 Education,9 School - Elementary/Secondary,6
11/27/2020,4 Workplace,12 Workplace - Farm,5
11/27/2020,4 Workplace,13 Workplace - Food Processing,18
11/27/2020,4 Workplace,14 Workplace - Other,162
11/27/2020,4 Workplace,15 Retail,25
11/27/2020,4 Workplace,16 Medical/Health Service,7
11/27/2020,5 Recreational,17 Bar/restaurant/nightclub,22
11/27/2020,5 Recreational,19 Recreational fitness,14
11/27/2020,5 Recreational,20 Personal service settings,1
11/27/2020,5 Recreational,21 Other recreation,23
11/27/2020,6 Other/Unknown,23 Other,21
11/27/2020,6 Other/Unknown,24 Unknown,4
11/28/2020,1 Congregate Care,1 Long-Term Care Homes,112
11/28/2020,1 Congregate Care,2 Hospitals,36
11/28/2020,1 Congregate Care,3 Retirement Homes,59
11/28/2020,2 Congregate Living,18 Short-term accommodations,2
11/28/2020,2 Congregate Living,22 Congregate other,11
11/28/2020,2 Congregate Living,4 Group Home/Supportive Housing,33
11/28/2020,2 Congregate Living,5 Correctional Facility,4
11/28/2020,2 Congregate Living,6 Shelter,11
11/28/2020,3 Education,10 School - Post-Secondary,1
11/28/2020,3 Education,11 Child care,46
11/28/2020,3 Education,7 School - Elementary,79
11/28/2020,3 Education,8 School - Secondary,23
11/28/2020,3 Education,9 School - Elementary/Secondary,6
11/28/2020,4 Workplace,12 Workplace - Farm,6
11/28/2020,4 Workplace,13 Workplace - Food Processing,16
11/28/2020,4 Workplace,14 Workplace - Other,164
11/28/2020,4 Workplace,15 Retail,26
11/28/2020,4 Workplace,16 Medical/Health Service,9
11/28/2020,5 Recreational,17 Bar/restaurant/nightclub,23
11/28/2020,5 Recreational,19 Recreational fitness,15
11/28/2020,5 Recreational,20 Personal service settings,1
11/28/2020,5 Recreational,21 Other recreation,22
11/28/2020,6 Other/Unknown,23 Other,24
11/28/2020,6 Other/Unknown,24 Unknown,3
11/29/2020,1 Congregate Care,1 Long-Term Care Homes,114
11/29/2020,1 Congregate Care,2 Hospitals,39
11/29/2020,1 Congregate Care,3 Retirement Homes,55
11/29/2020,2 Congregate Living,18 Short-term accommodations,2
11/29/2020,2 Congregate Living,22 Congregate other,10
11/29/2020,2 Congregate Living,4 Group Home/Supportive Housing,37
11/29/2020,2 Congregate Living,5 Correctional Facility,4
11/29/2020,2 Congregate Living,6 Shelter,11
11/29/2020,3 Education,10 School - Post-Secondary,1
11/29/2020,3 Education,11 Child care,46
11/29/2020,3 Education,7 School - Elementary,79
11/29/2020,3 Education,8 School - Secondary,22
11/29/2020,3 Education,9 School - Elementary/Secondary,6
11/29/2020,4 Workplace,12 Workplace - Farm,6
11/29/2020,4 Workplace,13 Workplace - Food Processing,16
11/29/2020,4 Workplace,14 Workplace - Other,171
11/29/2020,4 Workplace,15 Retail,27
11/29/2020,4 Workplace,16 Medical/Health Service,10
11/29/2020,5 Recreational,17 Bar/restaurant/nightclub,22
11/29/2020,5 Recreational,19 Recreational fitness,14
11/29/2020,5 Recreational,20 Personal service settings,1
11/29/2020,5 Recreational,21 Other recreation,22
11/29/2020,6 Other/Unknown,23 Other,27
11/29/2020,6 Other/Unknown,24 Unknown,2
11/30/2020,1 Congregate Care,1 Long-Term Care Homes,118
11/30/2020,1 Congregate Care,2 Hospitals,41
11/30/2020,1 Congregate Care,3 Retirement Homes,55
11/30/2020,2 Congregate Living,18 Short-term accommodations,2
11/30/2020,2 Congregate Living,22 Congregate other,14
11/30/2020,2 Congregate Living,4 Group Home/Supportive Housing,39
11/30/2020,2 Congregate Living,5 Correctional Facility,4
11/30/2020,2 Congregate Living,6 Shelter,12
11/30/2020,3 Education,10 School - Post-Secondary,1
11/30/2020,3 Education,11 Child care,47
11/30/2020,3 Education,7 School - Elementary,76
11/30/2020,3 Education,8 School - Secondary,27
11/30/2020,3 Education,9 School - Elementary/Secondary,6
11/30/2020,4 Workplace,12 Workplace - Farm,6
11/30/2020,4 Workplace,13 Workplace - Food Processing,16
11/30/2020,4 Workplace,14 Workplace - Other,175
11/30/2020,4 Workplace,15 Retail,28
11/30/2020,4 Workplace,16 Medical/Health Service,10
11/30/2020,5 Recreational,17 Bar/restaurant/nightclub,21
11/30/2020,5 Recreational,19 Recreational fitness,15
11/30/2020,5 Recreational,20 Personal service settings,1
11/30/2020,5 Recreational,21 Other recreation,22
11/30/2020,6 Other/Unknown,23 Other,27
11/30/2020,6 Other/Unknown,24 Unknown,2
