date,outbreak_group,outbreak_subgroup,number_ongoing_outbreaks
11/03/2020,3 Education,11 Child care,43
11/03/2020,3 Education,7 School - Elementary,36
11/03/2020,3 Education,8 School - Secondary,7
11/03/2020,3 Education,9 School - Elementary/Secondary,2
11/03/2020,4 Workplace,12 Workplace - Farm,2
11/03/2020,4 Workplace,13 Workplace - Food Processing,11
11/03/2020,4 Workplace,14 Workplace - Other,117
11/03/2020,4 Workplace,15 Retail,4
11/03/2020,4 Workplace,16 Medical/Health Service,4
11/03/2020,5 Recreational,17 Bar/restaurant/nightclub,11
11/03/2020,5 Recreational,19 Recreational fitness,9
11/03/2020,5 Recreational,21 Other recreation,7
11/03/2020,6 Other/Unknown,23 Other,18
11/03/2020,6 Other/Unknown,24 Unknown,8
11/04/2020,1 Congregate Care,1 Long-Term Care Homes,76
11/04/2020,1 Congregate Care,2 Hospitals,19
11/04/2020,1 Congregate Care,3 Retirement Homes,57
11/04/2020,2 Congregate Living,18 Short-term accommodations,2
11/04/2020,2 Congregate Living,22 Congregate other,2
11/04/2020,2 Congregate Living,4 Group Home/Supportive Housing,32
11/04/2020,2 Congregate Living,5 Correctional Facility,4
11/04/2020,2 Congregate Living,6 Shelter,11
11/04/2020,3 Education,10 School - Post-Secondary,2
11/04/2020,3 Education,11 Child care,43
11/04/2020,3 Education,7 School - Elementary,37
11/04/2020,3 Education,8 School - Secondary,10
11/04/2020,3 Education,9 School - Elementary/Secondary,2
11/04/2020,4 Workplace,12 Workplace - Farm,2
11/04/2020,4 Workplace,13 Workplace - Food Processing,11
11/04/2020,4 Workplace,14 Workplace - Other,117
11/04/2020,4 Workplace,15 Retail,6
11/04/2020,4 Workplace,16 Medical/Health Service,5
11/04/2020,5 Recreational,17 Bar/restaurant/nightclub,12
11/04/2020,5 Recreational,19 Recreational fitness,10
11/04/2020,5 Recreational,20 Personal service settings,1
11/04/2020,5 Recreational,21 Other recreation,16
11/04/2020,6 Other/Unknown,23 Other,14
11/04/2020,6 Other/Unknown,24 Unknown,1
11/05/2020,1 Congregate Care,1 Long-Term Care Homes,76
11/05/2020,1 Congregate Care,2 Hospitals,20
11/05/2020,1 Congregate Care,3 Retirement Homes,58
11/05/2020,2 Congregate Living,18 Short-term accommodations,2
11/05/2020,2 Congregate Living,22 Congregate other,3
11/05/2020,2 Congregate Living,4 Group Home/Supportive Housing,30
11/05/2020,2 Congregate Living,5 Correctional Facility,4
11/05/2020,2 Congregate Living,6 Shelter,12
11/05/2020,3 Education,10 School - Post-Secondary,2
11/05/2020,3 Education,11 Child care,49
11/05/2020,3 Education,7 School - Elementary,36
11/05/2020,3 Education,8 School - Secondary,11
11/05/2020,3 Education,9 School - Elementary/Secondary,2
11/05/2020,4 Workplace,12 Workplace - Farm,2
11/05/2020,4 Workplace,13 Workplace - Food Processing,10
11/05/2020,4 Workplace,14 Workplace - Other,119
11/05/2020,4 Workplace,15 Retail,6
11/05/2020,4 Workplace,16 Medical/Health Service,6
11/05/2020,5 Recreational,17 Bar/restaurant/nightclub,12
11/05/2020,5 Recreational,19 Recreational fitness,9
11/05/2020,5 Recreational,20 Personal service settings,1
11/05/2020,5 Recreational,21 Other recreation,16
11/05/2020,6 Other/Unknown,23 Other,15
11/05/2020,6 Other/Unknown,24 Unknown,2
11/06/2020,1 Congregate Care,1 Long-Term Care Homes,80
11/06/2020,1 Congregate Care,2 Hospitals,21
11/06/2020,1 Congregate Care,3 Retirement Homes,59
11/06/2020,2 Congregate Living,18 Short-term accommodations,2
11/06/2020,2 Congregate Living,22 Congregate other,5
11/06/2020,2 Congregate Living,4 Group Home/Supportive Housing,32
11/06/2020,2 Congregate Living,5 Correctional Facility,4
11/06/2020,2 Congregate Living,6 Shelter,11
11/06/2020,3 Education,10 School - Post-Secondary,2
11/06/2020,3 Education,11 Child care,50
11/06/2020,3 Education,7 School - Elementary,34
11/06/2020,3 Education,8 School - Secondary,12
11/06/2020,3 Education,9 School - Elementary/Secondary,2
11/06/2020,4 Workplace,12 Workplace - Farm,2
11/06/2020,4 Workplace,13 Workplace - Food Processing,10
11/06/2020,4 Workplace,14 Workplace - Other,122
11/06/2020,4 Workplace,15 Retail,6
11/06/2020,4 Workplace,16 Medical/Health Service,6
11/06/2020,5 Recreational,17 Bar/restaurant/nightclub,12
11/06/2020,5 Recreational,19 Recreational fitness,9
11/06/2020,5 Recreational,20 Personal service settings,1
11/06/2020,5 Recreational,21 Other recreation,16
11/06/2020,6 Other/Unknown,23 Other,17
11/06/2020,6 Other/Unknown,24 Unknown,2
11/07/2020,1 Congregate Care,1 Long-Term Care Homes,81
11/07/2020,1 Congregate Care,2 Hospitals,21
11/07/2020,1 Congregate Care,3 Retirement Homes,64
11/07/2020,2 Congregate Living,18 Short-term accommodations,2
11/07/2020,2 Congregate Living,22 Congregate other,4
11/07/2020,2 Congregate Living,4 Group Home/Supportive Housing,32
11/07/2020,2 Congregate Living,5 Correctional Facility,4
11/07/2020,2 Congregate Living,6 Shelter,12
11/07/2020,3 Education,10 School - Post-Secondary,2
11/07/2020,3 Education,11 Child care,54
11/07/2020,3 Education,7 School - Elementary,41
11/07/2020,3 Education,8 School - Secondary,12
11/07/2020,3 Education,9 School - Elementary/Secondary,3
11/07/2020,4 Workplace,12 Workplace - Farm,4
11/07/2020,4 Workplace,13 Workplace - Food Processing,10
11/07/2020,4 Workplace,14 Workplace - Other,131
11/07/2020,4 Workplace,15 Retail,7
11/07/2020,4 Workplace,16 Medical/Health Service,6
11/07/2020,5 Recreational,17 Bar/restaurant/nightclub,13
11/07/2020,5 Recreational,19 Recreational fitness,10
11/07/2020,5 Recreational,20 Personal service settings,2
11/07/2020,5 Recreational,21 Other recreation,15
11/07/2020,6 Other/Unknown,23 Other,11
