Date;Nouveaux cas;Cumulatif de cas;
2020-02-25;1;1;
2020-02-26;0;1;
2020-02-27;0;1;
2020-02-28;0;1;
2020-02-29;0;1;
2020-03-01;1;2;
2020-03-02;2;4;
2020-03-03;0;4;
2020-03-04;0;4;
2020-03-05;0;4;
2020-03-06;0;4;
2020-03-07;0;4;
2020-03-08;1;5;
2020-03-09;1;6;
2020-03-10;2;8;
2020-03-11;3;11;
2020-03-12;3;14;
2020-03-13;2;16;
2020-03-14;5;21;
2020-03-15;6;27;
2020-03-16;5;32;
2020-03-17;7;39;
2020-03-18;6;45;
2020-03-19;36;81;
2020-03-20;49;130;
2020-03-21;92;222;
2020-03-22;88;310;
2020-03-23;133;443;
2020-03-24;145;588;
2020-03-25;188;776;
2020-03-26;181;957;
2020-03-27;243;1200;
2020-03-28;201;1401;
2020-03-29;259;1660;
2020-03-30;266;1926;
2020-03-31;330;2256;
2020-04-01;305;2561;
2020-04-02;410;2971;
2020-04-03;350;3321;
2020-04-04;340;3661;
2020-04-05;261;3922;
2020-04-06;458;4380;
2020-04-07;422;4802;
2020-04-08;377;5179;
2020-04-09;351;5530;
2020-04-10;307;5837;
2020-04-11;262;6099;
2020-04-12;332;6431;
2020-04-13;542;6973;
2020-04-14;468;7441;
2020-04-15;618;8059;
2020-04-16;497;8556;
2020-04-17;572;9128;
2020-04-18;331;9459;
2020-04-19;432;9891;
2020-04-20;483;10374;
2020-04-21;460;10834;
2020-04-22;535;11369;
2020-04-23;526;11895;
2020-04-24;496;12391;
2020-04-25;311;12702;
2020-04-26;283;12985;
2020-04-27;464;13449;
2020-04-28;469;13918;
2020-04-29;519;14437;
2020-04-30;590;15027;
2020-05-01;616;15643;
2020-05-02;524;16167;
2020-05-03;346;16513;
2020-05-04;420;16933;
2020-05-05;470;17403;
2020-05-06;568;17971;
2020-05-07;427;18398;
2020-05-08;435;18833;
2020-05-09;313;19146;
2020-05-10;300;19446;
2020-05-11;366;19812;
2020-05-12;430;20242;
2020-05-13;399;20641;
2020-05-14;353;20994;
2020-05-15;346;21340;
2020-05-16;269;21609;
2020-05-17;341;21950;
2020-05-18;333;22283;
2020-05-19;319;22602;
2020-05-20;409;23011;
2020-05-21;381;23392;
2020-05-22;256;23648;
2020-05-23;215;23863;
2020-05-24;215;24078;
2020-05-25;204;24282;
2020-05-26;242;24524;
2020-05-27;257;24781;
2020-05-28;193;24974;
2020-05-29;195;25169;
2020-05-30;206;25375;
2020-05-31;140;25515;
2020-06-01;156;25671;
2020-06-02;98;25769;
2020-06-03;114;25883;
2020-06-04;124;26007;
2020-06-05;116;26123;
2020-06-06;105;26228;
2020-06-07;74;26302;
2020-06-08;50;26352;
2020-06-09;78;26430;
2020-06-10;68;26498;
2020-06-11;67;26565;
2020-06-12;72;26637;
2020-06-13;66;26703;
2020-06-14;28;26731;
2020-06-15;55;26786;
2020-06-16;73;26859;
2020-06-17;51;26910;
2020-06-18;51;26961;
2020-06-19;61;27022;
2020-06-20;31;27053;
2020-06-21;24;27077;
2020-06-22;39;27116;
2020-06-23;39;27155;
2020-06-24;29;27184;
2020-06-25;46;27230;
2020-06-26;43;27273;
2020-06-27;32;27305;
2020-06-28;18;27323;
2020-06-29;16;27339;
2020-06-30;39;27378;
2020-07-01;23;27401;
2020-07-02;16;27417;
2020-07-03;16;27433;
2020-07-04;14;27447;
2020-07-05;8;27455;
2020-07-06;15;27470;
2020-07-07;20;27490;
2020-07-08;33;27523;
2020-07-09;52;27575;
2020-07-10;49;27624;
2020-07-11;21;27645;
2020-07-12;13;27658;
2020-07-13;75;27733;
2020-07-14;65;27798;
2020-07-15;68;27866;
2020-07-16;64;27930;
2020-07-17;98;28028;
2020-07-18;101;28129;
2020-07-19;55;28184;
2020-07-20;37;28221;
2020-07-21;65;28286;
2020-07-22;76;28362;
2020-07-23;92;28454;
2020-07-24;66;28520;
2020-07-25;35;28555;
2020-07-26;51;28606;
2020-07-27;34;28640;
2020-07-28;39;28679;
2020-07-29;71;28750;
2020-07-30;59;28809;
2020-07-31;58;28867;
2020-08-01;51;28918;
2020-08-02;31;28949;
2020-08-03;45;28994;
2020-08-04;65;29059;
2020-08-05;46;29105;
2020-08-06;21;29126;
2020-08-07;47;29173;
2020-08-08;35;29208;
2020-08-09;37;29245;
2020-08-10;35;29280;
2020-08-11;36;29316;
2020-08-12;36;29352;
2020-08-13;38;29390;
2020-08-14;31;29421;
2020-08-15;14;29435;
2020-08-16;13;29448;
2020-08-17;18;29466;
2020-08-18;17;29483;
2020-08-19;22;29505;
2020-08-20;35;29540;
2020-08-21;33;29573;
2020-08-22;20;29593;
2020-08-23;23;29616;
2020-08-24;10;29626;
2020-08-25;28;29654;
2020-08-26;43;29697;
2020-08-27;43;29740;
2020-08-28;27;29767;
2020-08-29;54;29821;
2020-08-30;15;29836;
2020-08-31;32;29868;
2020-09-01;36;29904;
2020-09-02;35;29939;
2020-09-03;72;30011;
2020-09-04;47;30058;
2020-09-05;67;30125;
2020-09-06;59;30184;
2020-09-07;51;30235;
2020-09-08;72;30307;
2020-09-09;70;30377;
2020-09-10;90;30467;
2020-09-11;110;30577;
2020-09-12;72;30649;
2020-09-13;100;30749;
2020-09-14;76;30825;
2020-09-15;94;30919;
2020-09-16;82;31001;
2020-09-17;74;31075;
2020-09-18;201;31276;
2020-09-19;140;31416;
2020-09-20;218;31634;
2020-09-21;141;31775;
2020-09-22;168;31943;
2020-09-23;258;32201;
2020-09-24;236;32437;
2020-09-25;286;32723;
2020-09-26;350;33073;
2020-09-27;274;33347;
2020-09-28;282;33629;
2020-09-29;349;33978;
2020-09-30;326;34304;
2020-10-01;317;34621;
2020-10-02;417;35038;
2020-10-03;374;35412;
2020-10-04;304;35716;
2020-10-05;282;35998;
2020-10-06;258;36256;
2020-10-07;303;36559;
2020-10-08;348;36907;
2020-10-09;293;37200;
2020-10-10;195;37395;
2020-10-11;333;37728;
2020-10-12;276;38004;
2020-10-13;203;38207;
