"","Region name","School status","Schools details"
"1","City Of Brooks","Watch","Eastbrook Elementary School"
"2","City Of Calgary","Watch","Lester B. Pearson High School"
"3","City Of Calgary","Watch","Nelson Mandela High School"
"4","City Of Calgary","Watch","Canyon Meadows School"
"5","City Of Calgary","Watch","Ecole de la Rose Sauvage"
"6","City Of Calgary","Watch","John G Diefenbaker High School"
"7","City Of Calgary","Watch","Calgary French & International School"
"8","City Of Calgary","Watch","St. Francis High School"
"9","City Of Calgary","Watch","Bishop McNally High School"
"10","City Of Calgary","Watch","New Heights School and Learning Services"
"11","City Of Calgary","Watch","Northeast Elementary Campus"
"12","City Of Calgary","Watch","Sir Winston Churchill High School"
"13","City Of Calgary","Watch","Bishop O'Byrne High School"
"14","City Of Edmonton","Watch","Archbishop O'Leary"
"15","City Of Edmonton","Watch","Centre High"
"16","City Of Edmonton","Watch","Ross Sheppard High School"
"17","City Of Edmonton","Watch","St. Oscar Romero Catholic High School"
"18","City Of Edmonton","Watch","McNally School"
"19","City Of Edmonton","Watch","Vimy Ridge"
"20","City Of Edmonton","Watch","Cardinal Collins High School Academic Centre"
"21","City Of Edmonton","Watch","Austin O'Brien"
"22","City Of Edmonton","Watch","Harry Ainlay School"
"23","City Of Edmonton","Watch","Queen Elizabeth School"
"24","City Of Edmonton","Watch","Dr. Donald Massey School"
"25","City Of Edmonton","Watch","Louis St. Laurent"
"26","City Of Edmonton","Watch","St. Joseph"
"27","City Of Edmonton","Watch","Edmonton Islamic Academy"
"28","City Of Edmonton","Watch","Jasper Place School"
"29","City Of Edmonton","Watch","M. E. LaZerte School"
"30","City Of Edmonton","Watch","Headway School Society of Alberta"
"31","City Of Edmonton","Watch","Aurora School"
"32","City Of Edmonton","Watch","Steinhauer School"
"33","City Of Edmonton","Watch","St. Francis Xavier"
"34","City Of Edmonton","Watch","Tipaskan School"
"35","City Of Edmonton","Watch","L Y Cairns School"
"36","City Of Edmonton","Watch","St. Bernadette"
"37","City Of Edmonton","Watch","Kate Chegwin School"
"38","City Of Edmonton","Watch","Michael A Kostek Elementary School"
"39","City Of Edmonton","Watch","Lago Lindo School"
"40","City Of Edmonton","Watch","St. Thomas Aquinas School"
"41","City Of Lethbridge","Watch","Winston Churchill High School"
"42","City Of Red Deer","Watch","Hunting Hills High School"
"43","City Of St. Albert","Watch","Richard S Fowler Catholic Junior High School"
"44","City Of St. Albert","Watch","Elmer S Gish School"
"45","City Of St. Albert","Watch","St. Albert Catholic High School"
"46","Rocky View County","Watch","Khalsa School Calgary Educational Foundation"
"47","Strathcona County","Watch","Lakeland Ridge School"
"48","Town Of Cochrane","Watch","RancheView School"
"49","Town Of Morinville","Watch","Four Winds Public School"
"50","Westlock County","Watch","Richard F Staples Secondary School"
"51","City Of Calgary","Open (Outbreak, 2-4 cases)","Rundle School"
"52","City Of Calgary","Open (Outbreak, 2-4 cases)","Father Lacombe School"
"53","City Of Calgary","Open (Outbreak, 2-4 cases)","Connaught School"
"54","City Of Calgary","Open (Outbreak, 2-4 cases)","Chief Justice Milvain School"
"55","City Of Calgary","Open (Outbreak, 2-4 cases)","Coventry Hills School"
"56","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Mary's High School"
"57","City Of Calgary","Open (Outbreak, 2-4 cases)","All Saints School"
"58","City Of Calgary","Open (Outbreak, 2-4 cases)","Western Canada High School"
"59","City Of Calgary","Open (Outbreak, 2-4 cases)","Manmeet Singh Bhullar School"
"60","City Of Calgary","Open (Outbreak, 2-4 cases)","Gobind Sarvar School"
"61","City Of Calgary","Open (Outbreak, 2-4 cases)","CLS Lord Beaverbrook Writing Centre"
"62","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Clare"
"63","City Of Calgary","Open (Outbreak, 2-4 cases)","Alex Ferguson School"
"64","City Of Calgary","Open (Outbreak, 2-4 cases)","West Ridge School"
"65","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Sebastian Elementary School"
"66","City Of Calgary","Open (Outbreak, 2-4 cases)","Bishop Grandin High School"
"67","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Augustine Elementary Junior High School"
"68","City Of Calgary","Open (Outbreak, 2-4 cases)","Panorama Hills School"
"69","City Of Calgary","Open (Outbreak, 2-4 cases)","Catherine Nichols Gunn School"
"70","City Of Chestermere","Open (Outbreak, 2-4 cases)","Chestermere Lake Middle School"
"71","City Of Edmonton","Open (Outbreak, 2-4 cases)","Holy Trinity"
"72","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Brendan School"
"73","City Of Edmonton","Open (Outbreak, 2-4 cases)","J Percy Page School"
"74","City Of Edmonton","Open (Outbreak, 2-4 cases)","Soraya Hafez School"
"75","City Of Edmonton","Open (Outbreak, 2-4 cases)","Evansdale School"
"76","City Of Edmonton","Open (Outbreak, 2-4 cases)","Michael Strembitsky School"
"77","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. John Bosco"
"78","City Of Edmonton","Open (Outbreak, 2-4 cases)","Victoria School"
"79","City Of Edmonton","Open (Outbreak, 2-4 cases)","Londonderry School"
"80","City Of Edmonton","Open (Outbreak, 2-4 cases)","Scott Robertson School"
"81","City Of Edmonton","Open (Outbreak, 2-4 cases)","Norwood School"
"82","City Of Edmonton","Open (Outbreak, 2-4 cases)","Vernon Barford School"
"83","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Nicholas"
"84","City Of Edmonton","Open (Outbreak, 2-4 cases)","Glengarry School"
"85","City Of Edmonton","Open (Outbreak, 2-4 cases)","John A. McDougall School"
"86","City Of Edmonton","Open (Outbreak, 2-4 cases)","Al-Mustafa Academy"
"87","City Of Edmonton","Open (Outbreak, 2-4 cases)","Dunluce School"
"88","City Of Edmonton","Open (Outbreak, 2-4 cases)","Sir John Thompson"
"89","City Of Edmonton","Open (Outbreak, 2-4 cases)","J. J. Bowlen"
"90","City Of Edmonton","Open (Outbreak, 2-4 cases)","Hilwie Hamdon School"
"91","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Clement"
"92","City Of Edmonton","Open (Outbreak, 2-4 cases)","John D Bracco School"
"93","City Of Edmonton","Open (Outbreak, 2-4 cases)","Meadowlark Christian School"
"94","City Of Grande Prairie","Open (Outbreak, 2-4 cases)","Riverstone Public School"
"95","City Of Grande Prairie","Open (Outbreak, 2-4 cases)","St. Joseph Catholic High School"
"96","City Of Leduc","Open (Outbreak, 2-4 cases)","Christ the King School"
"97","City Of Lethbridge","Open (Outbreak, 2-4 cases)","St. Teresa of Calcutta School"
"98","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Ecole La Verendrye"
"99","City Of Lethbridge","Open (Outbreak, 2-4 cases)","St. Francis Junior High School"
"100","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Ecole St. Mary School"
"101","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Immanuel Christian Secondary School"
"102","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Catholic Central High School"
"103","City Of Medicine Hat","Open (Outbreak, 2-4 cases)","Crestwood School"
"104","City Of Spruce Grove","Open (Outbreak, 2-4 cases)","Prescott Learning Centre"
"105","City Of Spruce Grove","Open (Outbreak, 2-4 cases)","Copperhaven School"
"106","City Of St. Albert","Open (Outbreak, 2-4 cases)","Ecole La Mission"
"107","City Of St. Albert","Open (Outbreak, 2-4 cases)","Bellerose Composite High School"
"108","Kneehill County","Open (Outbreak, 2-4 cases)","Trochu Valley School"
"109","Municipal District Of Opportunity No. 17","Open (Outbreak, 2-4 cases)","Calling Lake School"
"110","Municipal District Of Taber","Open (Outbreak, 2-4 cases)","W. R. Myers High School"
"111","Municipal District Of Willow Creek No. 26","Open (Outbreak, 2-4 cases)","Willow Creek Composite High School"
"112","Municipality Of Jasper","Open (Outbreak, 2-4 cases)","Jasper Junior Senior High School"
"113","Ponoka County","Open (Outbreak, 2-4 cases)","Ponoka Secondary Campus"
"114","Strathcona County","Open (Outbreak, 2-4 cases)","Salisbury Composite High School"
"115","Strathcona County","Open (Outbreak, 2-4 cases)","Holy Spirit Catholic School"
"116","Strathcona County","Open (Outbreak, 2-4 cases)","St. Theresa Catholic School"
"117","Westlock County","Open (Outbreak, 2-4 cases)","Westlock Elementary School"
"118","Athabasca County","Open","No school status to report"
"119","Beaver County","Open","No school status to report"
"120","Big Lakes County","Open","No school status to report"
"121","Birch Hills County","Open","No school status to report"
"122","Brazeau County","Open","No school status to report"
"123","Camrose County","Open","No school status to report"
"124","Cardston County","Open","No school status to report"
"125","City Of Airdrie","Open","No school status to report"
"126","City Of Beaumont","Open","No school status to report"
"127","City Of Camrose","Open","No school status to report"
"128","City Of Cold Lake","Open","No school status to report"
"129","City Of Fort Saskatchewan","Open","No school status to report"
"130","City Of Lacombe","Open","No school status to report"
"131","City Of Lloydminster","Open","No school status to report"
"132","City Of Wetaskiwin","Open","No school status to report"
"133","Clear Hills County","Open","No school status to report"
"134","Clearwater County","Open","No school status to report"
"135","County Of Barrhead No. 11","Open","No school status to report"
"136","County Of Forty Mile No. 8","Open","No school status to report"
"137","County Of Grande Prairie No. 1","Open","No school status to report"
"138","County Of Minburn No. 27","Open","No school status to report"
"139","County Of Newell","Open","No school status to report"
"140","County Of Northern Lights","Open","No school status to report"
"141","County Of Paintearth No. 18","Open","No school status to report"
"142","County Of St. Paul No. 19","Open","No school status to report"
"143","County Of Stettler No. 6","Open","No school status to report"
"144","County Of Two Hills No. 21","Open","No school status to report"
"145","County Of Vermilion River","Open","No school status to report"
"146","County Of Warner No. 5","Open","No school status to report"
"147","County Of Wetaskiwin No. 10","Open","No school status to report"
"148","Cypress County","Open","No school status to report"
"149","Flagstaff County","Open","No school status to report"
"150","Foothills County","Open","No school status to report"
"151","I.d. No. 12 (Jasper National Park)","Open","No schools listed in this geography."
"152","I.d. No. 13 (Elk Island)","Open","No schools listed in this geography."
"153","I.d. No. 24 (Wood Buffalo)","Open","No school status to report"
"154","I.d. No. 25 (Willmore Wilderness)","Open","No schools listed in this geography."
"155","I.d. No. 349","Open","No schools listed in this geography."
"156","I.d. No. 4 (Waterton)","Open","No schools listed in this geography."
"157","I.d. No. 9 (Banff)","Open","No school status to report"
"158","Kananaskis Improvement District","Open","No schools listed in this geography."
"159","Lac La Biche County","Open","No school status to report"
"160","Lac Ste. Anne County","Open","No school status to report"
"161","Lacombe County","Open","No school status to report"
"162","Lamont County","Open","No school status to report"
