"","Region name","School status","Schools details"
"1","City Of Calgary","Watch","St. Wilfrid Elementary School"
"2","City Of Edmonton","Watch","Vimy Ridge"
"3","City Of Calgary","Open (Outbreak, 2-4 cases)","Notre Dame High School"
"4","City Of Calgary","Open (Outbreak, 2-4 cases)","Lester B. Pearson High School"
"5","City Of Calgary","Open (Outbreak, 2-4 cases)","Henry Wise Wood High School"
"6","City Of Calgary","Open (Outbreak, 2-4 cases)","Auburn Bay School"
"7","City Of Calgary","Open (Outbreak, 2-4 cases)","Crescent Heights High School"
"8","City Of Calgary","Open (Outbreak, 2-4 cases)","Chris Akkerman School"
"9","City Of Calgary","Open (Outbreak, 2-4 cases)","Saddle Ridge School"
"10","City Of Calgary","Open (Outbreak, 2-4 cases)","Apostles of Jesus"
"11","City Of Edmonton","Open (Outbreak, 2-4 cases)","Centre High"
"12","City Of Edmonton","Open (Outbreak, 2-4 cases)","Ross Sheppard High School"
"13","City Of Edmonton","Open (Outbreak, 2-4 cases)","McNally School"
"14","City Of Edmonton","Open (Outbreak, 2-4 cases)","Waverley School"
"15","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Chinook High School"
"16","City Of St. Albert","Open (Outbreak, 2-4 cases)","Richard S Fowler Catholic Junior High School"
"17","Municipal District Of Peace No. 135","Open (Outbreak, 2-4 cases)","Springfield Elementary School"
"18","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","St. Gabriel School"
"19","Town Of Okotoks","Open (Outbreak, 2-4 cases)","Foothills Composite High School"
"20","Athabasca County","Open","No school status to report"
"21","Beaver County","Open","No school status to report"
"22","Big Lakes County","Open","No school status to report"
"23","Birch Hills County","Open","No school status to report"
"24","Brazeau County","Open","No school status to report"
"25","Camrose County","Open","No school status to report"
"26","Cardston County","Open","No school status to report"
"27","City Of Airdrie","Open","No school status to report"
"28","City Of Beaumont","Open","No school status to report"
"29","City Of Brooks","Open","No school status to report"
"30","City Of Camrose","Open","No school status to report"
"31","City Of Chestermere","Open","No school status to report"
"32","City Of Cold Lake","Open","No school status to report"
"33","City Of Fort Saskatchewan","Open","No school status to report"
"34","City Of Grande Prairie","Open","No school status to report"
"35","City Of Lacombe","Open","No school status to report"
"36","City Of Leduc","Open","No school status to report"
"37","City Of Lloydminster","Open","No school status to report"
"38","City Of Medicine Hat","Open","No school status to report"
"39","City Of Red Deer","Open","No school status to report"
"40","City Of Spruce Grove","Open","No school status to report"
"41","City Of Wetaskiwin","Open","No school status to report"
"42","Clear Hills County","Open","No school status to report"
"43","Clearwater County","Open","No school status to report"
"44","County Of Barrhead No. 11","Open","No school status to report"
"45","County Of Forty Mile No. 8","Open","No school status to report"
"46","County Of Grande Prairie No. 1","Open","No school status to report"
"47","County Of Minburn No. 27","Open","No school status to report"
"48","County Of Newell","Open","No school status to report"
"49","County Of Northern Lights","Open","No school status to report"
"50","County Of Paintearth No. 18","Open","No school status to report"
"51","County Of St. Paul No. 19","Open","No school status to report"
"52","County Of Stettler No. 6","Open","No school status to report"
"53","County Of Two Hills No. 21","Open","No school status to report"
"54","County Of Vermilion River","Open","No school status to report"
"55","County Of Warner No. 5","Open","No school status to report"
"56","County Of Wetaskiwin No. 10","Open","No school status to report"
"57","Cypress County","Open","No school status to report"
"58","Flagstaff County","Open","No school status to report"
"59","Foothills County","Open","No school status to report"
"60","I.d. No. 12 (Jasper National Park)","Open","No schools listed in this geography."
"61","I.d. No. 13 (Elk Island)","Open","No schools listed in this geography."
"62","I.d. No. 24 (Wood Buffalo)","Open","No school status to report"
"63","I.d. No. 25 (Willmore Wilderness)","Open","No schools listed in this geography."
"64","I.d. No. 349","Open","No schools listed in this geography."
"65","I.d. No. 4 (Waterton)","Open","No schools listed in this geography."
"66","I.d. No. 9 (Banff)","Open","No school status to report"
"67","Kananaskis Improvement District","Open","No schools listed in this geography."
"68","Kneehill County","Open","No school status to report"
"69","Lac La Biche County","Open","No school status to report"
"70","Lac Ste. Anne County","Open","No school status to report"
"71","Lacombe County","Open","No school status to report"
"72","Lamont County","Open","No school status to report"
"73","Leduc County","Open","No school status to report"
"74","Lethbridge County","Open","No school status to report"
"75","Mackenzie County","Open","No school status to report"
"76","Mountain View County","Open","No school status to report"
"77","Municipal District Of Acadia No. 34","Open","No school status to report"
"78","Municipal District Of Bighorn No. 8","Open","No school status to report"
"79","Municipal District Of Bonnyville No. 87","Open","No school status to report"
"80","Municipal District Of Fairview No. 136","Open","No school status to report"
"81","Municipal District Of Greenview No. 16","Open","No school status to report"
