"","Region name","School status","Schools details"
"1","City Of Airdrie","Watch","Northcott Prairie School"
"2","City Of Airdrie","Watch","George McDougall High School"
"3","City Of Brooks","Watch","Eastbrook Elementary School"
"4","City Of Calgary","Watch","Lester B. Pearson High School"
"5","City Of Calgary","Watch","Nelson Mandela High School"
"6","City Of Calgary","Watch","Ecole de la Rose Sauvage"
"7","City Of Calgary","Watch","John G Diefenbaker High School"
"8","City Of Calgary","Watch","Father Lacombe School"
"9","City Of Calgary","Watch","Calgary French & International School"
"10","City Of Calgary","Watch","St. Francis High School"
"11","City Of Calgary","Watch","Bishop McNally High School"
"12","City Of Calgary","Watch","Crossing Park School"
"13","City Of Calgary","Watch","St. Mary's High School"
"14","City Of Calgary","Watch","All Saints School"
"15","City Of Calgary","Watch","Northeast Elementary Campus"
"16","City Of Calgary","Watch","Sir Winston Churchill High School"
"17","City Of Calgary","Watch","Western Canada High School"
"18","City Of Calgary","Watch","Manmeet Singh Bhullar School"
"19","City Of Calgary","Watch","Joane Cardinal-Schubert High School"
"20","City Of Calgary","Watch","Bishop O'Byrne High School"
"21","City Of Calgary","Watch","St. Augustine Elementary Junior High School"
"22","City Of Calgary","Watch","Henry Wise Wood High School"
"23","City Of Calgary","Watch","Centennial High School"
"24","City Of Calgary","Watch","Crescent Heights High School"
"25","City Of Calgary","Watch","St. Bede Elementary School"
"26","City Of Calgary","Watch","St. Gerard Bilingual School"
"27","City Of Calgary","Watch","Almadina Language Charter Academy Ogden Campus"
"28","City Of Calgary","Watch","Notre Dame High School"
"29","City Of Calgary","Watch","Chinook Park School"
"30","City Of Chestermere","Watch","Chestermere Lake Middle School"
"31","City Of Edmonton","Watch","Harry Ainlay School"
"32","City Of Edmonton","Watch","St. Francis Xavier"
"33","City Of Edmonton","Watch","Archbishop O'Leary"
"34","City Of Edmonton","Watch","Centre High"
"35","City Of Edmonton","Watch","Queen Elizabeth School"
"36","City Of Edmonton","Watch","Ross Sheppard High School"
"37","City Of Edmonton","Watch","Cardinal Collins High School Academic Centre"
"38","City Of Edmonton","Watch","St. Matthew"
"39","City Of Edmonton","Watch","Louis St. Laurent"
"40","City Of Edmonton","Watch","St. Joseph"
"41","City Of Edmonton","Watch","Edmonton Islamic Academy"
"42","City Of Edmonton","Watch","Evansdale School"
"43","City Of Edmonton","Watch","Jasper Place School"
"44","City Of Edmonton","Watch","M. E. LaZerte School"
"45","City Of Edmonton","Watch","Victoria School"
"46","City Of Edmonton","Watch","L Y Cairns School"
"47","City Of Edmonton","Watch","Glengarry School"
"48","City Of Edmonton","Watch","Michael A Kostek Elementary School"
"49","City Of Edmonton","Watch","Killarney School"
"50","City Of Edmonton","Watch","Lago Lindo School"
"51","City Of Edmonton","Watch","St. Thomas Aquinas School"
"52","City Of Edmonton","Watch","York School"
"53","City Of Grande Prairie","Watch","Charles Spencer High School"
"54","City Of Lethbridge","Watch","Winston Churchill High School"
"55","City Of Lethbridge","Watch","Catholic Central High School"
"56","City Of Red Deer","Watch","Lindsay Thurber Comprehensive High School"
"57","City Of St. Albert","Watch","Richard S Fowler Catholic Junior High School"
"58","City Of St. Albert","Watch","Elmer S Gish School"
"59","County Of Grande Prairie No. 1","Watch","Whispering Ridge Community School"
"60","County Of Wetaskiwin No. 10","Watch","Buck Mountain Central School"
"61","Lethbridge County","Watch","St. Catherine's School"
"62","Municipal District Of Peace No. 135","Watch","Glenmary School"
"63","Municipal District Of Taber","Watch","W. R. Myers High School"
"64","Rocky View County","Watch","Khalsa School Calgary Educational Foundation"
"65","Town Of Cochrane","Watch","RancheView School"
"66","Town Of Morinville","Watch","Four Winds Public School"
"67","Westlock County","Watch","Richard F Staples Secondary School"
"68","City Of Airdrie","Open (Outbreak, 2-4 cases)","Airdrie Francophone School"
"69","City Of Airdrie","Open (Outbreak, 2-4 cases)","Herons Crossing School"
"70","City Of Airdrie","Open (Outbreak, 2-4 cases)","Bert Church High School"
"71","City Of Airdrie","Open (Outbreak, 2-4 cases)","Meadowbrook School"
"72","City Of Airdrie","Open (Outbreak, 2-4 cases)","C.W. Perry School"
"73","City Of Brooks","Open (Outbreak, 2-4 cases)","Brooks Junior High School"
"74","City Of Calgary","Open (Outbreak, 2-4 cases)","Chief Justice Milvain School"
"75","City Of Calgary","Open (Outbreak, 2-4 cases)","Gobind Sarvar School"
