"","Region name","School status","Schools details"
"1","City Of Airdrie","Watch","Coopers Crossing School"
"2","City Of Calgary","Watch","St. Wilfrid Elementary School"
"3","City Of Calgary","Watch","Clarence Sansom School"
"4","City Of Calgary","Watch","Nelson Mandela High School"
"5","City Of Calgary","Watch","Canyon Meadows School"
"6","City Of Calgary","Watch","Ecole de la Rose Sauvage"
"7","City Of Edmonton","Watch","Archbishop O'Leary"
"8","City Of Edmonton","Watch","Centre High"
"9","City Of Edmonton","Watch","Ross Sheppard High School"
"10","City Of Edmonton","Watch","Vimy Ridge"
"11","City Of Edmonton","Watch","Highlands School"
"12","City Of Edmonton","Watch","Austin O'Brien"
"13","City Of Edmonton","Watch","Harry Ainlay School"
"14","City Of Edmonton","Watch","Queen Elizabeth School"
"15","City Of Edmonton","Watch","Louis St. Laurent"
"16","City Of Edmonton","Watch","Edmonton Islamic Academy"
"17","City Of Edmonton","Watch","M. E. LaZerte School"
"18","City Of Edmonton","Watch","Headway School Society of Alberta"
"19","City Of St. Albert","Watch","Elmer S Gish School"
"20","Strathcona County","Watch","Bev Facey Community High School"
"21","Town Of Cochrane","Watch","RancheView School"
"22","City Of Airdrie","Open (Outbreak, 2-4 cases)","Northcott Prairie School"
"23","City Of Calgary","Open (Outbreak, 2-4 cases)","Lester B. Pearson High School"
"24","City Of Calgary","Open (Outbreak, 2-4 cases)","Saddle Ridge School"
"25","City Of Calgary","Open (Outbreak, 2-4 cases)","Apostles of Jesus"
"26","City Of Calgary","Open (Outbreak, 2-4 cases)","Glenmeadows School"
"27","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Benedict School"
"28","City Of Calgary","Open (Outbreak, 2-4 cases)","Monsignor E. L. Doyle Elementary School"
"29","City Of Calgary","Open (Outbreak, 2-4 cases)","Peter Lougheed School"
"30","City Of Calgary","Open (Outbreak, 2-4 cases)","Vista Heights School"
"31","City Of Calgary","Open (Outbreak, 2-4 cases)","Monterey Park School"
"32","City Of Calgary","Open (Outbreak, 2-4 cases)","Our Lady of the Assumption School"
"33","City Of Calgary","Open (Outbreak, 2-4 cases)","King George School"
"34","City Of Calgary","Open (Outbreak, 2-4 cases)","Central Memorial High School"
"35","City Of Calgary","Open (Outbreak, 2-4 cases)","Ecole La Mosaique"
"36","City Of Calgary","Open (Outbreak, 2-4 cases)","John G Diefenbaker High School"
"37","City Of Calgary","Open (Outbreak, 2-4 cases)","Rundle School"
"38","City Of Calgary","Open (Outbreak, 2-4 cases)","Connaught School"
"39","City Of Calgary","Open (Outbreak, 2-4 cases)","Janus Academy"
"40","City Of Edmonton","Open (Outbreak, 2-4 cases)","Northmount School"
"41","City Of Edmonton","Open (Outbreak, 2-4 cases)","Holy Trinity"
"42","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Oscar Romero Catholic High School"
"43","City Of Edmonton","Open (Outbreak, 2-4 cases)","Lillian Osborne High School"
"44","City Of Edmonton","Open (Outbreak, 2-4 cases)","McNally School"
"45","City Of Edmonton","Open (Outbreak, 2-4 cases)","Waverley School"
"46","City Of Edmonton","Open (Outbreak, 2-4 cases)","Cardinal Collins High School Academic Centre"
"47","City Of Edmonton","Open (Outbreak, 2-4 cases)","Millwoods Christian School"
"48","City Of Edmonton","Open (Outbreak, 2-4 cases)","H. E. Beriault"
"49","City Of Edmonton","Open (Outbreak, 2-4 cases)","Christ the King School"
"50","City Of Edmonton","Open (Outbreak, 2-4 cases)","Oliver School"
"51","City Of Edmonton","Open (Outbreak, 2-4 cases)","Kirkness School"
"52","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Matthew"
"53","City Of Edmonton","Open (Outbreak, 2-4 cases)","Aldergrove School"
"54","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Brendan School"
"55","City Of Edmonton","Open (Outbreak, 2-4 cases)","Calder School"
"56","City Of Edmonton","Open (Outbreak, 2-4 cases)","Dr. Donald Massey School"
"57","City Of Edmonton","Open (Outbreak, 2-4 cases)","Bishop Savaryn"
"58","City Of Edmonton","Open (Outbreak, 2-4 cases)","J Percy Page School"
"59","City Of Edmonton","Open (Outbreak, 2-4 cases)","Archbishop MacDonald"
"60","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Vladimir Elementary School"
"61","City Of Edmonton","Open (Outbreak, 2-4 cases)","Archbishop Joseph MacNeil"
"62","City Of Edmonton","Open (Outbreak, 2-4 cases)","Soraya Hafez School"
"63","City Of Edmonton","Open (Outbreak, 2-4 cases)","AlBaqir Academy"
"64","City Of Edmonton","Open (Outbreak, 2-4 cases)","Evansdale School"
"65","City Of Edmonton","Open (Outbreak, 2-4 cases)","Jasper Place School"
"66","City Of Edmonton","Open (Outbreak, 2-4 cases)","Michael Strembitsky School"
"67","City Of Edmonton","Open (Outbreak, 2-4 cases)","Dickinsfield School"
"68","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Maria Goretti"
"69","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. John Bosco"
"70","City Of Edmonton","Open (Outbreak, 2-4 cases)","Thomas More Academy"
"71","City Of Edmonton","Open (Outbreak, 2-4 cases)","Victoria School"
"72","City Of Edmonton","Open (Outbreak, 2-4 cases)","Scott Robertson School"
"73","City Of Edmonton","Open (Outbreak, 2-4 cases)","Norwood School"
"74","City Of Edmonton","Open (Outbreak, 2-4 cases)","Eastglen School"
"75","City Of Edmonton","Open (Outbreak, 2-4 cases)","Rosslyn School"
"76","City Of Edmonton","Open (Outbreak, 2-4 cases)","Aurora School"
"77","City Of Edmonton","Open (Outbreak, 2-4 cases)","Steinhauer School"
"78","City Of Edmonton","Open (Outbreak, 2-4 cases)","Tipaskan School"
"79","City Of St. Albert","Open (Outbreak, 2-4 cases)","Richard S Fowler Catholic Junior High School"
"80","Municipal District Of Peace No. 135","Open (Outbreak, 2-4 cases)","Springfield Elementary School"
"81","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","St. Gabriel School"
"82","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","Sister Mary Phillps Elementary School"
"83","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","Holy Trinity High School"
"84","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","Good Shepherd Community School"
"85","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","Elsie Yanik Catholic School"
"86","Strathcona County","Open (Outbreak, 2-4 cases)","Mills Haven Elementary School"
"87","Strathcona County","Open (Outbreak, 2-4 cases)","Lakeland Ridge School"
"88","Town Of Strathmore","Open (Outbreak, 2-4 cases)","Trinity Christian Academy"
"89","Athabasca County","Open","No school status to report"
"90","Beaver County","Open","No school status to report"
"91","Big Lakes County","Open","No school status to report"
"92","Birch Hills County","Open","No school status to report"
"93","Brazeau County","Open","No school status to report"
"94","Camrose County","Open","No school status to report"
"95","Cardston County","Open","No school status to report"
"96","City Of Beaumont","Open","No school status to report"
"97","City Of Brooks","Open","No school status to report"
"98","City Of Camrose","Open","No school status to report"
"99","City Of Chestermere","Open","No school status to report"
"100","City Of Cold Lake","Open","No school status to report"
"101","City Of Fort Saskatchewan","Open","No school status to report"
"102","City Of Grande Prairie","Open","No school status to report"
"103","City Of Lacombe","Open","No school status to report"
"104","City Of Leduc","Open","No school status to report"
"105","City Of Lethbridge","Open","No school status to report"
"106","City Of Lloydminster","Open","No school status to report"
