"","Region name","School status","Schools details"
"1","City Of Calgary","Watch","St. Wilfrid Elementary School"
"2","City Of Calgary","Watch","Canyon Meadows School"
"3","City Of Edmonton","Watch","Centre High"
"4","City Of Edmonton","Watch","Vimy Ridge"
"5","City Of Edmonton","Watch","Highlands School"
"6","City Of Edmonton","Watch","Austin O'Brien"
"7","City Of Edmonton","Watch","Harry Ainlay School"
"8","City Of Calgary","Open (Outbreak, 2-4 cases)","Notre Dame High School"
"9","City Of Calgary","Open (Outbreak, 2-4 cases)","Lester B. Pearson High School"
"10","City Of Calgary","Open (Outbreak, 2-4 cases)","Henry Wise Wood High School"
"11","City Of Calgary","Open (Outbreak, 2-4 cases)","Auburn Bay School"
"12","City Of Calgary","Open (Outbreak, 2-4 cases)","Crescent Heights High School"
"13","City Of Calgary","Open (Outbreak, 2-4 cases)","Chris Akkerman School"
"14","City Of Calgary","Open (Outbreak, 2-4 cases)","Clarence Sansom School"
"15","City Of Calgary","Open (Outbreak, 2-4 cases)","Saddle Ridge School"
"16","City Of Calgary","Open (Outbreak, 2-4 cases)","Nelson Mandela High School"
"17","City Of Calgary","Open (Outbreak, 2-4 cases)","Apostles of Jesus"
"18","City Of Calgary","Open (Outbreak, 2-4 cases)","Glenmeadows School"
"19","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Benedict School"
"20","City Of Calgary","Open (Outbreak, 2-4 cases)","Monsignor E. L. Doyle Elementary School"
"21","City Of Calgary","Open (Outbreak, 2-4 cases)","Vista Heights School"
"22","City Of Calgary","Open (Outbreak, 2-4 cases)","Monterey Park School"
"23","City Of Calgary","Open (Outbreak, 2-4 cases)","King George School"
"24","City Of Edmonton","Open (Outbreak, 2-4 cases)","Archbishop O'Leary"
"25","City Of Edmonton","Open (Outbreak, 2-4 cases)","Northmount School"
"26","City Of Edmonton","Open (Outbreak, 2-4 cases)","Ross Sheppard High School"
"27","City Of Edmonton","Open (Outbreak, 2-4 cases)","Holy Trinity"
"28","City Of Edmonton","Open (Outbreak, 2-4 cases)","Parkview School"
"29","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Oscar Romero Catholic High School"
"30","City Of Edmonton","Open (Outbreak, 2-4 cases)","Lillian Osborne High School"
"31","City Of Edmonton","Open (Outbreak, 2-4 cases)","McNally School"
"32","City Of Edmonton","Open (Outbreak, 2-4 cases)","Ecole Pere-Lacombe"
"33","City Of Edmonton","Open (Outbreak, 2-4 cases)","Waverley School"
"34","City Of Edmonton","Open (Outbreak, 2-4 cases)","Cardinal Collins High School Academic Centre"
"35","City Of Edmonton","Open (Outbreak, 2-4 cases)","Millwoods Christian School"
"36","City Of Edmonton","Open (Outbreak, 2-4 cases)","H. E. Beriault"
