"","Region name","School status","Schools details"
"1","Athabasca County","Open","No school outbreaks reported."
"2","Beaver County","Open","No school outbreaks reported."
"3","Big Lakes County","Open","No school outbreaks reported."
"4","Birch Hills County","Open","No school outbreaks reported."
"5","Brazeau County","Open","No school outbreaks reported."
"6","Camrose County","Open","No school outbreaks reported."
"7","Cardston County","Open","No school outbreaks reported."
"8","City Of Airdrie","Open","No school outbreaks reported."
"9","City Of Beaumont","Open","No school outbreaks reported."
"10","City Of Brooks","Open","No school outbreaks reported."
"11","City Of Calgary","Open","No school outbreaks reported."
"12","City Of Camrose","Open","No school outbreaks reported."
"13","City Of Chestermere","Open","No school outbreaks reported."
"14","City Of Cold Lake","Open","No school outbreaks reported."
"15","City Of Edmonton","Open","No school outbreaks reported."
"16","City Of Fort Saskatchewan","Open","No school outbreaks reported."
"17","City Of Grande Prairie","Open","No school outbreaks reported."
"18","City Of Lacombe","Open","No school outbreaks reported."
"19","City Of Leduc","Open","No school outbreaks reported."
"20","City Of Lethbridge","Open","No school outbreaks reported."
"21","City Of Lloydminster","Open","No school outbreaks reported."
"22","City Of Medicine Hat","Open","No school outbreaks reported."
"23","City Of Red Deer","Open","No school outbreaks reported."
"24","City Of Spruce Grove","Open","No school outbreaks reported."
"25","City Of St. Albert","Open","No school outbreaks reported."
"26","City Of Wetaskiwin","Open","No school outbreaks reported."
"27","Clear Hills County","Open","No school outbreaks reported."
"28","Clearwater County","Open","No school outbreaks reported."
"29","County Of Barrhead No. 11","Open","No school outbreaks reported."
"30","County Of Forty Mile No. 8","Open","No school outbreaks reported."
"31","County Of Grande Prairie No. 1","Open","No school outbreaks reported."
"32","County Of Minburn No. 27","Open","No school outbreaks reported."
"33","County Of Newell","Open","No school outbreaks reported."
"34","County Of Northern Lights","Open","No school outbreaks reported."
"35","County Of Paintearth No. 18","Open","No school outbreaks reported."
"36","County Of St. Paul No. 19","Open","No school outbreaks reported."
"37","County Of Stettler No. 6","Open","No school outbreaks reported."
"38","County Of Two Hills No. 21","Open","No school outbreaks reported."
"39","County Of Vermilion River","Open","No school outbreaks reported."
"40","County Of Warner No. 5","Open","No school outbreaks reported."
"41","County Of Wetaskiwin No. 10","Open","No school outbreaks reported."
"42","Cypress County","Open","No school outbreaks reported."
"43","Flagstaff County","Open","No school outbreaks reported."
"44","Foothills County","Open","No school outbreaks reported."
"45","I.d. No. 12 (Jasper National Park)","Open","No schools listed in this geography."
"46","I.d. No. 13 (Elk Island)","Open","No schools listed in this geography."
