"","Region name","School status","Schools details"
"1","City Of Calgary","Watch","St. Wilfrid Elementary School"
"2","City Of Edmonton","Watch","Centre High"
"3","City Of Edmonton","Watch","Vimy Ridge"
"4","City Of Edmonton","Watch","Highlands School"
"5","City Of Edmonton","Watch","Austin O'Brien"
"6","City Of Calgary","Open (Outbreak, 2-4 cases)","Canyon Meadows School"
"7","City Of Calgary","Open (Outbreak, 2-4 cases)","Notre Dame High School"
"8","City Of Calgary","Open (Outbreak, 2-4 cases)","Lester B. Pearson High School"
"9","City Of Calgary","Open (Outbreak, 2-4 cases)","Henry Wise Wood High School"
"10","City Of Calgary","Open (Outbreak, 2-4 cases)","Auburn Bay School"
"11","City Of Calgary","Open (Outbreak, 2-4 cases)","Crescent Heights High School"
"12","City Of Calgary","Open (Outbreak, 2-4 cases)","Chris Akkerman School"
"13","City Of Calgary","Open (Outbreak, 2-4 cases)","Clarence Sansom School"
"14","City Of Calgary","Open (Outbreak, 2-4 cases)","Saddle Ridge School"
"15","City Of Calgary","Open (Outbreak, 2-4 cases)","Apostles of Jesus"
"16","City Of Calgary","Open (Outbreak, 2-4 cases)","Glenmeadows School"
"17","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Benedict School"
"18","City Of Edmonton","Open (Outbreak, 2-4 cases)","Ross Sheppard High School"
"19","City Of Edmonton","Open (Outbreak, 2-4 cases)","Holy Trinity"
"20","City Of Edmonton","Open (Outbreak, 2-4 cases)","Parkview School"
"21","City Of Edmonton","Open (Outbreak, 2-4 cases)","McNally School"
"22","City Of Edmonton","Open (Outbreak, 2-4 cases)","Ecole Pere-Lacombe"
"23","City Of Edmonton","Open (Outbreak, 2-4 cases)","Waverley School"
"24","City Of Edmonton","Open (Outbreak, 2-4 cases)","Riverbend School"
"25","City Of Edmonton","Open (Outbreak, 2-4 cases)","Harry Ainlay School"
"26","City Of Edmonton","Open (Outbreak, 2-4 cases)","Bishop Savaryn"
"27","City Of Edmonton","Open (Outbreak, 2-4 cases)","Louis St. Laurent"
"28","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Chinook High School"
"29","City Of St. Albert","Open (Outbreak, 2-4 cases)","Richard S Fowler Catholic Junior High School"
"30","Municipal District Of Peace No. 135","Open (Outbreak, 2-4 cases)","Springfield Elementary School"
"31","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","Holy Trinity High School"
"32","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","St. Gabriel School"
"33","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","Sister Mary Phillps Elementary School"
"34","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","Elsie Yanik Catholic School"
"35","Town Of Okotoks","Open (Outbreak, 2-4 cases)","Foothills Composite High School"
"36","Athabasca County","Open","No school status to report"
"37","Beaver County","Open","No school status to report"
"38","Big Lakes County","Open","No school status to report"
"39","Birch Hills County","Open","No school status to report"
"40","Brazeau County","Open","No school status to report"
"41","Camrose County","Open","No school status to report"
"42","Cardston County","Open","No school status to report"
"43","City Of Airdrie","Open","No school status to report"
"44","City Of Beaumont","Open","No school status to report"
"45","City Of Brooks","Open","No school status to report"
"46","City Of Camrose","Open","No school status to report"
"47","City Of Chestermere","Open","No school status to report"
"48","City Of Cold Lake","Open","No school status to report"
"49","City Of Fort Saskatchewan","Open","No school status to report"
"50","City Of Grande Prairie","Open","No school status to report"
"51","City Of Lacombe","Open","No school status to report"
"52","City Of Leduc","Open","No school status to report"
"53","City Of Lloydminster","Open","No school status to report"
"54","City Of Medicine Hat","Open","No school status to report"
"55","City Of Red Deer","Open","No school status to report"
"56","City Of Spruce Grove","Open","No school status to report"
"57","City Of Wetaskiwin","Open","No school status to report"
"58","Clear Hills County","Open","No school status to report"
"59","Clearwater County","Open","No school status to report"
"60","County Of Barrhead No. 11","Open","No school status to report"
"61","County Of Forty Mile No. 8","Open","No school status to report"
"62","County Of Grande Prairie No. 1","Open","No school status to report"
"63","County Of Minburn No. 27","Open","No school status to report"
"64","County Of Newell","Open","No school status to report"
"65","County Of Northern Lights","Open","No school status to report"
"66","County Of Paintearth No. 18","Open","No school status to report"
"67","County Of St. Paul No. 19","Open","No school status to report"
"68","County Of Stettler No. 6","Open","No school status to report"
"69","County Of Two Hills No. 21","Open","No school status to report"
"70","County Of Vermilion River","Open","No school status to report"
"71","County Of Warner No. 5","Open","No school status to report"
"72","County Of Wetaskiwin No. 10","Open","No school status to report"
"73","Cypress County","Open","No school status to report"
"74","Flagstaff County","Open","No school status to report"
"75","Foothills County","Open","No school status to report"
"76","I.d. No. 12 (Jasper National Park)","Open","No schools listed in this geography."
"77","I.d. No. 13 (Elk Island)","Open","No schools listed in this geography."
"78","I.d. No. 24 (Wood Buffalo)","Open","No school status to report"
"79","I.d. No. 25 (Willmore Wilderness)","Open","No schools listed in this geography."
"80","I.d. No. 349","Open","No schools listed in this geography."
"81","I.d. No. 4 (Waterton)","Open","No schools listed in this geography."
"82","I.d. No. 9 (Banff)","Open","No school status to report"
"83","Kananaskis Improvement District","Open","No schools listed in this geography."
"84","Kneehill County","Open","No school status to report"
"85","Lac La Biche County","Open","No school status to report"
"86","Lac Ste. Anne County","Open","No school status to report"
"87","Lacombe County","Open","No school status to report"
"88","Lamont County","Open","No school status to report"
"89","Leduc County","Open","No school status to report"
"90","Lethbridge County","Open","No school status to report"
"91","Mackenzie County","Open","No school status to report"
"92","Mountain View County","Open","No school status to report"
"93","Municipal District Of Acadia No. 34","Open","No school status to report"
"94","Municipal District Of Bighorn No. 8","Open","No school status to report"
"95","Municipal District Of Bonnyville No. 87","Open","No school status to report"
"96","Municipal District Of Fairview No. 136","Open","No school status to report"
"97","Municipal District Of Greenview No. 16","Open","No school status to report"
"98","Municipal District Of Lesser Slave River No. 124","Open","No school status to report"
"99","Municipal District Of Opportunity No. 17","Open","No school status to report"
"100","Municipal District Of Pincher Creek No. 9","Open","No school status to report"
"101","Municipal District Of Provost No. 52","Open","No school status to report"
"102","Municipal District Of Ranchland No. 66","Open","No schools listed in this geography."
"103","Municipal District Of Smoky River No. 130","Open","No school status to report"
"104","Municipal District Of Spirit River No. 133","Open","No school status to report"
"105","Municipal District Of Taber","Open","No school status to report"
"106","Municipal District Of Wainwright No. 61","Open","No school status to report"
"107","Municipal District Of Willow Creek No. 26","Open","No school status to report"
"108","Municipality Of Crowsnest Pass","Open","No school status to report"
"109","Municipality Of Jasper","Open","No school status to report"
"110","Northern Sunrise County","Open","No school status to report"
"111","Parkland County","Open","No school status to report"
"112","Ponoka County","Open","No school status to report"
"113","Red Deer County","Open","No school status to report"
"114","Rocky View County","Open","No school status to report"
"115","Saddle Hills County","Open","No school status to report"
"116","Smoky Lake County","Open","No school status to report"
"117","Special Areas No. 2","Open","No school status to report"
"118","Special Areas No. 3","Open","No school status to report"
"119","Special Areas No. 4","Open","No school status to report"
"120","Starland County","Open","No school status to report"
"121","Strathcona County","Open","No school status to report"
"122","Sturgeon County","Open","No school status to report"
"123","Thorhild County","Open","No school status to report"
"124","Town Of Canmore","Open","No school status to report"
"125","Town Of Cochrane","Open","No school status to report"
"126","Town Of Drumheller","Open","No school status to report"
"127","Town Of High River","Open","No school status to report"
"128","Town Of Hinton","Open","No school status to report"
"129","Town Of Morinville","Open","No school status to report"
"130","Town Of Olds","Open","No school status to report"
"131","Town Of Stony Plain","Open","No school status to report"
"132","Town Of Strathmore","Open","No school status to report"
"133","Town Of Sylvan Lake","Open","No school status to report"
"134","Town Of Whitecourt","Open","No school status to report"
"135","Vulcan County","Open","No school status to report"
"136","Westlock County","Open","No school status to report"
"137","Wheatland County","Open","No school status to report"
"138","Woodlands County","Open","No school status to report"
"139","Yellowhead County","Open","No school status to report"
