Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,48905,335.74,3600754,24719.3,2837,19.48,"#1c819a"
Colombie-Britannique,8641,170.39,407044,8026.4,230,4.54,"#1c819a"
Alberta,17343,396.75,968031,22145.1,261,5.97,"#1c819a"
Saskatchewan,1846,157.18,150613,12824,24,2.04,"#1c819a"
Manitoba,1764,128.81,168637,12314.1,19,1.39,"#1c819a"
Nouveau-Brunswick,200,25.75,63507,8175.2,2,0.26,"#1c819a"
Terre-Neuve-et-Labrador,272,52.15,40103,7689.3,3,0.58,"#1c819a"
Nouvelle-Écosse,1087,111.90,91878,9458.4,65,6.69,"#1c819a"
Île-du-Prince-Édouard,58,36.96,35813,22818.5,0,0.00,"#1c819a"
