Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,65896,452.38,4560168,31305.8,3053,20.96,"#1c819a"
Colombie-Britannique,11854,233.75,559072,11024.2,254,5.01,"#1c819a"
Alberta,22996,526.07,1186035,27132.2,293,6.70,"#1c819a"
Saskatchewan,2439,207.67,190908,16254.9,25,2.13,"#1c819a"
Manitoba,3491,254.92,222635,16257.1,42,3.07,"#1c819a"
Nouveau-Brunswick,313,40.29,79274,10204.8,3,0.39,"#1c819a"
Terre-Neuve-et-Labrador,287,55.03,49171,9428,4,0.77,"#1c819a"
Nouvelle-Écosse,1097,112.93,106822,10996.8,65,6.69,"#1c819a"
Île-du-Prince-Édouard,64,40.78,44039,28059.8,0,0.00,"#1c819a"
