Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,62196,426.98,4386061,30110.5,3022,20.75,"#1c819a"
Colombie-Britannique,11034,217.58,531218,10474.9,250,4.93,"#1c819a"
Alberta,21443,490.54,1085790,24839,288,6.59,"#1c819a"
Saskatchewan,2232,190.04,182263,15518.9,25,2.13,"#1c819a"
Manitoba,3098,226.22,211508,15444.6,38,2.77,"#1c819a"
Nouveau-Brunswick,292,37.59,76271,9818.3,2,0.26,"#1c819a"
Terre-Neuve-et-Labrador,284,54.45,47753,9156.1,4,0.77,"#1c819a"
Nouvelle-Écosse,1092,112.42,104084,10714.9,65,6.69,"#1c819a"
Île-du-Prince-Édouard,65,41.42,42431,27035.2,0,0.00,"#1c819a"
