Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,52248,358.68,3833517,26317.3,2851,19.57,"#1c819a"
Colombie-Britannique,9220,181.81,440223,8680.6,235,4.63,"#1c819a"
Alberta,18235,417.15,1012136,23154,269,6.15,"#1c819a"
Saskatchewan,1927,164.08,160355,13653.5,24,2.04,"#1c819a"
Manitoba,2029,148.16,180920,13211,20,1.46,"#1c819a"
Nouveau-Brunswick,200,25.75,67677,8712,2,0.26,"#1c819a"
Terre-Neuve-et-Labrador,275,52.73,42556,8159.6,3,0.58,"#1c819a"
Nouvelle-Écosse,1088,112.00,96405,9924.4,65,6.69,"#1c819a"
Île-du-Prince-Édouard,59,37.59,38011,24219,0,0.00,"#1c819a"
