Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,66686,457.80,4591746,31522.5,3062,21.02,"#1c819a"
Colombie-Britannique,12057,237.75,563137,11104.3,256,5.05,"#1c819a"
Alberta,23402,535.35,1186035,27132.2,296,6.77,"#1c819a"
Saskatchewan,2496,212.52,192572,16396.6,25,2.13,"#1c819a"
Manitoba,3626,264.77,224779,16413.6,43,3.14,"#1c819a"
Nouveau-Brunswick,319,41.06,79743,10265.2,4,0.51,"#1c819a"
Terre-Neuve-et-Labrador,287,55.03,49502,9491.5,4,0.77,"#1c819a"
Nouvelle-Écosse,1097,112.93,107384,11054.6,65,6.69,"#1c819a"
Île-du-Prince-Édouard,64,40.78,44927,28625.6,0,0.00,"#1c819a"
