Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,52980,363.71,3872299,26583.5,2927,20.09,"#1c819a"
Colombie-Britannique,9381,184.98,447533,8824.8,238,4.69,"#1c819a"
Alberta,18357,419.94,1012136,23154,272,6.22,"#1c819a"
Saskatchewan,1940,165.18,162094,13801.6,24,2.04,"#1c819a"
Manitoba,2072,151.30,182263,13309.1,21,1.53,"#1c819a"
Nouveau-Brunswick,200,25.75,68336,8796.8,2,0.26,"#1c819a"
Terre-Neuve-et-Labrador,275,52.73,43054,8255.1,3,0.58,"#1c819a"
Nouvelle-Écosse,1089,112.11,97118,9997.8,65,6.69,"#1c819a"
Île-du-Prince-Édouard,59,37.59,38011,24219,0,0.00,"#1c819a"
