Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,106510,731.20,5789074,39742.3,3519,24.16,"#1c819a"
Colombie-Britannique,28348,558.98,754571,14879.1,358,7.06,"#1c819a"
Alberta,49536,1133.21,1420248,32490.2,492,11.26,"#1c819a"
Saskatchewan,6883,586.06,248312,21142.6,37,3.15,"#1c819a"
Manitoba,14558,1063.04,330261,24116.1,248,18.11,"#1c819a"
Nouveau-Brunswick,450,57.93,95054,12236.2,7,0.90,"#1c819a"
Terre-Neuve-et-Labrador,323,61.93,59741,11454.7,4,0.77,"#1c819a"
Nouvelle-Écosse,1227,126.31,131431,13530.1,65,6.69,"#1c819a"
Île-du-Prince-Édouard,69,43.96,55619,35438.1,0,0.00,"#1c819a"
