Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,81693,560.83,5132335,35233.7,3209,22.03,"#1c819a"
Colombie-Britannique,17149,338.16,646823,12754.5,275,5.42,"#1c819a"
Alberta,31858,728.80,1295038,29625.8,352,8.05,"#1c819a"
Saskatchewan,3623,308.48,217915,18554.5,25,2.13,"#1c819a"
Manitoba,7419,541.74,270689,19766,96,7.01,"#1c819a"
Nouveau-Brunswick,350,45.06,86558,11142.5,6,0.77,"#1c819a"
Terre-Neuve-et-Labrador,294,56.37,54197,10391.7,4,0.77,"#1c819a"
Nouvelle-Écosse,1121,115.40,116497,11992.8,65,6.69,"#1c819a"
Île-du-Prince-Édouard,66,42.05,50066,31899.9,0,0.00,"#1c819a"
