Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,48496,332.93,3560258,24441.3,2836,19.47,"#1c819a"
Colombie-Britannique,8543,168.46,401444,7915.9,229,4.52,"#1c819a"
Alberta,17190,393.25,958534,21927.8,261,5.97,"#1c819a"
Saskatchewan,1835,156.24,149256,12708.5,24,2.04,"#1c819a"
Manitoba,1711,124.94,166556,12162.1,19,1.39,"#1c819a"
Nouveau-Brunswick,199,25.62,62868,8092.9,2,0.26,"#1c819a"
Terre-Neuve-et-Labrador,272,52.15,39543,7581.9,3,0.58,"#1c819a"
Nouvelle-Écosse,1087,111.90,91089,9377.1,65,6.69,"#1c819a"
Île-du-Prince-Édouard,58,36.96,35466,22597.4,0,0.00,"#1c819a"
