Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,55362,380.06,4033008,27686.8,2987,20.51,"#1c819a"
Colombie-Britannique,9841,194.05,475242,9371.1,244,4.81,"#1c819a"
Alberta,19211,439.48,1012136,23154,281,6.43,"#1c819a"
Saskatchewan,1984,168.93,168448,14342.6,24,2.04,"#1c819a"
Manitoba,2246,164.01,189476,13835.8,24,1.75,"#1c819a"
Nouveau-Brunswick,205,26.39,69953,9005,2,0.26,"#1c819a"
Terre-Neuve-et-Labrador,277,53.11,44809,8591.6,4,0.77,"#1c819a"
Nouvelle-Écosse,1089,112.11,99273,10219.6,65,6.69,"#1c819a"
Île-du-Prince-Édouard,61,38.87,39349,25071.5,0,0.00,"#1c819a"
