Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,51085,350.70,3760584,25816.6,2844,19.52,"#1c819a"
Colombie-Britannique,9013,177.72,429637,8471.9,234,4.61,"#1c819a"
Alberta,17909,409.69,1012136,23154,266,6.09,"#1c819a"
Saskatchewan,1899,161.69,157787,13434.8,24,2.04,"#1c819a"
Manitoba,1953,142.61,176888,12916.6,20,1.46,"#1c819a"
Nouveau-Brunswick,200,25.75,66144,8514.6,2,0.26,"#1c819a"
Terre-Neuve-et-Labrador,273,52.34,41471,7951.6,3,0.58,"#1c819a"
Nouvelle-Écosse,1087,111.90,94803,9759.5,65,6.69,"#1c819a"
Île-du-Prince-Édouard,59,37.59,36875,23495.2,0,0.00,"#1c819a"
