Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,54814,376.30,3992352,27407.7,2980,20.46,"#1c819a"
Colombie-Britannique,9739,192.04,469080,9249.6,242,4.77,"#1c819a"
Alberta,18935,433.16,1012136,23154,280,6.41,"#1c819a"
Saskatchewan,1968,167.57,167284,14243.5,24,2.04,"#1c819a"
Manitoba,2191,159.99,187564,13696.2,23,1.68,"#1c819a"
Nouveau-Brunswick,203,26.13,69649,8965.8,2,0.26,"#1c819a"
Terre-Neuve-et-Labrador,277,53.11,44362,8505.9,4,0.77,"#1c819a"
Nouvelle-Écosse,1089,112.11,98840,10175.1,65,6.69,"#1c819a"
Île-du-Prince-Édouard,61,38.87,39012,24856.8,0,0.00,"#1c819a"
