Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,71224,488.96,4775969,32787.2,3099,21.27,"#1c819a"
Colombie-Britannique,13371,263.66,581804,11472.4,259,5.11,"#1c819a"
Alberta,25733,588.68,1245294,28217.8,307,7.02,"#1c819a"
Saskatchewan,2783,236.96,200849,17101.4,25,2.13,"#1c819a"
Manitoba,4349,317.57,236208,17248.2,55,4.02,"#1c819a"
Nouveau-Brunswick,331,42.61,81806,10530.8,6,0.77,"#1c819a"
Terre-Neuve-et-Labrador,291,55.80,50871,9754,4,0.77,"#1c819a"
Nouvelle-Écosse,1101,113.34,110207,11345.2,65,6.69,"#1c819a"
Île-du-Prince-Édouard,64,40.78,46345,29529.1,0,0.00,"#1c819a"
