Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,86783,595.77,5262213,36125.3,3260,22.38,"#1c819a"
Colombie-Britannique,19239,379.37,667437,13161,284,5.60,"#1c819a"
Alberta,34873,797.77,1295038,29625.8,376,8.60,"#1c819a"
Saskatchewan,4214,358.80,224468,19112.4,29,2.47,"#1c819a"
Manitoba,8878,648.28,283729,20718.2,114,8.32,"#1c819a"
Nouveau-Brunswick,355,45.70,87899,11315.1,6,0.77,"#1c819a"
Terre-Neuve-et-Labrador,297,56.95,55259,10595.3,4,0.77,"#1c819a"
Nouvelle-Écosse,1132,116.53,119525,12304.5,65,6.69,"#1c819a"
Île-du-Prince-Édouard,67,42.69,51320,32698.9,0,0.00,"#1c819a"
