Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,68353,469.25,4668046,32046.3,3080,21.14,"#1c819a"
Colombie-Britannique,12554,247.55,577939,11396.2,256,5.05,"#1c819a"
Alberta,24261,555.00,1220803,27662.9,300,6.86,"#1c819a"
Saskatchewan,2591,220.61,195566,16651.5,25,2.13,"#1c819a"
Manitoba,3935,287.34,229636,16768.3,48,3.51,"#1c819a"
Nouveau-Brunswick,324,41.71,80648,10381.7,4,0.51,"#1c819a"
Terre-Neuve-et-Labrador,288,55.22,50192,9623.8,4,0.77,"#1c819a"
Nouvelle-Écosse,1097,112.93,108793,11199.7,65,6.69,"#1c819a"
Île-du-Prince-Édouard,64,40.78,45574,29037.8,0,0.00,"#1c819a"
