Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,79692,547.09,5057832,34722.2,3182,21.84,"#1c819a"
Colombie-Britannique,16135,318.16,634523,12511.9,273,5.38,"#1c819a"
Alberta,29932,684.74,1290323,29518,338,7.73,"#1c819a"
Saskatchewan,3408,290.18,214932,18300.5,25,2.13,"#1c819a"
Manitoba,6751,492.97,262762,19187.2,87,6.35,"#1c819a"
Nouveau-Brunswick,347,44.67,85762,11040,6,0.77,"#1c819a"
Terre-Neuve-et-Labrador,292,55.99,53472,10252.7,4,0.77,"#1c819a"
Nouvelle-Écosse,1118,115.09,115229,11862.2,65,6.69,"#1c819a"
Île-du-Prince-Édouard,64,40.78,49452,31508.7,0,0.00,"#1c819a"
