Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,100790,691.93,5636643,38695.8,3451,23.69,"#1c819a"
Colombie-Britannique,25474,502.31,727259,14340.6,331,6.53,"#1c819a"
Alberta,43952,1005.46,1388093,31754.6,462,10.57,"#1c819a"
Saskatchewan,5804,494.18,239727,20411.6,33,2.81,"#1c819a"
Manitoba,12919,943.36,317596,23191.2,207,15.12,"#1c819a"
Nouveau-Brunswick,401,51.62,92022,11845.9,6,0.77,"#1c819a"
Terre-Neuve-et-Labrador,311,59.63,58331,11184.3,4,0.77,"#1c819a"
Nouvelle-Écosse,1160,119.42,127687,13144.7,65,6.69,"#1c819a"
Île-du-Prince-Édouard,68,43.33,54253,34567.7,0,0.00,"#1c819a"
