Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,46849,321.62,3432561,23564.7,2827,19.41,"#1c819a"
Colombie-Britannique,7842,154.63,383264,7557.5,223,4.40,"#1c819a"
Alberta,16381,374.74,909443,20804.8,255,5.83,"#1c819a"
Saskatchewan,1807,153.86,144178,12276.1,24,2.04,"#1c819a"
Manitoba,1586,115.81,157071,11469.5,16,1.17,"#1c819a"
Nouveau-Brunswick,194,24.97,60681,7811.4,2,0.26,"#1c819a"
Terre-Neuve-et-Labrador,272,52.15,37833,7254.1,3,0.58,"#1c819a"
Nouvelle-Écosse,1086,111.80,88584,9119.3,65,6.69,"#1c819a"
Île-du-Prince-Édouard,57,36.32,33680,21459.5,0,0.00,"#1c819a"
