Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,56742,389.54,4121773,28296.2,2992,20.54,"#1c819a"
Colombie-Britannique,10066,198.49,486193,9587.1,245,4.83,"#1c819a"
Alberta,19718,451.08,1085790,24839,283,6.47,"#1c819a"
Saskatchewan,2012,171.31,171008,14560.5,24,2.04,"#1c819a"
Manitoba,2344,171.16,194567,14207.5,27,1.97,"#1c819a"
Nouveau-Brunswick,225,28.96,71263,9173.6,2,0.26,"#1c819a"
Terre-Neuve-et-Labrador,277,53.11,45731,8768.4,4,0.77,"#1c819a"
Nouvelle-Écosse,1089,112.11,100551,10351.2,65,6.69,"#1c819a"
Île-du-Prince-Édouard,61,38.87,40155,25585.1,0,0.00,"#1c819a"
