Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,114746,787.74,6031609,41407.3,3648,25.04,"#1c819a"
Colombie-Britannique,30884,608.99,783409,15447.8,395,7.79,"#1c819a"
Alberta,56444,1291.24,1445984,33078.9,533,12.19,"#1c819a"
Saskatchewan,8239,701.51,258367,21998.8,45,3.83,"#1c819a"
Manitoba,16483,1203.61,338105,24688.8,301,21.98,"#1c819a"
Nouveau-Brunswick,495,63.72,99406,12796.4,7,0.90,"#1c819a"
Terre-Neuve-et-Labrador,337,64.62,62273,11940.2,4,0.77,"#1c819a"
Nouvelle-Écosse,1290,132.80,141190,14534.8,65,6.69,"#1c819a"
Île-du-Prince-Édouard,72,45.88,59077,37641.4,0,0.00,"#1c819a"
