Province,Cas,TauxCas,Tests,TauxTests,Deces,TauxDeces,Color
Ontario,49340,338.72,3642578,25006.5,2837,19.48,"#1c819a"
Colombie-Britannique,8641,170.39,412563,8135.2,230,4.54,"#1c819a"
Alberta,17343,396.75,968031,22145.1,261,5.97,"#1c819a"
Saskatchewan,1863,158.63,152985,13026,24,2.04,"#1c819a"
Manitoba,1829,133.56,168637,12314.1,19,1.39,"#1c819a"
Nouveau-Brunswick,200,25.75,64149,8257.8,2,0.26,"#1c819a"
Terre-Neuve-et-Labrador,272,52.15,40513,7767.9,3,0.58,"#1c819a"
Nouvelle-Écosse,1087,111.90,92618,9534.5,65,6.69,"#1c819a"
Île-du-Prince-Édouard,58,36.96,36303,23130.7,0,0.00,"#1c819a"
