"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Enhanced","Enhanced measures in place","166.7","22","13196"
"2","Beaver County","Enhanced","Enhanced measures in place","98.1","10","10191"
"3","Big Lakes County","Open","Help prevent the spread","40.9","5","12234"
"4","Birch Hills County","Open","Help prevent the spread","67.6","1","1479"
"5","Brazeau County","Enhanced","Enhanced measures in place","296.9","50","16839"
"6","Calgary - Centre","Enhanced","Enhanced measures in place","345.9","229","66198"
"7","Calgary - Centre North","Enhanced","Enhanced measures in place","295.5","132","44663"
"8","Calgary - Centre West","Enhanced","Enhanced measures in place","268.2","175","65260"
"9","Calgary - East","Enhanced","Enhanced measures in place","368.6","267","72430"
"10","Calgary - Elbow","Enhanced","Enhanced measures in place","333","136","40835"
"11","Calgary - Fish Creek","Enhanced","Enhanced measures in place","209.3","235","112298"
"12","Calgary - Lower Ne","Enhanced","Enhanced measures in place","440.3","424","96301"
"13","Calgary - Lower Nw","Enhanced","Enhanced measures in place","142.2","89","62572"
"14","Calgary - North","Enhanced","Enhanced measures in place","287.4","329","114470"
"15","Calgary - Nosehill","Enhanced","Enhanced measures in place","219.4","170","77497"
"16","Calgary - Se","Enhanced","Enhanced measures in place","229.9","301","130916"
"17","Calgary - Sw","Enhanced","Enhanced measures in place","219.7","252","114710"
"18","Calgary - Upper Ne","Enhanced","Enhanced measures in place","973.2","1119","114978"
"19","Calgary - Upper Nw","Enhanced","Enhanced measures in place","191.9","234","121916"
"20","Calgary - West","Enhanced","Enhanced measures in place","246.5","226","91700"
"21","Calgary - West Bow","Enhanced","Enhanced measures in place","261.4","55","21039"
"22","Camrose County","Enhanced","Enhanced measures in place","266.5","23","8629"
"23","Cardston County","Enhanced","Enhanced measures in place The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","158","26","16459"
"24","City Of Airdrie","Enhanced","Enhanced measures in place","401.4","281","70009"
"25","City Of Beaumont","Enhanced","Enhanced measures in place","468.1","87","18586"
"26","City Of Brooks","Enhanced","Enhanced measures in place","222.8","43","19297"
