"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Enhanced","Enhanced measures in place","189.5","25","13196"
"2","Beaver County","Enhanced","Enhanced measures in place","215.9","22","10191"
"3","Big Lakes County","Enhanced","Enhanced measures in place","89.9","11","12234"
"4","Birch Hills County","Open","Help prevent the spread","67.6","1","1479"
"5","Brazeau County","Enhanced","Enhanced measures in place","403.8","68","16839"
"6","Calgary - Centre","Enhanced","Enhanced measures in place","385.2","255","66198"
"7","Calgary - Centre North","Enhanced","Enhanced measures in place","340.3","152","44663"
"8","Calgary - Centre West","Enhanced","Enhanced measures in place","329.5","215","65260"
"9","Calgary - East","Enhanced","Enhanced measures in place","418.3","303","72430"
"10","Calgary - Elbow","Enhanced","Enhanced measures in place","369.8","151","40835"
"11","Calgary - Fish Creek","Enhanced","Enhanced measures in place","241.3","271","112298"
"12","Calgary - Lower Ne","Enhanced","Enhanced measures in place","520.2","501","96301"
"13","Calgary - Lower Nw","Enhanced","Enhanced measures in place","195","122","62572"
"14","Calgary - North","Enhanced","Enhanced measures in place","323.2","370","114470"
"15","Calgary - Nosehill","Enhanced","Enhanced measures in place","250.3","194","77497"
"16","Calgary - Se","Enhanced","Enhanced measures in place","265.8","348","130916"
"17","Calgary - Sw","Enhanced","Enhanced measures in place","259.8","298","114710"
"18","Calgary - Upper Ne","Enhanced","Enhanced measures in place","1115","1282","114978"
"19","Calgary - Upper Nw","Enhanced","Enhanced measures in place","224.7","274","121916"
"20","Calgary - West","Enhanced","Enhanced measures in place","259.5","238","91700"
"21","Calgary - West Bow","Enhanced","Enhanced measures in place","280.4","59","21039"
"22","Camrose County","Enhanced","Enhanced measures in place","324.5","28","8629"
"23","Cardston County","Enhanced","Enhanced measures in place The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","170.1","28","16459"
"24","City Of Airdrie","Enhanced","Enhanced measures in place","427.1","299","70009"
"25","City Of Beaumont","Enhanced","Enhanced measures in place","473.5","88","18586"
"26","City Of Brooks","Enhanced","Enhanced measures in place","207.3","40","19297"
"27","City Of Calgary","Enhanced","Enhanced measures in place","373.3","5031","1347732"
"28","City Of Camrose","Enhanced","Enhanced measures in place","362.1","78","21543"
"29","City Of Chestermere","Enhanced","Enhanced measures in place","339.6","71","20905"
