"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Enhanced","Enhanced measures in place","113.7","15","13196"
"2","Beaver County","Open","Help prevent the spread","78.5","8","10191"
"3","Big Lakes County","Open","Help prevent the spread","16.3","2","12234"
"4","Birch Hills County","Open","Help prevent the spread","67.6","1","1479"
"5","Brazeau County","Enhanced","Enhanced measures in place","225.7","38","16839"
"6","Calgary - Centre","Enhanced","Enhanced measures in place","332.3","220","66198"
"7","Calgary - Centre North","Enhanced","Enhanced measures in place","264.2","118","44663"
"8","Calgary - Centre West","Enhanced","Enhanced measures in place","263.6","172","65260"
"9","Calgary - East","Enhanced","Enhanced measures in place","332.7","241","72430"
"10","Calgary - Elbow","Enhanced","Enhanced measures in place","284.1","116","40835"
"11","Calgary - Fish Creek","Enhanced","Enhanced measures in place","187.9","211","112298"
"12","Calgary - Lower Ne","Enhanced","Enhanced measures in place","343.7","331","96301"
"13","Calgary - Lower Nw","Enhanced","Enhanced measures in place","108.7","68","62572"
"14","Calgary - North","Enhanced","Enhanced measures in place","271.7","311","114470"
"15","Calgary - Nosehill","Enhanced","Help prevent the spread","210.3","163","77497"
"16","Calgary - Se","Enhanced","Enhanced measures in place","239.8","314","130916"
"17","Calgary - Sw","Enhanced","Enhanced measures in place","231","265","114710"
"18","Calgary - Upper Ne","Enhanced","Enhanced measures in place","760.1","874","114978"
"19","Calgary - Upper Nw","Enhanced","Enhanced measures in place","171.4","209","121916"
"20","Calgary - West","Enhanced","Enhanced measures in place","243.2","223","91700"
"21","Calgary - West Bow","Enhanced","Enhanced measures in place","232.9","49","21039"
"22","Camrose County","Enhanced","Enhanced measures in place","220.2","19","8629"
"23","Cardston County","Enhanced","Enhanced measures in place The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","206.6","34","16459"
"24","City Of Airdrie","Enhanced","Enhanced measures in place","390","273","70009"
"25","City Of Beaumont","Enhanced","Enhanced measures in place","538","100","18586"
"26","City Of Brooks","Enhanced","Enhanced measures in place","238.4","46","19297"
"27","City Of Calgary","Enhanced","Enhanced measures in place","288.2","3884","1347732"
"28","City Of Camrose","Enhanced","Enhanced measures in place","232.1","50","21543"
"29","City Of Chestermere","Enhanced","Enhanced measures in place","310.9","65","20905"
"30","City Of Cold Lake","Enhanced","Enhanced measures in place","273.2","54","19763"
"31","City Of Edmonton","Enhanced","Enhanced measures in place","471.3","4815","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Enhanced measures in place","183.3","49","26738"
"33","City Of Grande Prairie","Enhanced","Enhanced measures in place","105.8","78","73697"
