"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Enhanced","Enhanced measures in place","204.6","27","13196"
"2","Beaver County","Enhanced","Enhanced measures in place","235.5","24","10191"
"3","Big Lakes County","Enhanced","Enhanced measures in place","106.3","13","12234"
"4","Birch Hills County","Open","Help prevent the spread","67.6","1","1479"
"5","Brazeau County","Enhanced","Enhanced measures in place","409.8","69","16839"
"6","Calgary - Centre","Enhanced","Enhanced measures in place","404.8","268","66198"
"7","Calgary - Centre North","Enhanced","Enhanced measures in place","369.4","165","44663"
"8","Calgary - Centre West","Enhanced","Enhanced measures in place","349.4","228","65260"
"9","Calgary - East","Enhanced","Enhanced measures in place","440.4","319","72430"
"10","Calgary - Elbow","Enhanced","Enhanced measures in place","360","147","40835"
"11","Calgary - Fish Creek","Enhanced","Enhanced measures in place","244","274","112298"
"12","Calgary - Lower Ne","Enhanced","Enhanced measures in place","535.8","516","96301"
"13","Calgary - Lower Nw","Enhanced","Enhanced measures in place","211","132","62572"
"14","Calgary - North","Enhanced","Enhanced measures in place","346.8","397","114470"
"15","Calgary - Nosehill","Enhanced","Enhanced measures in place","260.7","202","77497"
"16","Calgary - Se","Enhanced","Enhanced measures in place","276.5","362","130916"
"17","Calgary - Sw","Enhanced","Enhanced measures in place","272","312","114710"
"18","Calgary - Upper Ne","Enhanced","Enhanced measures in place","1184.6","1362","114978"
"19","Calgary - Upper Nw","Enhanced","Enhanced measures in place","232.1","283","121916"
"20","Calgary - West","Enhanced","Enhanced measures in place","260.6","239","91700"
"21","Calgary - West Bow","Enhanced","Enhanced measures in place","280.4","59","21039"
"22","Camrose County","Enhanced","Enhanced measures in place","347.7","30","8629"
"23","Cardston County","Enhanced","Enhanced measures in place The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","176.2","29","16459"
"24","City Of Airdrie","Enhanced","Enhanced measures in place","387.1","271","70009"
"25","City Of Beaumont","Enhanced","Enhanced measures in place","452","84","18586"
"26","City Of Brooks","Enhanced","Enhanced measures in place","212.5","41","19297"
"27","City Of Calgary","Enhanced","Enhanced measures in place","390.4","5262","1347732"
"28","City Of Camrose","Enhanced","Enhanced measures in place","371.4","80","21543"
"29","City Of Chestermere","Enhanced","Enhanced measures in place","330.1","69","20905"
"30","City Of Cold Lake","Enhanced","Enhanced measures in place","334","66","19763"
"31","City Of Edmonton","Enhanced","Enhanced measures in place","615.3","6286","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Enhanced measures in place","295.5","79","26738"
"33","City Of Grande Prairie","Enhanced","Enhanced measures in place","95","70","73697"
"34","City Of Lacombe","Enhanced","Enhanced measures in place","209.2","39","18640"
"35","City Of Leduc","Enhanced","Enhanced measures in place","357.4","118","33017"
"36","City Of Lethbridge","Enhanced","Enhanced measures in place","215.2","213","98987"
"37","City Of Lloydminster","Open","Help prevent the spread","13.5","3","22277"
"38","City Of Medicine Hat","Enhanced","Enhanced measures in place","166","113","68057"
"39","City Of Red Deer","Enhanced","Enhanced measures in place","253.9","269","105939"
"40","City Of Spruce Grove","Enhanced","Enhanced measures in place","364.1","135","37076"
"41","City Of St. Albert","Enhanced","Enhanced measures in place","462.8","319","68923"
"42","City Of Wetaskiwin","Enhanced","Enhanced measures in place","494.1","83","16799"
"43","Clear Hills County","Open","Help prevent the spread","0","0","2998"
"44","Clearwater County","Enhanced","Enhanced measures in place","192.1","39","20304"
"45","County Of Barrhead No. 11","Open","Help prevent the spread","49.4","5","10116"
"46","County Of Forty Mile No. 8","Enhanced","Enhanced measures in place","310.4","20","6443"
"47","County Of Grande Prairie No. 1","Enhanced","Enhanced measures in place","57.5","18","31319"
"48","County Of Minburn No. 27","Enhanced","Enhanced measures in place","106","11","10380"
"49","County Of Newell","Enhanced","Enhanced measures in place","259.5","21","8093"
"50","County Of Northern Lights","Open","Help prevent the spread","81","3","3702"
"51","County Of Paintearth No. 18","Open","Help prevent the spread","25.3","1","3947"
"52","County Of St. Paul No. 19","Enhanced","Enhanced measures in place","333.5","55","16493"
"53","County Of Stettler No. 6","Enhanced","Enhanced measures in place","104.4","13","12449"
"54","County Of Two Hills No. 21","Enhanced","Enhanced measures in place","303.8","17","5596"
"55","County Of Vermilion River","Enhanced","Enhanced measures in place","93","12","12907"
"56","County Of Warner No. 5","Enhanced","Enhanced measures in place","291.1","32","10994"
"57","County Of Wetaskiwin No. 10","Enhanced","Enhanced measures in place","167","17","10181"
"58","Cypress County","Enhanced","Enhanced measures in place","169.4","19","11218"
"59","Edmonton - Abbottsfield","Enhanced","Enhanced measures in place","674","98","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Enhanced measures in place","396.6","383","96574"
"61","Edmonton - Castle Downs","Enhanced","Enhanced measures in place","826.6","583","70526"
"62","Edmonton - Duggan","Enhanced","Enhanced measures in place","390.8","158","40428"
"63","Edmonton - Eastwood","Enhanced","Enhanced measures in place","743.8","540","72600"
"64","Edmonton - Jasper Place","Enhanced","Enhanced measures in place","645.9","304","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Enhanced measures in place","742.3","616","82983"
"66","Edmonton - Mill Woods West","Enhanced","Enhanced measures in place","590.7","302","51122"
"67","Edmonton - Ne","Enhanced","Enhanced measures in place","697.4","620","88901"
"68","Edmonton - Northgate","Enhanced","Enhanced measures in place","881","726","82404"
"69","Edmonton - Rutherford","Enhanced","Enhanced measures in place","642.3","669","104153"
"70","Edmonton - Twin Brooks","Enhanced","Enhanced measures in place","385.8","292","75685"
"71","Edmonton - West Jasper Place","Enhanced","Enhanced measures in place","471.1","476","101046"
"72","Edmonton - Woodcroft East","Enhanced","Enhanced measures in place","563.1","340","60381"
"73","Edmonton - Woodcroft West","Enhanced","Enhanced measures in place","554.2","180","32479"
"74","Flagstaff County","Enhanced","Enhanced measures in place","490.7","42","8560"
"75","Foothills County","Enhanced","Enhanced measures in place","192.9","43","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Help prevent the spread","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Help prevent the spread","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Help prevent the spread","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Help prevent the spread","0","0","0"
"80","I.d. No. 349","Open","Help prevent the spread","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Help prevent the spread","0","0","166"
"82","I.d. No. 9 (Banff)","Enhanced","Enhanced measures in place","1198.7","166","13849"
"83","Kananaskis Improvement District","Open","Help prevent the spread","253.3","1","395"
"84","Kneehill County","Enhanced","Enhanced measures in place","100.8","11","10909"
"85","Lac La Biche County","Enhanced","Enhanced measures in place","650.2","66","10150"
"86","Lac Ste. Anne County","Enhanced","Enhanced measures in place","248","41","16534"
"87","Lacombe County","Enhanced","Enhanced measures in place","215.8","47","21779"
"88","Lamont County","Open","Help prevent the spread","63.4","5","7881"
"89","Leduc County","Enhanced","Enhanced measures in place","242.1","58","23958"
"90","Lethbridge County","Enhanced","Enhanced measures in place","257.6","65","25228"
"91","Mackenzie County","Open","Help prevent the spread","24.8","6","24171"
"92","Mountain View County","Enhanced","Enhanced measures in place","78.6","18","22893"
"93","Municipal District Of Acadia No. 34","Open","Help prevent the spread","1086.5","4","368"
"94","Municipal District Of Bighorn No. 8","Enhanced","Enhanced measures in place","585.6","27","4610"
"95","Municipal District Of Bonnyville No. 87","Enhanced","Enhanced measures in place","157.1","28","17826"
