"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"66","Edmonton - Mill Woods West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","256.2","131","51122"
"67","Edmonton - Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","277.8","247","88901"
"68","Edmonton - Northgate","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","371.3","306","82404"
"69","Edmonton - Rutherford","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","294.8","307","104153"
"70","Edmonton - Twin Brooks","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","178.4","135","75685"
"71","Edmonton - West Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","183.1","185","101046"
"72","Edmonton - Woodcroft East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","268.3","162","60381"
"73","Edmonton - Woodcroft West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","178.6","58","32479"
"74","Flagstaff County","Open","Gathering Restrictions          Public Health Orders","23.4","2","8560"
"75","Foothills County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","116.6","26","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Gathering Restrictions          Public Health Orders","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"80","I.d. No. 349","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Gathering Restrictions          Public Health Orders","0","0","166"
"82","I.d. No. 9 (Banff)","Open","Gathering Restrictions          Public Health Orders","57.8","8","13849"
"83","Kananaskis Improvement District","Open","Gathering Restrictions          Public Health Orders","0","0","1"
"84","Kneehill County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","91.7","10","10909"
"85","Lac La Biche County","Open","Gathering Restrictions          Public Health Orders","78.8","8","10150"
"86","Lac Ste. Anne County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","157.3","26","16534"
"87","Lacombe County","Open","Gathering Restrictions          Public Health Orders","13.8","3","21779"
"88","Lamont County","Open","Gathering Restrictions          Public Health Orders","101.5","8","7881"
"89","Leduc County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","108.5","26","23958"
"90","Lethbridge County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","281.4","71","25228"
"91","Mackenzie County","Open","Gathering Restrictions          Public Health Orders","37.2","9","24171"
"92","Mountain View County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","65.5","15","22893"
"93","Municipal District Of Acadia No. 34","Open","Gathering Restrictions          Public Health Orders","0","0","368"
"94","Municipal District Of Bighorn No. 8","Open","Gathering Restrictions          Public Health Orders","119.9","6","5004"
"95","Municipal District Of Bonnyville No. 87","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","106.6","19","17826"
"96","Municipal District Of Fairview No. 136","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","494","25","5061"
