Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Chine,91044,1439323774,4739,#1c819a,6.3254704497086,3.2925183934327
France,957421,65273512,34048,#1c819a,1466.7833408443,521.62046987758
Allemagne,392049,83783945,9905,#1c819a,467.9285512278,118.22074026235
Italie,449648,60461828,36832,#1c819a,743.68905948394,609.17774434475
Portugal,106271,10196707,2229,#1c819a,1042.209019049,218.59998526975
Espagne,1005295,46754783,34366,#1c819a,2150.1436548214,735.0264036088
Suisse,91763,8654618,1855,#1c819a,1060.2778770825,214.33643865044
Royaume-Uni,789229,67886004,44158,#1c819a,1162.5798448823,650.47281321788
États-Unis,8336282,331002647,222201,#1c819a,2518.494059052,671.29674645774
