Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Australie,27848,25499881,907,#1c819a,109.20835277623,35.568793438683
Belgique,560211,11589616,15818,#1c819a,4833.7321961314,1364.8424589736
France,2153815,65273512,50237,#1c819a,3299.6769041629,769.63837950071
Allemagne,961320,83783945,14771,#1c819a,1147.3797277032,176.29869302526
Italie,1455022,60461828,51306,#1c819a,2406.5134120655,848.5684554559
Pays-Bas,493142,17134873,9023,#1c819a,2878.0020721484,526.5869201365
Nouvelle-Zélande,1683,4822233,25,#1c819a,34.900843654796,5.1843202101599
Portugal,268721,10196707,4056,#1c819a,2635.3704190971,397.77547790674
Espagne,1594844,46754783,43668,#1c819a,3411.0820276933,933.97931073704
Suède,225560,10099270,6500,#1c819a,2233.4287527712,643.61087484541
Suisse,303392,8654618,3930,#1c819a,3505.5504471717,454.09283228907
Royaume-Uni,1538794,67886004,55838,#1c819a,2266.7323296861,822.52595100457
États-Unis,12591165,331002647,259925,#1c819a,3803.9469213066,785.26562357068
