Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Australie,27885,25499881,907,#1c819a,109.35345149258,35.568793438683
Belgique,573187,11589616,16359,#1c819a,4945.6944906544,1411.5221764034
France,2208699,65273512,52127,#1c819a,3383.7600158545,798.59346314934
Allemagne,1042700,83783945,16123,#1c819a,1244.5105085467,192.43543616859
Italie,1564532,60461828,54363,#1c819a,2587.6359543744,899.12928203229
Pays-Bas,512695,17134873,9313,#1c819a,2992.1143856742,543.51146927088
Nouvelle-Zélande,1694,4822233,25,#1c819a,35.128953744043,5.1843202101599
Portugal,290706,10196707,4363,#1c819a,2850.9792426123,427.88323720589
Espagne,1628208,46754783,44668,#1c819a,3482.4415718067,955.36749683984
Suède,243129,10099270,6681,#1c819a,2407.3918213891,661.53296228341
Suisse,317017,8654618,4236,#1c819a,3662.9808502235,489.44967877265
Royaume-Uni,1605172,67886004,58030,#1c819a,2364.5109528026,854.8153754933
États-Unis,13246651,331002647,266063,#1c819a,4001.9773618306,803.80928192396
