Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Australie,27923.0,25499881,908.0,#1c819a,109.50247179585,35.608009307965
Belgique,579212.0,11589616,16786.0,#1c819a,4997.6806824316,1448.36550236
France,2275429.0,65273512,52821.0,#1c819a,3485.9913773293,809.22564730392
Allemagne,1094678.0,83783945,17177.0,#1c819a,1306.5486472378,205.01541196228
Italie,1620901.0,60461828,56361.0,#1c819a,2680.8666783942,932.1749253099
Pays-Bas,536129.0,17134873,9518.0,#1c819a,3128.8764147829,555.47537469347
Nouvelle-Zélande,2060.0,4822233,25.0,#1c819a,42.718798531718,5.1843202101599
Portugal,300462.0,10196707,4577.0,#1c819a,2946.6571904047,448.87040492583
Espagne,1656444.0,46754783,45511.0,#1c819a,3542.8332540865,973.3977377245
Suède,260758.0,10099270,6798.0,#1c819a,2581.9489923529,673.11795803063
Suisse,330874.0,8654618,4940.0,#1c819a,3823.0919030742,570.79353473487
Royaume-Uni,1647230.0,67886004,59148.0,#1c819a,2426.4648129827,871.28416042871
États-Unis,13721304.0,331002647,270642.0,#1c819a,4145.3759129606,817.64300815395
