Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Australie,27867,25499881,907,#1c819a,109.28286292787,35.568793438683
Belgique,566249,11589616,16104,#1c819a,4885.8305572851,1389.5197217923
France,2183660,65273512,50957,#1c819a,3345.3998920726,780.66888755733
Allemagne,1006394,83783945,15586,#1c819a,1201.1776241856,186.02609366269
Italie,1509875,60461828,52850,#1c819a,2497.2367689578,874.10522883959
Pays-Bas,502510,17134873,9171,#1c819a,2932.6742019039,535.22427624646
Nouvelle-Zélande,1691,4822233,25,#1c819a,35.066741901522,5.1843202101599
Portugal,280394,10196707,4209,#1c819a,2749.8485540479,412.78032211772
Espagne,1617355,46754783,44374,#1c819a,3459.2289734293,949.07937012562
Suède,236355,10099270,6622,#1c819a,2340.3176665244,655.69095588097
Suisse,312722,8654618,4095,#1c819a,3613.3541653716,473.15779853022
Royaume-Uni,1574562,67886004,57031,#1c819a,2319.4206570179,840.09952920487
États-Unis,12883845,331002647,263455,#1c819a,3892.3691749208,795.93019085433
