Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Australie,27874,25499881,907,#1c819a,109.31031403637,35.568793438683
Belgique,569546,11589616,16243,#1c819a,4914.2784368352,1401.5132166588
France,2196199,65273512,51914,#1c819a,3364.6098282562,795.33027118259
Allemagne,1028089,83783945,15965,#1c819a,1227.0716066187,190.54963334562
Italie,1538217,60461828,53677,#1c819a,2544.1126259034,887.78328038643
Pays-Bas,508243,17134873,9254,#1c819a,2966.1322847272,540.06819892975
Nouvelle-Zélande,1694,4822233,25,#1c819a,35.128953744043,5.1843202101599
Portugal,285838,10196707,4276,#1c819a,2803.2383395934,419.35107088985
Espagne,1628208,46754783,44668,#1c819a,3482.4415718067,955.36749683984
Suède,243129,10099270,6681,#1c819a,2407.3918213891,661.53296228341
Suisse,317017,8654618,4236,#1c819a,3662.9808502235,489.44967877265
Royaume-Uni,1589301,67886004,57551,#1c819a,2341.1320542597,847.75942917483
États-Unis,13091758,331002647,264859,#1c819a,3955.182267772,800.17184877679
