Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Chine,91593,1439323774,4739,#1c819a,6.363613361673,3.2925183934327
France,1829659,65273512,42207,#1c819a,2803.0650472737,646.61757436922
Allemagne,705687,83783945,11767,#1c819a,842.26995995474,140.44456846714
Italie,995463,60461828,42330,#1c819a,1646.4321918947,700.11115112166
Portugal,187237,10196707,3021,#1c819a,1836.2496833537,296.27212000894
Espagne,1398613,46754783,39756,#1c819a,2991.3795129795,850.30872670289
Suisse,234340,8654618,2679,#1c819a,2707.6873872423,309.54572460622
Royaume-Uni,1233775,67886004,49770,#1c819a,1817.4217471984,733.14081058593
États-Unis,10257826,331002647,239683,#1c819a,3099.0163048454,724.11203406479
