Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Chine,90505,1439323774,4739,#1c819a,6.2880223084539,3.2925183934327
France,542639,65273512,31808,#1c819a,831.33109185239,487.30333370143
Allemagne,287421,83783945,9471,#1c819a,343.05021087274,113.04075022965
Italie,311364,60461828,35851,#1c819a,514.97615983427,592.95263120394
Portugal,74029,10196707,1957,#1c819a,726.00889679384,191.92470667246
Espagne,748266,46754783,31411,#1c819a,1600.4052462397,671.82431367503
Suisse,52528,8654618,1779,#1c819a,606.93608891808,205.55499965452
Royaume-Uni,439013,67886004,42001,#1c819a,646.69147413655,618.69895891943
États-Unis,7148044,331002647,205070,#1c819a,2159.5126397886,619.5418733313
